ID,Gene,Chromosome,Start,End,Strand,Length,BioType,Description,Mock_1,Mock_2,Mock_3,Flg22_SynCom35_1,Flg22_SynCom35_2,Flg22_SynCom35_3,Flg22_SynCom35_vs_Mock_pvalue,Flg22_SynCom35_vs_Mock_padj,Flg22_SynCom35_vs_Mock_log2FoldChange,cl
AT2G43160.5,EPSIN2,2,17947829,17953267,+,5438,protein_coding,Clathrin interactor EPSIN 2 [Source:UniProtKB/Swiss-Prot;Acc:Q67YI9],0,5.966844131094119,4.930868871040826,7.505771659003335,7.03516666022193,6.294473048776819,0.32573064969016247,0.723051113696801,2.0915532662693694,3
AT5G22370.3,EMB1705,5,7406222,7408754,+,2532,protein_coding,QQT1 [Source:UniProtKB/TrEMBL;Acc:A0A178UBM9],2.4928626068883792,0,2.9377056350499657,3.2412155752869647,4.461108861810825,2.115362137241898,0.22414606122460673,NA,1.543122756802442,3
AT2G21940.1,SK1,2,9350543,9353231,+,2688,protein_coding,Shikimate kinase 1 [Source:UniProtKB/TrEMBL;Acc:F4IIJ2],1.109182913344147,7.154451387079071,0.9647332386523773,7.664516526443922,7.579176697601088,0,NA,NA,1.4484427759590366,3
AT4G32200.2,ASY2,4,15548840,15555094,+,6254,protein_coding,Meiosis-specific protein ASY2 [Source:UniProtKB/Swiss-Prot;Acc:F4JTJ9],7.409019313862008,1.5044637728747368,2.265079909517326,7.686890573883632,7.2496730240860625,6.669917932277676,0.342516844762606,0.7346504836340173,1.3904414245981316,3
AT1G17110.3,UBP15,1,5845675,5850889,-,5214,protein_coding,Ubiquitin-specific protease 15 [Source:UniProtKB/TrEMBL;Acc:F4I642],4.448254655523664,3.7928911420385325,4.930868871040826,6.751621760782601,4.908589124575363,4.745810347029903,0.19486055498953164,0.596052794906313,1.3534338284625356,3
AT5G61330.1,,5,24657097,24661241,-,4144,protein_coding,rRNA processing protein-related [Source:TAIR;Acc:AT5G61330],3.1859680805462256,0,4.254166913077102,4.6001352892952605,4.00164730949532,4.272876627007834,0.3515478874649801,NA,1.1127969446856005,3
AT3G06550.1,,3,2038978,2043169,-,4191,protein_coding,O-acetyltransferase family protein [Source:TAIR;Acc:AT3G06550],5.204542385499412,6.338386100190344,0,6.382755013758583,5.908618392028389,6.750279637552201,0.42134741490965943,0.7859184453323451,1.0995603232447806,3
AT3G21560.1,UGT84A2,3,7595680,7597607,+,1927,protein_coding,UGT84A2 [Source:UniProtKB/TrEMBL;Acc:A0A384L2P1],10.759372103861926,10.16300704613015,8.683639701165387,8.36511209678461,10.031042609869646,7.732301210535049,0.10783755288587187,0.4649138629408231,-1.0522315699261762,3
AT1G60200.4,,1,22200733,22205336,-,4603,protein_coding,Splicing factor PWI domain-containing protein / RNA recognition motif (RRM)-containing protein [Source:UniProtKB/TrEMBL;Acc:Q8VY15],6.295258364511283,5.58039863963024,7.5063948299831615,6.418848596091513,5.046097969724555,4.9147387399047435,0.49345476500585295,0.829481186173198,-1.0668564985142084,3
AT1G09890.1,,1,3214237,3217538,-,3301,protein_coding,Rhamnogalacturonate lyase family protein [Source:TAIR;Acc:AT1G09890],5.204542385499412,5.634755515488473,5.762756638185021,5.031644178370482,0,5.06594405051225,0.3560982515576098,0.7443045182793737,-1.1015314016402042,3
