ID,Path,Gene,Chromosome,Start,End,Strand,Length,BioType,Description,Flg22_vs_Mock_pvalue,Flg22_vs_Mock_padj,Flg22_vs_Mock_log2FoldChange,Flg22_SynCom33_vs_Mock_pvalue,Flg22_SynCom33_vs_Mock_padj,Flg22_SynCom33_vs_Mock_log2FoldChange,Flg22_SynCom35_vs_Mock_pvalue,Flg22_SynCom35_vs_Mock_padj,Flg22_SynCom35_vs_Mock_log2FoldChange,Flg22_vs_Mock,Flg22_SynCom33_vs_Mock,Flg22_SynCom35_vs_Mock,cl
AT1G01480.1,ARA:ETHYL-PWY,ACS2,1,175706,178406,+,2700,protein_coding,1-aminocyclopropane-1-carboxylate synthase 2 [Source:UniProtKB/Swiss-Prot;Acc:Q06402],0.4955991668475526,0.8784752201520873,-0.2510470502436378,0.31378664655781346,0.6789714832902153,-0.3722034914374077,0.043339639610627236,0.29612753472095144,-0.752131196042095,0,0,0,2
AT1G01480.2,ARA:ETHYL-PWY,ACS2,1,176141,178400,+,2259,protein_coding,1-aminocyclopropane-1-carboxylate synthase 2 [Source:UniProtKB/Swiss-Prot;Acc:Q06402],1.3883290864223627e-4,0.00809149205806851,1.5440734095585436,0.0012255498062491979,0.025839395993404655,1.3135971897487775,0.054149069613897226,0.3341979818836421,0.7871974632539575,1,1,0,9
AT1G02500.1,ARA:ETHYL-PWY,SAM1,1,518091,520495,+,2404,protein_coding,S-adenosylmethionine synthase [Source:UniProtKB/TrEMBL;Acc:A0A178WES1],2.263971436109453e-4,0.011614671043381299,1.3683137598178285,0.02842037587731565,0.20449586304443235,0.813936166923029,0.4563970970329099,0.8086877874734267,0.276926972305543,1,0,0,7
AT1G02500.2,ARA:ETHYL-PWY,SAM1,1,518254,520437,+,2183,protein_coding,S-adenosylmethionine synthase [Source:UniProtKB/TrEMBL;Acc:A0A178WES1],4.34530407531249e-4,0.018745535111780735,0.5384112527682239,0.00633098400072334,0.08020240900445091,0.4178428504198563,0.7934057637158077,0.9470951604383697,-0.040092208042459276,0,0,0,9
AT1G05010.1,ARA:ETHYL-PWY,ACO4,1,1431177,1433010,-,1833,protein_coding,1-aminocyclopropane-1-carboxylate oxidase 4 [Source:UniProtKB/Swiss-Prot;Acc:Q06588],0.19149114493234534,0.6667061162661273,0.5267514526940084,0.9975792709835868,0.9990286684015095,-0.001224170443956264,0.009966808360473036,0.12674938467380822,-1.0414552946293674,0,0,-0,7
AT1G12010.1,ARA:ETHYL-PWY,,1,4056165,4057968,+,1803,protein_coding,1-aminocyclopropane-1-carboxylate oxidase 3 [Source:UniProtKB/Swiss-Prot;Acc:O65378],0.007532293511734214,0.12872914799096222,-1.148639920589413,0.6541348130462477,0.8934491277040644,-0.1919738323247737,0.028535718951393313,0.23699724396161195,0.9365162199386197,-0,0,0,4
AT1G35190.1,ARA:ETHYL-PWY,,1,12890404,12892955,+,2551,protein_coding,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein [Source:UniProtKB/TrEMBL;Acc:Q9C6F0],0.004348938884968711,0.09069778434864935,0.4592416266998391,0.6182710628772533,0.876681420603304,0.08053892631279382,6.484884897692782e-4,0.01909588260326719,-0.555073532717119,0,0,0,7
AT1G62380.1,ARA:ETHYL-PWY,ACO2,1,23082036,23084253,+,2217,protein_coding,1-aminocyclopropane-1-carboxylate oxidase 2 [Source:UniProtKB/Swiss-Prot;Acc:Q41931],6.140380663882294e-13,4.526268494105446e-10,1.0793263532680175,8.217948970487755e-5,0.0035804684639327683,0.5910116562054545,0.11393850170131303,0.4770204804962151,0.2373674449364428,1,0,0,7
AT1G77330.1,ARA:ETHYL-PWY,,1,29062945,29064637,-,1692,protein_coding,1-aminocyclopropane-1-carboxylate oxidase 5 [Source:UniProtKB/Swiss-Prot;Acc:Q0WPW4],0.7197315410550422,0.9463643710506872,-0.04909196449440409,4.6014678079415425e-4,0.012948220953119104,0.4784249385450034,0.0957917173604029,0.4415706335038461,-0.22797759160096231,0,0,0,5
AT2G19590.1,ARA:ETHYL-PWY,ACO1,2,8475276,8477733,-,2457,protein_coding,1-aminocyclopropane-1-carboxylate oxidase 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9ZUN4],0.14492841044497892,0.6013441985866732,0.6841167321256223,0.006966140659804292,0.08594024470714041,1.264221414291964,0.36793740076903375,0.7535715658330242,0.4228560192628109,0,0,0,5
AT2G19590.2,ARA:ETHYL-PWY,ACO1,2,8475412,8477687,-,2275,protein_coding,1-aminocyclopropane-1-carboxylate oxidase 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9ZUN4],0.9424956558517631,0.9929652781840381,-0.13159761902084177,0.8475326506740521,0.9588862889603867,0.3506958665055637,0.7036901617451501,0.9193259900373077,-0.6940827333921744,0,0,0,10
AT2G36880.1,ARA:ETHYL-PWY,METK3,2,15479281,15481412,-,2131,protein_coding,S-adenosylmethionine synthase [Source:UniProtKB/TrEMBL;Acc:A0A178VXF8],1.7242168513448573e-4,0.009544869214035731,0.8855035848184876,0.0993493948618868,0.40336964698342265,0.38860013250414566,0.44027843526350907,0.7995457554724861,-0.18203579606271306,0,0,0,7
AT2G36880.2,ARA:ETHYL-PWY,METK3,2,15479376,15481377,-,2001,protein_coding,S-adenosylmethionine synthase [Source:UniProtKB/TrEMBL;Acc:A0A178VXF8],0.632615526684067,0.924708736520764,-0.11170392324788368,0.7035407764173035,0.9129361913172397,-0.08892016474891504,0.5699324605706277,0.8683711334568506,-0.13275445902163022,0,0,0,8
AT3G17390.1,ARA:ETHYL-PWY,METK4,3,5952187,5954091,-,1904,protein_coding,S-adenosylmethionine synthase [Source:UniProtKB/TrEMBL;Acc:A0A178VIP8],0.19276483836974895,0.6681409358695782,0.24897863331944856,0.9170019246988798,0.9796804330442195,0.01992450798254912,0.7091206349083217,0.9215244259162872,-0.07132262366166317,0,0,0,7
AT3G46490.1,ARA:ETHYL-PWY,,3,17115483,17119790,+,4307,protein_coding,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein [Source:UniProtKB/TrEMBL;Acc:F4J938],0.39652039329229255,0.8365543975680054,-0.37975431591184977,0.39784179073801756,0.7476078604097782,-0.37884762352696233,0.33371494880979763,0.7286662842039181,0.42066020417983446,0,0,0,4
AT3G46500.8,ARA:ETHYL-PWY,,3,17120401,17122789,+,2388,protein_coding,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein [Source:UniProtKB/TrEMBL;Acc:A0A1I9LPT9],0.5607376939396173,0.9014773053059051,0.6991875021303928,0.3290935560238116,0.6920475531571953,1.1671213825586177,0.5333103360446523,NA,0.7475729776017649,0,0,0,5
AT3G46500.10,ARA:ETHYL-PWY,,3,17120480,17122745,+,2265,protein_coding,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein [Source:UniProtKB/TrEMBL;Acc:A0A1I9LPT9],0.1974227249680925,0.6710663381097558,-0.47861123255608223,0.05071046312592726,0.28317379928358466,0.6897073664721045,0.034868806953845255,0.2629935308451042,0.7417309871091968,0,0,0,1
