target_id	length	eff_length	est_counts	tpm
AT1G19090.1	2509	2133.51	0	0
AT1G18320.1	699	324.061	1	0.59695
AT5G11100.1	1709	1333.51	24	3.48161
AT4G35335.1	1280	904.512	99	21.1732
AT1G60930.1	3876	3500.51	23	1.27105
AT1G17000.1	2351	1975.51	0	0
AT3G55270.1	3130	2754.51	996	69.9487
AT4G16150.1	3181	2805.51	1463	100.878
AT3G18150.1	1370	994.512	0	0
AT3G52310.1	2443	2067.51	0	0
AT3G08943.1	3165	2789.51	473.927	32.8661
AT4G15950.1	814	438.547	35	15.4389
AT5G60900.1	2873	2497.51	15	1.16185
AT5G18710.1	1919	1543.51	2	0.25066
AT1G64460.1	2240	1864.51	495	51.3577
AT2G31100.1	1247	871.512	0	0
AT1G60260.1	1634	1258.51	2	0.307424
AT2G06210.1	3579	3203.51	430	25.9661
AT3G57180.1	2232	1856.51	9	0.937799
ATMG01320.1	922	546.512	3.96093	1.40205
AT4G15130.1	1234	858.512	86	19.3784
AT5G39100.1	808	432.578	31	13.8632
AT4G16110.1	2666	2290.51	384	32.4313
AT5G26800.1	637	262.688	68	50.0765
AT4G16360.1	1685	1309.51	230	33.9769
ATMG00060.1	542	172.606	11	12.3283
AT1G76820.1	3857	3481.51	64.8586	3.60383
AT3G05780.1	2775	2399.51	1	0.0806199
AT1G24405.1	718	342.88	8	4.5135
AT2G27490.4	843	467.53	62.7596	25.9678
AT2G27490.1	1367	991.512	17.9319	3.49859
AT2G27490.3	1201	825.512	0	0
AT2G27490.2	1381	1005.51	17.3086	3.32996
AT3G13276.1	269	46.7663	2	8.27298
AT1G71740.1	393	66.1215	76	222.349
AT1G52920.1	1351	975.512	0	0
AT2G17370.1	2273	1897.51	258	26.3027
AT4G13615.1	813	437.547	341	150.763
AT3G46680.1	1350	974.512	5	0.99254
AT1G70830.3	996	620.512	0	0
AT1G70830.2	1329	953.512	0	0
AT1G70830.5	787	411.609	0	0
AT1G70830.4	1393	1017.51	0	0
AT1G70830.1	1331	955.512	317.232	64.2252
AT2G34090.3	1458	1082.51	0	0
AT2G34090.2	1616	1240.51	0	0
AT2G34090.1	1700	1324.51	22.1985	3.24215
AT2G34090.4	1521	1145.51	6.80148	1.1486
AT2G34090.5	1425	1049.51	0	0
AT1G65541.1	340	47.1411	0	0
AT2G01050.1	1548	1172.51	0	0
AT2G07751.1	357	51.8888	2	7.45627
AT4G20565.1	789	413.594	0	0
AT1G61566.1	551	180.713	0	0
AT4G29530.2	1148	772.512	3.21714	0.805619
AT4G29530.1	1144	768.512	22.7829	5.73486
AT5G09225.1	780	404.654	89	42.5472
AT1G21100.1	1545	1169.51	677	111.982
AT1G73150.1	2150	1774.51	55	5.99582
AT1G73150.2	1956	1580.51	1.20346e-08	1.47298e-09
AT3G51750.3	654	279.42	0	0
AT3G51750.1	563	191.673	3	3.02779
AT3G51750.2	560	188.998	0	0
AT1G07010.1	1622	1246.51	2	0.310384
AT1G07010.2	1556	1180.51	0	0
AT1G07010.3	1542	1166.51	0	0
AT1G32080.1	2009	1633.51	1	0.118425
AT1G16710.5	6346	5970.51	18.8601	0.61108
AT1G16710.7	5822	5446.51	328.147	11.6551
AT1G16710.1	6018	5642.51	0.00320606	0.000109917
AT1G16710.4	6502	6126.51	151.652	4.7885
AT1G16710.8	6455	6079.51	21.5716	0.686402
AT1G16710.10	6023	5647.51	0	0
AT1G16710.6	6107	5731.51	1.92368e-07	6.49277e-09
AT1G16710.3	6619	6243.51	47.5888	1.47449
AT1G16710.9	6549	6173.51	63.1772	1.97967
AT1G16710.2	5783	5407.51	0	0
AT1G07590.1	2407	2031.51	7842	746.745
AT5G49170.1	1172	796.512	2	0.485739
AT2G40240.1	1614	1238.51	4	0.624777
AT4G30380.2	537	168.066	0	0
AT4G30380.1	486	124.949	0	0
AT2G20619.1	201	55.734	0	0
AT3G05830.2	1420	1044.51	0	0
AT3G05830.1	1358	982.512	78.566	15.469
AT3G05830.3	1524	1148.51	6.43404	1.08371
AT5G11430.6	3634	3258.51	0	0
AT5G11430.2	2601	2225.51	0	0
AT5G11430.4	2791	2415.51	0	0
AT5G11430.3	3322	2946.51	0	0
AT5G11430.5	2373	1997.51	0	0
AT5G11430.1	3147	2771.51	136	9.49265
AT1G20530.1	2269	1893.51	2	0.204328
AT4G23170.1	1824	1448.51	1	0.13355
AT1G44780.2	1644	1268.51	11.7904	1.79805
AT1G44780.1	1647	1271.51	35.2096	5.3568
AT1G60880.1	606	232.623	0	0
AT1G06160.1	1086	710.512	25	6.80666
AT3G07260.1	1204	828.512	4	0.933956
AT1G21090.1	1404	1028.51	113.589	21.3645
AT1G21090.2	1416	1040.51	8.41085	1.56372
AT1G76730.1	1500	1124.51	7	1.2042
AT1G03970.1	1190	814.512	202	47.9755
AT5G19160.1	2182	1806.51	26.4948	2.83717
AT5G19160.2	2242	1866.51	9.50521	0.985135
AT3G49744.1	174	56.9959	0	0
AT5G28820.1	519	152.228	0	0
AT4G12530.1	730	354.79	2	1.09049
AT4G20050.1	1924	1548.51	0	0
AT4G20050.5	1742	1366.51	0	0
AT4G20050.3	1800	1424.51	7.44827	1.01147
AT4G20050.2	1873	1497.51	0	0
AT4G20050.6	1732	1356.51	1.36214e-07	1.94252e-08
AT4G20050.7	1707	1331.51	13.5517	1.96886
AT4G20050.4	1981	1605.51	0	0
AT5G53810.1	1574	1198.51	7	1.12985
AT2G28690.1	1117	741.512	23	6.00033
AT5G01530.1	1396	1020.51	256	48.5274
AT3G62800.3	1283	907.512	10.2363	2.182
AT3G62800.1	1368	992.512	38.2919	7.46339
AT3G62800.2	1297	921.512	22.4718	4.7174
ATCG00900.1	468	111.427	108.5	188.366
AT3G11385.1	2459	2083.51	116	10.7703
AT5G07010.1	1779	1403.51	257	35.4227
AT3G63040.1	654	279.42	0	0
AT2G26570.2	2921	2545.51	0	0
AT2G26570.1	2941	2565.51	827	62.3586
AT3G05560.2	756	380.697	3.0881	1.5692
AT3G05560.3	841	465.53	2.10841	0.876136
