target_id	length	eff_length	est_counts	tpm
AT1G19090.1	2509	2219.92	0	0
AT1G18320.1	699	410.04	1	0.552877
AT5G11100.1	1709	1419.92	62	9.89883
AT4G35335.1	1280	990.917	44	10.0663
AT1G60930.1	3876	3586.92	22	1.39045
AT1G17000.1	2351	2061.92	1	0.109947
AT3G55270.1	3130	2840.92	585	46.6823
AT4G16150.1	3181	2891.92	628	49.2299
AT3G18150.1	1370	1080.92	0	0
AT3G52310.1	2443	2153.92	0	0
AT3G08943.1	3165	2875.92	144.791	11.4135
AT4G15950.1	814	524.935	16	6.90986
AT5G60900.1	2873	2583.92	7	0.61415
AT5G18710.1	1919	1629.92	1	0.139088
AT1G64460.1	2240	1950.92	196	22.7757
AT2G31100.1	1247	957.917	0	0
AT1G60260.1	1634	1344.92	1	0.168562
AT2G06210.1	3579	3289.92	165	11.3698
AT3G57180.1	2232	1942.92	7	0.816769
ATMG01320.1	922	632.917	3	1.07456
AT4G15130.1	1234	944.917	76	18.2337
AT5G39100.1	808	518.935	4	1.74744
AT4G16110.1	2666	2376.92	282	26.8962
AT5G26800.1	637	348.376	38	24.7281
AT4G16360.1	1685	1395.92	142	23.0613
ATMG00060.1	542	255.401	4	3.55052
AT1G76820.1	3857	3567.92	18.7101	1.18882
AT3G05780.1	2775	2485.92	0	0
AT1G24405.1	718	428.982	11	5.81312
AT2G27490.4	843	553.917	40.6033	16.6177
AT2G27490.1	1367	1077.92	12.5096	2.63095
AT2G27490.3	1201	911.917	0	0
AT2G27490.2	1381	1091.92	60.8871	12.6413
AT3G13276.1	269	50.5708	12	53.7944
AT1G71740.1	393	123.01	311	573.159
AT1G52920.1	1351	1061.92	1	0.213484
AT2G17370.1	2273	1983.92	183	20.9114
AT4G13615.1	813	523.935	547	236.682
AT3G46680.1	1350	1060.92	8	1.70948
AT1G70830.3	996	706.917	0	0
AT1G70830.2	1329	1039.92	0	0
AT1G70830.5	787	497.935	0.0846468	0.0385383
AT1G70830.4	1393	1103.92	0	0
AT1G70830.1	1331	1041.92	1.91535	0.416746
AT2G34090.3	1458	1168.92	0	0
AT2G34090.2	1616	1326.92	0	0
AT2G34090.1	1700	1410.92	7.88222	1.26649
AT2G34090.4	1521	1231.92	5.95021	1.09498
AT2G34090.5	1425	1135.92	2.16757	0.432595
AT1G65541.1	340	85.8173	0	0
AT2G01050.1	1548	1258.92	0	0
AT2G07751.1	357	96.9932	8	18.6984
AT4G20565.1	789	499.935	0	0
AT1G61566.1	551	264.087	0	0
