ID,Path,Gene,Chromosome,Start,End,Strand,Length,BioType,Description,Flg22_vs_Mock_pvalue,Flg22_vs_Mock_padj,Flg22_vs_Mock_log2FoldChange,Flg22_SynCom33_vs_Mock_pvalue,Flg22_SynCom33_vs_Mock_padj,Flg22_SynCom33_vs_Mock_log2FoldChange,Flg22_SynCom35_vs_Mock_pvalue,Flg22_SynCom35_vs_Mock_padj,Flg22_SynCom35_vs_Mock_log2FoldChange,Flg22_vs_Mock,Flg22_SynCom33_vs_Mock,Flg22_SynCom35_vs_Mock,cl
AT1G29900.1,ARA:ARGSYN-PWY,CARB,1,10467956,10472211,+,4255,protein_coding,"Carbamoyl-phosphate synthase large chain, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q42601]",0.2256366241564641,0.702334423741162,-0.21878157212817698,0.03411350660238523,0.22615025511351902,-0.38279706893010684,0.20124045907551033,0.6040709750599934,0.23042342734500837,0,0,0,4
AT1G75330.1,ARA:ARGSYN-PWY,OTC,1,28266259,28268416,-,2157,protein_coding,OTC [Source:UniProtKB/TrEMBL;Acc:A0A178W4A4],0.23320887764898018,0.7094449678608825,0.18469958369134365,0.37001842941004215,0.7266298063701332,-0.13944178963483994,0.27710821815489517,0.6833208406378688,0.16827879994774672,0,0,0,3
AT1G80600.1,ARA:ARGSYN-PWY,WIN1,1,30298462,30300658,-,2196,protein_coding,"Acetylornithine aminotransferase, chloroplastic/mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:Q9M8M7]",0.6458254952536963,0.9273604099470842,0.047404154174003205,0.0015044504450748752,0.030181072286942386,-0.3306659744976351,0.46335145685776996,0.8123359453341512,-0.0757205413136625,0,0,0,3
AT2G19940.2,ARA:ARGSYN-PWY,,2,8613034,8616018,+,2984,protein_coding,"oxidoreductases, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor;copper ion binding [Source:TAIR;Acc:AT2G19940]",0.944731309208782,0.9933269717125698,-0.010453596069707725,0.2887497710856826,0.6573112841405523,-0.16069559651652177,0.1212120981651763,0.4896480656649168,0.2318842656594202,0,0,0,4
AT2G22905.1,ARA:ARGSYN-PWY,,2,9748771,9749542,+,771,protein_coding,At2g22905 [Source:UniProtKB/TrEMBL;Acc:Q3EBW2],0.7603673255400643,0.9558679272822341,0.26322623527742867,0.625483466199127,NA,0.41896675316391097,0.7480502871419643,NA,0.27624434839443335,0,0,0,5
AT2G22910.1,ARA:ARGSYN-PWY,NAGS1,2,9749857,9753103,+,3246,protein_coding,"Probable amino-acid acetyltransferase NAGS1, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q84JF4]",0.544083807694557,0.8953991084190271,0.05961532787820066,0.018995479194504627,0.16019022176211536,-0.2350750763323071,0.0039407670462183455,0.06991201692023939,-0.28814632212713787,0,0,0,2
AT2G37500.1,ARA:ARGSYN-PWY,,2,15739783,15742838,-,3055,protein_coding,"Arginine biosynthesis bifunctional protein ArgJ, chloroplastic [Source:UniProtKB/TrEMBL;Acc:A0A178VUS6]",0.18022136787627976,0.6533818202091135,-0.21965114670440705,0.045300691195368746,0.26565732563566813,-0.32899679438054785,0.36962105443021404,0.7544368899875328,0.14585874720276476,0,0,0,4
AT3G27740.1,ARA:ARGSYN-PWY,CARA,3,10281230,10283935,-,2705,protein_coding,"Carbamoyl-phosphate synthase small chain, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9LVW7]",0.47870196815881894,0.8724331236914297,-0.1455673808285402,0.1625538470672125,0.5106067441996734,-0.2873265535609101,0.40906245481874537,0.7780337339352923,0.16919670536111983,0,0,0,4
AT3G57560.1,ARA:ARGSYN-PWY,NAGK,3,21310825,21312378,-,1553,protein_coding,NAGK [Source:UniProtKB/TrEMBL;Acc:A0A178V7F4],0.9228369858047233,0.9888287069494716,-0.020352165400760087,0.8965469826036958,0.9728009002142051,-0.02733217734909934,0.3572224543954496,0.744461002065638,0.1922353801348716,0,0,0,4
AT4G17830.1,ARA:ARGSYN-PWY,,4,9915831,9918243,+,2412,protein_coding,Peptidase M20/M25/M40 family protein [Source:UniProtKB/TrEMBL;Acc:F4JPZ7],0.010859555797477756,0.1624063093663371,0.29612322070085617,0.8912571096152344,0.9713780149575055,0.01598053229730341,0.0018165370403487055,0.04020268180996723,-0.36697421265497193,0,0,0,7
