ID,Path,Gene,Chromosome,Start,End,Strand,Length,BioType,Description,Flg22_vs_Mock_pvalue,Flg22_vs_Mock_padj,Flg22_vs_Mock_log2FoldChange,Flg22_SynCom33_vs_Mock_pvalue,Flg22_SynCom33_vs_Mock_padj,Flg22_SynCom33_vs_Mock_log2FoldChange,Flg22_SynCom35_vs_Mock_pvalue,Flg22_SynCom35_vs_Mock_padj,Flg22_SynCom35_vs_Mock_log2FoldChange,Flg22_vs_Mock,Flg22_SynCom33_vs_Mock,Flg22_SynCom35_vs_Mock,cl
AT1G04010.1,ARA:PWY-6803,PSAT,1,1030957,1036264,-,5307,protein_coding,PSAT1 [Source:UniProtKB/TrEMBL;Acc:A0A178W9Q7],0.04944586931368923,0.37404640272737566,0.2502018094265167,0.03229145015690888,0.2192621275872757,0.2724420691887729,0.20868691818548132,0.6107030626087228,0.16017739852075089,0,0,0,6
AT1G06250.1,ARA:PWY-6803,,1,1913175,1914895,-,1720,protein_coding,Phospholipase A1-IIalpha [Source:UniProtKB/Swiss-Prot;Acc:Q9LNC2],0.415544209331447,0.8456074432281361,0.45015234813013294,0.9526254807613362,0.9896085719178265,-0.033705230733492714,0.8637074378425768,NA,0.09618135747141095,0,0,0,7
AT1G06800.1,ARA:PWY-6803,PLA-I{gamma}1,1,2089417,2091686,-,2269,protein_coding,PLA-I(gamma)1 [Source:UniProtKB/TrEMBL;Acc:A0A178WG46],0.3468157567711618,0.8035755510549998,0.25583215990753666,0.27048360001340516,0.640798460876034,-0.300746662453457,0.007021864104356865,0.1013389361863332,-0.737969837811244,0,0,0,2
AT1G06800.2,ARA:PWY-6803,PLA-I{gamma}1,1,2089856,2091686,-,1830,protein_coding,PLA-I(gamma)1 [Source:UniProtKB/TrEMBL;Acc:A0A178WG46],0.060244923964642164,0.4108479409211566,1.264940883708708,0.7745847609459577,0.9362927300535707,0.19616099516696528,0.29574910751875055,0.6994615771599042,-0.7342322822407934,0,0,0,7
AT1G10740.3,ARA:PWY-6803,,1,3567905,3570838,-,2933,protein_coding,Alpha/beta-Hydrolases superfamily protein [Source:UniProtKB/TrEMBL;Acc:Q9SAC8],0.7585857623920226,0.9546669109129219,0.5064635061775734,0.616595631587056,0.8757501858891129,-0.8283766850939202,0.6421638060988293,0.8984641208974752,-0.7683110710082749,0,0,0,2
AT1G10740.4,ARA:PWY-6803,,1,3567905,3570838,-,2933,protein_coding,Alpha/beta-Hydrolases superfamily protein [Source:UniProtKB/TrEMBL;Acc:Q9SAC8],0.06335051416152776,0.42059260524226344,0.542109570789666,0.019226220212222398,0.16120999742512865,0.6823196662771488,0.25824490107216613,0.6660300393841154,0.3307518891020945,0,0,0,9
AT1G10740.1,ARA:PWY-6803,,1,3568112,3571053,-,2941,protein_coding,Alpha/beta-Hydrolases superfamily protein [Source:UniProtKB/TrEMBL;Acc:Q9SAC8],0.7216070117325396,0.9469634108990473,-0.7768384067934168,0.92340244702743,0.9812723894216695,0.20947859645488529,0.7613403099323465,0.9375026658267344,-0.6620615568320859,0,0,0,10
AT1G10740.2,ARA:PWY-6803,,1,3568170,3570870,-,2700,protein_coding,Alpha/beta-Hydrolases superfamily protein [Source:UniProtKB/TrEMBL;Acc:Q9SAC8],0.1914441183516087,0.6667061162661273,0.5927327006291331,0.08324467016510248,0.3690049976737542,0.7849938802838119,0.1620634841934623,0.5522554253153422,0.6338868768551484,0,0,0,6
AT1G12640.1,ARA:PWY-6803,LPLAT1,1,4303280,4305907,-,2627,protein_coding,Lysophospholipid acyltransferase 1 [Source:UniProtKB/Swiss-Prot;Acc:F4IDU4],0.41411649289448776,0.8447288874502983,0.09592196623639222,0.58259443380777165,0.8593779395094665,-0.06472489661014741,0.09490100813682469,0.4399593049411027,-0.1968222308031847,0,0,0,2
AT1G20560.1,ARA:PWY-6803,AAE1,1,7119671,7121871,-,2200,protein_coding,"Probable acyl-activating enzyme 1, peroxisomal [Source:UniProtKB/Swiss-Prot;Acc:F4HUK6]",0.12866071149485928,0.5719592429269169,0.45399979156154213,0.19703979415753126,0.5584236665787531,0.38562399122137925,0.7238651225367772,0.9256393518353461,0.10572594007464438,0,0,0,9
