ID,Path,Gene,Chromosome,Start,End,Strand,Length,BioType,Description,Flg22_vs_Mock_pvalue,Flg22_vs_Mock_padj,Flg22_vs_Mock_log2FoldChange,Flg22_SynCom33_vs_Mock_pvalue,Flg22_SynCom33_vs_Mock_padj,Flg22_SynCom33_vs_Mock_log2FoldChange,Flg22_SynCom35_vs_Mock_pvalue,Flg22_SynCom35_vs_Mock_padj,Flg22_SynCom35_vs_Mock_log2FoldChange,Flg22_vs_Mock,Flg22_SynCom33_vs_Mock,Flg22_SynCom35_vs_Mock,cl
AT1G17290.1,path:ath00220,ALAAT1,1,5922332,5926400,+,4068,protein_coding,"Alanine aminotransferase 1, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:F4I7I0]",0.010458107670329012,0.15891659836381658,0.17955736226728716,0.28500111264642447,0.654917951914117,0.07508252789956704,0.002477525765693726,0.05065172258175497,-0.21305933334067245,0,0,0,7
AT1G23310.1,path:ath00220,GGAT1,1,8268385,8272021,-,3636,protein_coding,Glutamate--glyoxylate aminotransferase 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9LR30],0.22760091098390103,0.7039117939240424,0.1846353642089018,0.05966753711558567,0.3071587002568315,0.2879572881993422,0.07394647565222168,0.38771938158357455,-0.2745054506805394,0,0,0,9
AT1G44820.1,path:ath00220,,1,16926297,16929196,+,2899,protein_coding,At1g44820 [Source:UniProtKB/TrEMBL;Acc:Q9LPE9],0.569144954139362,0.9040447903376051,0.07151745445881275,0.7943716637773335,0.9425449799462517,0.03276673421939098,0.10205013412548679,0.4548833937343162,-0.2060519895238603,0,0,0,2
AT1G48470.1,path:ath00220,GLN1-5,1,17913711,17916101,+,2390,protein_coding,Glutamine synthetase cytosolic isozyme 1-5 [Source:UniProtKB/Swiss-Prot;Acc:Q8GXW5],0.9610382063193398,NA,0.04398817957095174,0.3923258341950421,NA,0.7460267022641236,0.47631010692733805,NA,-0.6693502222640988,0,0,0,9
AT1G51720.1,path:ath00220,,1,19180744,19186532,+,5788,protein_coding,Amino acid dehydrogenase family protein [Source:UniProtKB/TrEMBL;Acc:F4I9M9],0.5040597028817346,0.8818164875032675,0.4641090803347428,0.7829849866419836,0.9393306100134398,0.1915424076809944,0.6291722602996291,0.8935434615282455,-0.3365592256943257,0,0,0,7
AT1G51720.2,path:ath00220,,1,19180772,19186532,+,5760,protein_coding,Amino acid dehydrogenase family protein [Source:UniProtKB/TrEMBL;Acc:F4I9M9],0.4984222943801297,0.8791214244202981,0.8388861894065006,0.7507332741083925,0.9286561148155611,0.39516406444773494,0.5813477959503626,NA,-0.6955666892908122,0,0,0,7
AT1G51720.3,path:ath00220,,1,19181031,19186532,+,5501,protein_coding,Amino acid dehydrogenase family protein [Source:UniProtKB/TrEMBL;Acc:F4I9M9],0.8457544133626781,0.9739788698937438,0.04081499825882298,0.7505096784809016,0.928539134200383,0.0667018818350238,0.8656035846394756,0.9683460473213521,-0.03550799005503858,0,0,0,6
AT1G62800.1,path:ath00220,ASP4,1,23253703,23257463,-,3760,protein_coding,Aspartate aminotransferase [Source:UniProtKB/TrEMBL;Acc:F4I0D4],0.7354124919359641,0.9513375365248583,0.1055257806450319,0.824957662097589,0.9517485030993669,-0.0691262350005828,0.5322808145965466,0.8500564952144752,-0.19522959778870536,0,0,0,7
AT1G62800.2,path:ath00220,ASP4,1,23253703,23257546,-,3843,protein_coding,Aspartate aminotransferase [Source:UniProtKB/TrEMBL;Acc:F4I0D4],0.0685078874839192,0.43642811833342293,0.3294479312537344,0.25134867369336916,0.6217811522550171,0.20775697660215944,0.519784066987663,0.843537375111418,0.11658459927121972,0,0,0,7
AT1G62800.3,path:ath00220,ASP4,1,23254507,23257463,-,2956,protein_coding,Aspartate aminotransferase [Source:UniProtKB/TrEMBL;Acc:F4I0D4],0.7009399438827786,0.941709392359911,0.12543415018294907,0.6891054200968456,0.9076688431332556,0.1306839772223043,0.04919210784829409,0.31775519095869514,-0.6566611772149882,0,0,0,9
