ID,Gene,Chromosome,Start,End,Strand,Length,BioType,Description,Mock_1,Mock_2,Mock_3,Flg22_1,Flg22_2,Flg22_3,Flg22_SynCom33_1,Flg22_SynCom33_2,Flg22_SynCom33_3,Flg22_SynCom35_1,Flg22_SynCom35_2,Flg22_SynCom35_3,Flg22_vs_Mock_pvalue,Flg22_vs_Mock_padj,Flg22_vs_Mock_log2FoldChange,Flg22_SynCom33_vs_Mock_pvalue,Flg22_SynCom33_vs_Mock_padj,Flg22_SynCom33_vs_Mock_log2FoldChange,Flg22_SynCom35_vs_Mock_pvalue,Flg22_SynCom35_vs_Mock_padj,Flg22_SynCom35_vs_Mock_log2FoldChange,Raw_Mock_1,Raw_Mock_2,Raw_Mock_3,Raw_Flg22_1,Raw_Flg22_2,Raw_Flg22_3,Raw_Flg22_SynCom33_1,Raw_Flg22_SynCom33_2,Raw_Flg22_SynCom33_3,Raw_Flg22_SynCom35_1,Raw_Flg22_SynCom35_2,Raw_Flg22_SynCom35_3,Scale_Mock_1,Scale_Mock_2,Scale_Mock_3,Scale_Flg22_1,Scale_Flg22_2,Scale_Flg22_3,Scale_Flg22_SynCom33_1,Scale_Flg22_SynCom33_2,Scale_Flg22_SynCom33_3,Scale_Flg22_SynCom35_1,Scale_Flg22_SynCom35_2,Scale_Flg22_SynCom35_3,cl
AT1G67270.1,,1,25183019,25185939,-,2920,protein_coding,Zinc-finger domain of monoamine-oxidase A repressor R1 protein [Source:TAIR;Acc:AT1G67270],6.732110783544714,5.339836733502409,6.177473271310104,9.685420474206914,9.248463851867777,9.47431667696885,10.431861291079516,10.309304568396072,10.455359041861389,6.382755013758583,6.428001399304836,6.426116888374592,1.7531603907636482e-35,1.2276943926420136e-31,3.3197732221899585,3.763426063404909e-57,5.058420971822538e-53,4.24075713368899,0.39644249576029567,0.7707207372093446,0.23720271910913435,91,43,75,773,597,733,1333,1148,1501,78,85,102,-0.8326044056566744,-0.920327130671901,-0.8618453139950832,0.413789312268005,0.09213932054550714,0.3406870414219828,1.4372211041123166,1.0991231014494636,1.74425064166561,-0.8563626436816315,-0.8435697462835776,-0.8125012811740182,9
AT1G14550.1,PER5,1,4978922,4980466,+,1544,protein_coding,Peroxidase 5 [Source:UniProtKB/Swiss-Prot;Acc:Q9M9Q9],7.701444740318506,6.049201972030239,7.223669738778564,10.748393037107459,10.559761811466112,10.207320835775453,11.840689962168295,10.97528421753026,11.38999557936398,7.694272139969518,7.350474444502255,7.814700517040753,7.38893469819738e-21,2.299682775902298e-17,3.393097138390677,8.47043197564992e-33,2.8462769046177643e-29,4.3165628795918805,0.17380821706933755,0.5689085831638262,0.4980365063395296,179,71,156,1616,1483,1219,3541,1822,2870,195,162,269,-0.8102378090715454,-0.9020671226313813,-0.829794051774103,0.4116022241273814,0.29851612502128727,0.07404446965279966,2.04837471118927,0.5867581370285497,1.4778425871276974,-0.7966334663219401,-0.8246924232430011,-0.7337133811050156,9
AT4G02330.1,PME41,4,1032350,1035055,+,2705,protein_coding,Probable pectinesterase/pectinesterase inhibitor 41 [Source:UniProtKB/Swiss-Prot;Acc:Q8RXK7],9.046302419115339,8.574777950296504,8.975845038134274,11.092818364183218,11.18247062396606,11.386131910198143,11.763727214788428,10.820896563533756,11.19440933945623,8.20896439743723,8.035173362534843,7.608414020353234,1.0754580281814518e-20,3.012465482739065e-17,2.3488599756525965,3.8942848466628906e-22,6.979077683199455e-19,2.43557356170194,3.7817986205004227e-4,0.01286881346704373,-0.9117553687968841,456,414,528,2052,2284,2761,3357,1637,2506,279,261,233,-0.8140828940429962,-0.8504052894570958,-0.7518159304759681,0.566168131692792,0.7668061254087712,1.179324759040332,1.6947568463451752,0.2072682722439499,0.958795929740441,-0.9671558461452734,-0.9827225870370304,-1.0069375173130968,9
AT5G45280.2,PAE11,5,18345534,18349695,+,4161,protein_coding,Pectin acetylesterase 11 [Source:UniProtKB/Swiss-Prot;Acc:Q9FH82],10.509733494365056,10.123160402389022,10.292772934620766,12.062300886225561,11.66474013154375,11.80949844410129,12.382102549366842,11.909749946802554,12.223443115883885,10.461443847758744,10.16666246034277,10.284867346072106,1.7774915356553674e-20,4.526301400476591e-17,1.5390122374486843,1.802939078621563e-29,5.385178701278316e-26,1.8691209385603371,0.9647662652078637,0.99181039263186,-0.007374480755059787,1259,1213,1317,4019,3191,3703,5154,3483,5115,1333,1147,1496,-0.9148701589863796,-0.9440243171529009,-0.8781105682546789,0.8343793310048969,0.309604484007514,0.6341029401218378,1.5537264944614546,0.49467000976021425,1.5290088386246212,-0.8679699915011062,-0.9858541962613879,-0.7646628658240852,9
AT2G02010.1,GAD4,2,474108,476650,-,2542,protein_coding,glutamate decarboxylase 4 [Source:TAIR;Acc:AT2G02010],6.4935680048919755,5.810334082645925,5.178435655761623,9.589068874671147,9.366540038449305,9.096806268384414,9.63149141323756,8.437446544399876,9.195105167785503,4.53585085958,4.908589124575363,3.8411630860922368,5.041371321933282e-18,9.414256806578212e-15,3.4667725760902472,3.410459186982661e-16,3.161378064291996e-13,3.270299043689174,7.119817233637792e-4,0.020538197003220387,-1.4780185599781472,77,60,37,723,648,564,765,313,626,21,29,16,-0.7807191063307996,-0.834616465955667,-0.9075364230951933,1.267380559414161,1.0295980904809225,0.7632817252756954,1.4005387420167745,-0.03249693742087592,0.9598485662605059,-0.958263349800951,-0.9328998864480722,-0.9741155143965001,9
AT5G24110.1,WRKY30,5,8153115,8154710,-,1595,protein_coding,Probable WRKY transcription factor 30 [Source:UniProtKB/Swiss-Prot;Acc:Q9FL62],4.661175041237853,3.473079788099641,4.631835645891565,7.556458668609714,7.2722704699711,6.9436652764046265,7.870315414664845,7.517477831719986,7.803911123255327,4.777404134844271,3.9085305878880328,4.653298577488479,3.049095535021539e-17,5.024012648911078e-14,3.005508029696164,1.1883594874027456e-22,2.2818199814543293e-19,3.4689635572856123,0.6687680343205595,0.9068250161690296,0.16733642190395218,21,11,25,176,151,126,225,165,238,25,14,29,-0.9001969642153462,-1.0134292867581571,-0.8549040351982219,0.8549040351982219,0.5718232288411947,0.28874242248416765,1.409742415657995,0.73034848040113,1.5569444349636492,-0.8549040351982219,-0.9794595899953138,-0.8096111061810976,9
AT1G76930.2,ATEXT4,1,28895301,28897120,-,1819,protein_coding,extensin 4 [Source:TAIR;Acc:AT1G76930],14.934388077144126,15.128618183755954,14.92267318569239,16.313663572372345,16.312377176787457,16.037869049635116,16.671748660442955,16.14596326256923,16.07838818008787,13.359707040732168,13.412605708451197,13.346017830978752,1.0079005867022142e-14,9.735277011764042e-12,1.2286545465495995,6.881414197645239e-17,6.606649159324975e-14,1.3256205756979351,1.5141435468381984e-24,3.6427265449833374e-20,-1.6254074304867923,27056,38997,32633,76560,80008,69428,100817,65658,74026,9944,10890,12495,-0.7256747560515633,-0.3459516069712952,-0.5483264600612229,0.8485497454198034,0.9581959574647547,0.6217525341945733,1.6199210231385925,0.5018667397022687,0.7679686835515009,-1.2698354232537696,-1.239752674821483,-1.1887137623121597,9
AT3G47380.1,PMEI11,3,17457614,17458599,+,985,protein_coding,Pectinesterase inhibitor 11 [Source:UniProtKB/Swiss-Prot;Acc:Q9STY5],5.79155401328417,5.786522220894477,5.836693052106834,7.989846934072171,7.458990588903832,7.849629077296477,7.686731358746233,7.0846655055514445,7.735954658911757,5.778902306790421,5.001702187430943,5.574762368782864,6.111502903738521e-13,4.526268494105446e-10,1.9970787205383715,3.685129425966856e-10,1.2865408990758576e-7,1.7459533953041193,0.2768356678079234,0.6831585296411827,-0.3243394906762688,47,59,59,238,172,237,198,122,227,51,31,56,-0.9284932272043194,-0.7851888062853247,-0.7851888062853247,1.3524354724230119,0.5642611573685413,1.340493437346429,0.8747540693596964,-0.03284059646060294,1.2210730865806,-0.8807250868979878,-1.1195657884296455,-0.8210149115150733,9
AT5G40590.1,,5,16251318,16252434,-,1116,protein_coding,At5g40590 [Source:UniProtKB/TrEMBL;Acc:Q9FM39],10.217517814462195,8.381680283028333,9.460063126608132,12.237482337252365,11.923097830714022,11.929043660833036,12.428640997751007,12.29678228043781,12.601776650101394,9.47644857680304,8.783112785903432,9.805863066547918,5.493620000956222e-11,2.9592651893612447e-8,2.5030972771284854,2.2921500264602583e-14,1.7115993614251293e-11,2.91352090205899,0.7522729574337513,0.9352149304812711,-0.12083249386437554,1028,362,739,4538,3817,4023,5323,4555,6649,673,439,1073,-0.7698313582592857,-1.0644486170443364,-0.8976757843687146,0.782881221824089,0.4639337089351679,0.555061569760574,1.130140303124787,0.7904014821834673,1.716720611156284,-0.9268720892933593,-1.0303862612989176,-0.7499247867197554,9
AT4G34050.1,CCoAOMT1,4,16310768,16312270,+,1502,protein_coding,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein [Source:TAIR;Acc:AT4G34050],14.42385091614989,14.174926589544475,14.124343302424462,14.892057915444036,14.844481427770774,14.849673657769076,14.818848167774227,14.727747428497285,14.766473744320253,14.059915407693916,13.81031897085073,13.950239227835574,1.1328624324957807e-10,5.7695653812071485e-8,0.6152724052488034,3.866973182582281e-8,6.83894559830111e-6,0.5245550728325634,0.0014991298583562672,0.03518640598276593,-0.3032551429110107,18992,20134,18764,28579,28923,30468,27909,24567,29816,16157,14347,18995,-0.7102731315492895,-0.5146114234110809,-0.7493369401793347,0.932291488346513,0.9912298662795637,1.255938569496317,0.8174987173722575,0.24490552245291128,1.1442297834139072,-1.1960007520149827,-1.506112566139464,-0.7097591340673153,9
