ID,Path,Gene,Chromosome,Start,End,Strand,Length,BioType,Description,Flg22_vs_Mock_pvalue,Flg22_vs_Mock_padj,Flg22_vs_Mock_log2FoldChange,Flg22_SynCom33_vs_Mock_pvalue,Flg22_SynCom33_vs_Mock_padj,Flg22_SynCom33_vs_Mock_log2FoldChange,Flg22_SynCom35_vs_Mock_pvalue,Flg22_SynCom35_vs_Mock_padj,Flg22_SynCom35_vs_Mock_log2FoldChange,Flg22_vs_Mock,Flg22_SynCom33_vs_Mock,Flg22_SynCom35_vs_Mock,cl
AT1G01090.1,ARA:PYRUVDEHYD-PWY,PDH-E1 ALPHA,1,47234,49304,-,2070,protein_coding,Pyruvate dehydrogenase E1 component subunit alpha [Source:UniProtKB/TrEMBL;Acc:A0A178W8A7],0.8606761218526424,0.9779783981841293,0.022008969624969038,0.006219062806334292,0.0794963606085965,-0.34376593898230995,0.32253082706198116,0.720368504733356,-0.12409215532515915,0,0,0,3
AT1G24180.1,ARA:PYRUVDEHYD-PWY,IAR4,1,8560420,8563502,-,3082,protein_coding,"Pyruvate dehydrogenase E1 component subunit alpha-2, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:Q8H1Y0]",0.7105503345465749,0.9451763028424377,-0.052585097723887905,0.8580274506947432,0.9620891873875449,-0.0253464671734408,0.16817537037106664,0.559839914264165,-0.19528648997573816,0,0,0,10
AT1G30120.1,ARA:PYRUVDEHYD-PWY,PDH-E1 BETA,1,10584105,10586680,-,2575,protein_coding,"Pyruvate dehydrogenase E1 component subunit beta-2, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9C6Z3]",0.6195265246252719,0.9200762144784737,0.0627844361485539,0.2957148627053291,0.6634717813804336,-0.13243600365163913,0.8437058354342429,0.9622582245603971,0.02492295703536085,0,0,0,3
AT1G34430.1,ARA:PYRUVDEHYD-PWY,EMB3003,1,12587726,12590223,-,2497,protein_coding,"Dihydrolipoyllysine-residue acetyltransferase component 5 of pyruvate dehydrogenase complex, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9C8P0]",0.1514617779486482,0.6086305694188813,0.22876553461737234,0.5930336993464603,0.8653746556199949,-0.08536174832525599,0.886307350765603,0.9741032737064127,-0.022820068707092474,0,0,0,3
AT1G48030.5,ARA:PYRUVDEHYD-PWY,LPD1,1,17717088,17719500,-,2412,protein_coding,"Dihydrolipoyl dehydrogenase 1, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:Q9M5K3]",0.8917772330138413,0.9847072273195536,0.01917213315434467,0.9412093863070582,0.9867630249485722,-0.010397848284488536,0.41537656573920634,0.7821798229926288,-0.11485325797356369,0,0,0,2
AT1G48030.4,ARA:PYRUVDEHYD-PWY,LPD1,1,17717088,17719500,-,2412,protein_coding,"Dihydrolipoyl dehydrogenase 1, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:Q9M5K3]",0.977519342960262,0.995421650146458,0.007782447844022927,0.2976705318444512,0.6655006018831119,-0.2887263320608377,0.6216907895815765,0.8900111285780166,-0.13638529528624777,0,0,0,3
AT1G48030.2,ARA:PYRUVDEHYD-PWY,LPD1,1,17717133,17719141,-,2008,protein_coding,"Dihydrolipoyl dehydrogenase 1, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:Q9M5K3]",0.40411158127370983,0.8401323441031102,0.10922422432770784,0.2838679569374762,0.6535575897904449,-0.14064643380138547,0.21591160882317678,0.6190804108980485,-0.1622962260708817,0,0,0,3
AT1G54220.1,ARA:PYRUVDEHYD-PWY,,1,20246026,20250345,-,4319,protein_coding,Acetyltransferase component of pyruvate dehydrogenase complex [Source:UniProtKB/TrEMBL;Acc:A0A178W5Y1],0.6946802486919896,0.9402705518917962,0.054553825506097525,0.3213135978452442,0.6848122753109276,-0.13844340120961174,0.2668903947121638,0.6744024701998387,-0.1547312196937309,0,0,0,3
AT1G59900.1,ARA:PYRUVDEHYD-PWY,E1 ALPHA,1,22051133,22053885,+,2752,protein_coding,"Pyruvate dehydrogenase E1 component subunit alpha-1, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:P52901]",0.5385555115299254,0.8927104493818229,0.08860669973032316,0.7074073899460411,0.9147837914435962,-0.05414591529260508,0.8190150812583177,0.9543983771902524,0.03296078557519577,0,0,0,3
AT2G34590.1,ARA:PYRUVDEHYD-PWY,E1-BETA-2,2,14568802,14571143,-,2341,protein_coding,"Pyruvate dehydrogenase E1 component subunit beta-3, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:O64688]",0.38143039050611094,0.8269442062381076,0.12010359456271903,0.9848897219700924,0.9963989557859209,-0.002601610496122973,0.8597538428292806,0.9663190627783723,0.02424845724730052,0,0,0,3
