target_id	length	eff_length	est_counts	tpm
AT1G19090.1	2509	2221.39	0	0
AT1G18320.1	699	411.558	2.10698	0.864585
AT5G11100.1	1709	1421.39	153	18.1784
AT4G35335.1	1280	992.39	92	15.6561
AT1G60930.1	3876	3588.39	28	1.31776
AT1G17000.1	2351	2063.39	2	0.163692
AT3G55270.1	3130	2842.39	473	28.1032
AT4G16150.1	3181	2893.39	722	42.1414
AT3G18150.1	1370	1082.39	0	0
AT3G52310.1	2443	2155.39	2	0.156705
AT3G08943.1	3165	2877.39	308.952	18.1331
AT4G15950.1	814	526.39	21	6.73736
AT5G60900.1	2873	2585.39	8	0.522567
AT5G18710.1	1919	1631.39	1	0.103519
AT1G64460.1	2240	1952.39	277	23.9603
AT2G31100.1	1247	959.39	1	0.176029
AT1G60260.1	1634	1346.39	0	0
AT2G06210.1	3579	3291.39	230	11.8012
AT3G57180.1	2232	1944.39	12	1.04226
ATMG01320.1	922	634.39	3	0.798626
AT4G15130.1	1234	946.39	96	17.1309
AT5G39100.1	808	520.39	6	1.94716
AT4G16110.1	2666	2378.39	259	18.3906
AT5G26800.1	637	349.861	89	42.9608
AT4G16360.1	1685	1397.39	234	28.2798
ATMG00060.1	542	256.974	8	5.2575
AT1G76820.1	3857	3569.39	12.3513	0.584384
AT3G05780.1	2775	2487.39	0	0
AT1G24405.1	718	430.521	20	7.84538
AT2G27490.4	843	555.39	102.622	31.2048
AT2G27490.1	1367	1079.39	5.97101	0.934217
AT2G27490.3	1201	913.39	0	0
AT2G27490.2	1381	1093.39	52.4068	8.09451
AT3G13276.1	269	55.901	7	21.1474
AT1G71740.1	393	125.482	360	484.505
AT1G52920.1	1351	1063.39	5	0.794065
AT2G17370.1	2273	1985.39	226	19.2239
AT4G13615.1	813	525.39	786	252.65
AT3G46680.1	1350	1062.39	13	2.06651
AT1G70830.3	996	708.39	0	0
AT1G70830.2	1329	1041.39	0	0
AT1G70830.5	787	499.405	0	0
AT1G70830.4	1393	1105.39	0	0
AT1G70830.1	1331	1043.39	0	0
AT2G34090.3	1458	1170.39	0	0
AT2G34090.2	1616	1328.39	0	0
AT2G34090.1	1700	1412.39	25.2745	3.02208
AT2G34090.4	1521	1233.39	0	0
AT2G34090.5	1425	1137.39	6.7255	0.998605
AT1G65541.1	340	89.224	0	0
AT2G01050.1	1548	1260.39	0	0
AT2G07751.1	357	100.091	16	26.9961
AT4G20565.1	789	501.405	0	0
AT1G61566.1	551	265.602	0	0
AT4G29530.2	1148	860.39	0	0
AT4G29530.1	1144	856.39	35	6.902
AT5G09225.1	780	492.405	145	49.7307
AT1G21100.1	1545	1257.39	258.462	34.714
AT1G73150.1	2150	1862.39	43	3.89921
AT1G73150.2	1956	1668.39	0	0
AT3G51750.3	654	366.769	0	0
AT3G51750.1	563	277.177	16	9.74857
AT3G51750.2	560	274.313	0	0
AT1G07010.1	1622	1334.39	4	0.506239
AT1G07010.2	1556	1268.39	0	0
AT1G07010.3	1542	1254.39	0	0
AT1G32080.1	2009	1721.39	0	0
AT1G16710.5	6346	6058.39	25.3495	0.706626
AT1G16710.7	5822	5534.39	122.597	3.74099
AT1G16710.1	6018	5730.39	26.4375	0.779139
AT1G16710.4	6502	6214.39	0	0
AT1G16710.8	6455	6167.39	0	0
AT1G16710.10	6023	5735.39	0	0
AT1G16710.6	6107	5819.39	29.6996	0.861891
AT1G16710.3	6619	6331.39	0	0
AT1G16710.9	6549	6261.39	0	0
AT1G16710.2	5783	5495.39	6.91684	0.212563
AT1G07590.1	2407	2119.39	43052.9	3430.6
