ID,Path,Gene,Chromosome,Start,End,Strand,Length,BioType,Description,Flg22_vs_Mock_pvalue,Flg22_vs_Mock_padj,Flg22_vs_Mock_log2FoldChange,Flg22_SynCom33_vs_Mock_pvalue,Flg22_SynCom33_vs_Mock_padj,Flg22_SynCom33_vs_Mock_log2FoldChange,Flg22_SynCom35_vs_Mock_pvalue,Flg22_SynCom35_vs_Mock_padj,Flg22_SynCom35_vs_Mock_log2FoldChange,Flg22_vs_Mock,Flg22_SynCom33_vs_Mock,Flg22_SynCom35_vs_Mock,cl
AT1G17290.1,ARA:ALACAT2-PWY,ALAAT1,1,5922332,5926400,+,4068,protein_coding,"Alanine aminotransferase 1, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:F4I7I0]",0.010458107670329012,0.15891659836381658,0.17955736226728716,0.28500111264642447,0.654917951914117,0.07508252789956704,0.002477525765693726,0.05065172258175497,-0.21305933334067245,0,0,0,7
AT1G17300.2,ARA:ALACAT2-PWY,,1,5926636,5927784,+,1148,protein_coding,unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G17285.1); Has 27 Blast hits to 27 proteins in 4 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 27; Viruses - 0; Other Eukaryotes - 0 (source: /.../BLink). [Source:TAIR;Acc:AT1G17300],0.6010985755967421,0.9142238114278536,-0.2830557919915499,0.191318961692495,0.5515320459214639,0.6918299809569589,0.13751693752956765,0.5154230638418283,0.7840571596382107,0,0,0,1
AT1G17300.1,ARA:ALACAT2-PWY,,1,5926994,5927784,+,790,protein_coding,unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G17285.1); Has 27 Blast hits to 27 proteins in 4 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 27; Viruses - 0; Other Eukaryotes - 0 (source: /.../BLink). [Source:TAIR;Acc:AT1G17300],0.0021710521686970534,0.05726303417831748,-1.1577515324447423,0.5773368142663413,0.8566099249936335,0.2036578462067968,0.7143101280500053,0.9234214433437413,0.13374274557324312,-0,0,0,1
AT1G23310.1,ARA:ALACAT2-PWY,GGAT1,1,8268385,8272021,-,3636,protein_coding,Glutamate--glyoxylate aminotransferase 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9LR30],0.22760091098390103,0.7039117939240424,0.1846353642089018,0.05966753711558567,0.3071587002568315,0.2879572881993422,0.07394647565222168,0.38771938158357455,-0.2745054506805394,0,0,0,9
AT1G70560.1,ARA:ALACAT2-PWY,TAA1,1,26604855,26607652,+,2797,protein_coding,L-tryptophan--pyruvate aminotransferase 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9S7N2],0.15089605044260654,0.6084432975551044,-0.293123577558767,0.701890497344238,0.9125339025038203,0.07745924883488042,0.6569252964421252,0.9030258047455139,0.08969970264760145,0,0,0,1
AT1G70580.1,ARA:ALACAT2-PWY,GGAT2,1,26612359,26616071,+,3712,protein_coding,Glutamate--glyoxylate aminotransferase 2 [Source:UniProtKB/Swiss-Prot;Acc:Q9S7E9],0.14330871081266292,0.5978602491417199,1.1159942506765477,0.9782023040044853,0.9950797714787954,0.021221660768910522,0.5560383234244748,NA,-0.4620930472963504,0,0,0,7
AT1G70580.3,ARA:ALACAT2-PWY,GGAT2,1,26612999,26616069,+,3070,protein_coding,Glutamate--glyoxylate aminotransferase 2 [Source:UniProtKB/Swiss-Prot;Acc:Q9S7E9],0.006038556647110827,0.11231474783680039,0.4687016330757119,0.3841078269929149,0.7374892225714976,0.14912401910062728,0.0027403804216933206,0.0539951451147403,-0.5177536782704747,0,0,0,7
AT1G72330.1,ARA:ALACAT2-PWY,ALAAT2,1,27233418,27236822,+,3404,protein_coding,alanine aminotransferase 2 [Source:TAIR;Acc:AT1G72330],0.5726297966053469,0.9050310490075865,-0.17755276849832538,0.07210786229879586,0.3416291072111791,-0.5680581825044547,0.43587043293194777,0.797010886767086,-0.24519660319843595,0,0,0,8
AT3G03910.1,ARA:ALACAT2-PWY,GSH3,3,1006780,1009018,+,2238,protein_coding,Glutamate dehydrogenase [Source:UniProtKB/TrEMBL;Acc:A0A178VBI2],0.41946441677332247,0.8466466869171779,0.5819215820133778,0.6600349607778827,0.8964642420146048,0.3187440989296027,0.7337998791387792,NA,0.24634302924701534,0,0,0,7
AT5G07440.2,ARA:ALACAT2-PWY,GDH2,5,2355759,2358241,+,2482,protein_coding,Glutamate dehydrogenase [Source:UniProtKB/TrEMBL;Acc:A0A178UEW8],0.2877741451975939,0.7615529787911488,-0.23268392000766028,0.02905898354045251,0.20720519775449453,0.47764689495158164,0.04300748371307991,0.29452719703082164,0.44283506628849756,0,0,0,1
