target_id	length	eff_length	est_counts	tpm
AT1G19090.1	2509	2145.04	0	0
AT1G18320.1	699	335.657	1.50635	2.63216
AT5G11100.1	1709	1345.04	7	3.05241
AT4G35335.1	1280	916.044	39	24.9707
AT1G60930.1	3876	3512.04	22	3.67404
AT1G17000.1	2351	1987.04	0	0
AT3G55270.1	3130	2766.04	211	44.7409
AT4G16150.1	3181	2817.04	339	70.581
AT3G18150.1	1370	1006.04	0	0
AT3G52310.1	2443	2079.04	0	0
AT3G08943.1	3165	2801.04	135.794	28.4344
AT4G15950.1	814	450.281	12	15.6307
AT5G60900.1	2873	2509.04	6	1.40257
AT5G18710.1	1919	1555.04	3	1.13151
AT1G64460.1	2240	1876.04	78	24.3856
AT2G31100.1	1247	883.044	0	0
AT1G60260.1	1634	1270.04	2	0.923619
AT2G06210.1	3579	3215.04	120	21.8915
AT3G57180.1	2232	1868.04	7	2.19782
ATMG01320.1	922	558.069	0	0
AT4G15130.1	1234	870.044	33	22.2461
AT5G39100.1	808	444.281	3	3.96045
AT4G16110.1	2666	2302.04	102	25.9877
AT5G26800.1	637	274.337	33	70.5523
AT4G16360.1	1685	1321.04	71	31.5226
ATMG00060.1	542	183.649	1	3.1937
AT1G76820.1	3857	3493.04	6	1.00746
AT3G05780.1	2775	2411.04	3	0.72979
AT1G24405.1	718	354.532	1	1.65435
AT2G27490.4	843	479.15	18.1462	22.2125
AT2G27490.1	1367	1003.04	2.52725	1.47778
AT2G27490.3	1201	837.044	0	0
AT2G27490.2	1381	1017.04	17.3265	9.99201
AT3G13276.1	269	45.0559	3	39.0527
AT1G71740.1	393	72.9315	33	265.388
AT1G52920.1	1351	987.044	1	0.594217
AT2G17370.1	2273	1909.04	111	34.1027
AT4G13615.1	813	449.281	158	206.263
AT3G46680.1	1350	986.044	1	0.59482
AT1G70830.3	996	632.044	0	0
AT1G70830.2	1329	965.044	0	0
AT1G70830.5	787	423.333	0	0
AT1G70830.4	1393	1029.04	0	0
AT1G70830.1	1331	967.044	65	39.4229
AT2G34090.3	1458	1094.04	0	0
AT2G34090.2	1616	1252.04	0	0
AT2G34090.1	1700	1336.04	7.46393	3.27664
AT2G34090.4	1521	1157.04	1.53607	0.778649
AT2G34090.5	1425	1061.04	0	0
AT1G65541.1	340	52.7018	0	0
AT2G01050.1	1548	1184.04	0	0
AT2G07751.1	357	57.8679	2	20.2709
AT4G20565.1	789	425.299	0	0
AT1G61566.1	551	191.848	0	0
AT4G29530.2	1148	784.044	0	0
AT4G29530.1	1144	780.044	9	6.76714
AT5G09225.1	780	416.351	20	28.1743
AT1G21100.1	1545	1181.04	132	65.5525
AT1G73150.1	2150	1786.04	18	5.91101
AT1G73150.2	1956	1592.04	0	0
AT3G51750.3	654	291.051	0	0
AT3G51750.1	563	202.944	2	5.7801
AT3G51750.2	560	200.185	0	0
AT1G07010.1	1622	1258.04	2	0.932429
AT1G07010.2	1556	1192.04	0	0
AT1G07010.3	1542	1178.04	0	0
AT1G32080.1	2009	1645.04	0	0
AT1G16710.5	6346	5982.04	1.47691e-08	1.44806e-09
AT1G16710.7	5822	5458.04	111.756	12.0092
AT1G16710.1	6018	5654.04	2.48878e-05	2.58172e-06
AT1G16710.4	6502	6138.04	56.9892	5.44558
AT1G16710.8	6455	6091.04	0.00434093	0.000417997
AT1G16710.10	6023	5659.04	0	0
AT1G16710.6	6107	5743.04	3.0912e-07	3.15694e-08
AT1G16710.3	6619	6255.04	28.2505	2.64898
AT1G16710.9	6549	6185.04	0	0
AT1G16710.2	5783	5419.04	0	0
AT1G07590.1	2407	2043.04	6064	1740.86
AT5G49170.1	1172	808.044	2	1.4517
AT2G40240.1	1614	1250.04	5	2.34599
AT4G30380.2	537	179.094	0	0
AT4G30380.1	486	135.037	0	0
AT2G20619.1	201	50.978	0	0
AT3G05830.2	1420	1056.04	0	0
AT3G05830.1	1358	994.044	26.3075	15.5223
AT3G05830.3	1524	1160.04	5.69247	2.87812
AT5G11430.6	3634	3270.04	0	0
AT5G11430.2	2601	2237.04	15.8429	4.15375
AT5G11430.4	2791	2427.04	0	0
AT5G11430.3	3322	2958.04	0	0
AT5G11430.5	2373	2009.04	0	0
AT5G11430.1	3147	2783.04	20.1571	4.24806
AT1G20530.1	2269	1905.04	3	0.92363
AT4G23170.1	1824	1460.04	0	0
AT1G44780.2	1644	1280.04	5.76898	2.64336
AT1G44780.1	1647	1283.04	17.231	7.87682
AT1G60880.1	606	244.018	0	0
AT1G06160.1	1086	722.044	1	0.812303
AT3G07260.1	1204	840.044	2	1.3964
AT1G21090.1	1404	1040.04	31	17.482
AT1G21090.2	1416	1052.04	0	0
AT1G76730.1	1500	1136.04	3	1.54884
AT1G03970.1	1190	826.044	80	56.8026
AT5G19160.1	2182	1818.04	8	2.58088
AT5G19160.2	2242	1878.04	0	0
AT3G49744.1	174	52.0629	0	0
AT5G28820.1	519	162.981	0	0
AT4G12530.1	730	366.445	1	1.60057
AT4G20050.1	1924	1560.04	0	0
AT4G20050.5	1742	1378.04	0	0
AT4G20050.3	1800	1436.04	0	0
AT4G20050.2	1873	1509.04	0	0
AT4G20050.6	1732	1368.04	7	3.00109
AT4G20050.7	1707	1343.04	0	0
AT4G20050.4	1981	1617.04	0	0
AT5G53810.1	1574	1210.04	4	1.93883
AT2G28690.1	1117	753.044	12	9.34636
AT5G01530.1	1396	1032.04	38	21.5957
AT3G62800.3	1283	919.044	0	0
AT3G62800.1	1368	1004.04	10.9058	6.37069
AT3G62800.2	1297	933.044	9.0942	5.71668
ATCG00900.1	468	120.782	21	101.976
AT3G11385.1	2459	2095.04	26	7.27883
AT5G07010.1	1779	1415.04	96	39.7908
AT3G63040.1	654	291.051	0	0
AT2G26570.2	2921	2557.04	8.56395	1.96434
AT2G26570.1	2941	2577.04	207.436	47.2111
AT3G05560.2	756	392.4	0	0
AT3G05560.3	841	477.17	0	0
AT3G05560.1	840	476.17	317	390.462
AT5G12080.3	2694	2330.04	89	22.4031
AT5G12080.2	2805	2441.04	0	0
AT5G12080.1	2754	2390.04	0	0
AT1G50870.1	1191	827.044	0	0
AT2G20610.2	1748	1384.04	13.5094	5.72488
AT2G20610.1	1794	1430.04	142.491	58.4411
AT5G02940.2	2792	2428.04	0	0
AT5G02940.1	2920	2556.04	6	1.37678
AT1G68430.1	945	581.069	4	4.03751
AT1G66550.2	856	492.111	0	0
AT1G66550.1	765	401.384	0	0
AT1G09380.1	1641	1277.04	2	0.918556
AT3G48840.1	757	393.384	0	0
AT3G48840.2	667	303.93	0	0
AT5G61800.1	1629	1265.04	2	0.927269
AT5G01445.1	589	227.731	1	2.57549
AT4G35500.1	1975	1611.04	14.3416	5.22123
AT4G35500.2	1638	1274.04	18.6584	8.58956
AT1G80310.1	1937	1573.04	100	37.2856
AT2G39400.2	1307	943.044	0	0
AT2G39400.1	1394	1030.04	90	51.247
AT4G04990.1	1217	853.044	40	27.5024
AT3G60530.1	1465	1101.04	119	63.3905
AT2G46180.1	2540	2176.04	66	17.7893
AT2G22270.1	1398	1034.04	35.9991	20.419
AT2G22270.2	1174	810.044	0.000940106	0.000680691
AT2G43660.1	471	123.106	0	0
AT2G43660.2	597	235.409	1	2.49149
AT1G03910.2	2466	2102.04	0	0
AT1G03910.1	2565	2201.04	180	47.9651
AT1G77590.1	2692	2328.04	104.56	26.3425
AT1G77590.2	2669	2305.04	9.43988	2.40198
AT1G79020.1	2134	1770.04	45	14.9111
AT5G24420.1	1321	957.044	0	0
AT5G39490.1	1701	1337.04	3	1.316
AT3G26922.2	1894	1530.04	0	0
AT3G26922.1	1793	1429.04	5	2.05214
AT3G26922.4	1661	1297.04	0	0
AT3G26922.5	1642	1278.04	0	0
AT3G26922.3	1711	1347.04	0	0
AT3G50450.1	926	562.069	2	2.087
AT3G17160.1	882	518.09	85	96.2266
AT1G34315.1	819	455.263	14	18.0363
AT5G08580.2	1818	1454.04	0	0
AT5G08580.1	1736	1372.04	56	23.9388
AT2G28360.1	3032	2668.04	90	19.7848
AT4G25000.1	1606	1242.04	2	0.944441
AT5G27410.4	1734	1370.04	21.7322	9.3036
AT5G27410.1	2156	1792.04	58.5786	19.1722
AT5G27410.3	2229	1865.04	3.68922	1.16018
AT5G27410.2	3153	2789.04	0	0
AT5G65200.1	1982	1618.04	59	21.3867
AT5G23535.1	1015	651.044	70.409	63.4307
AT5G23535.2	830	466.189	0.590981	0.743521
AT1G05230.1	3520	3156.04	0	0
AT1G05230.5	3644	3280.04	0	0
AT1G05230.12	2134	1770.04	0.746243	0.247274
AT1G05230.6	3553	3189.04	0	0
AT1G05230.2	2983	2619.04	0	0
AT1G05230.11	2424	2060.04	0	0
AT1G05230.3	2678	2314.04	4.25376	1.07816
AT1G05230.7	3526	3162.04	0	0
AT1G05230.10	2557	2193.04	0	0
AT1G05230.9	3140	2776.04	0	0
AT1G05230.4	2974	2610.04	0	0
AT1G05230.8	3231	2867.04	0	0
AT1G79830.1	3669	3305.04	21.5656	3.82707
AT1G79830.3	3588	3224.04	111.039	20.2002
AT1G79830.2	3278	2914.04	272.141	54.7747
AT1G79830.4	3547	3183.04	0	0
AT1G79830.5	3718	3354.04	6.25414	1.09366
AT5G09480.1	840	476.17	181	222.945
AT5G56480.1	409	81.181	0	0
AT5G60820.1	1648	1284.04	20	9.13549
AT5G55820.7	5630	5266.04	21.7492	2.42237
AT5G55820.5	5831	5467.04	7.79469	0.836234
AT5G55820.8	5630	5266.04	21.7492	2.42237
AT5G55820.10	5271	4907.04	0	0
AT5G55820.4	5292	4928.04	0	0
AT5G55820.9	5896	5532.04	33.7069	3.57368
AT5G55820.2	5622	5258.04	0	0
AT5G55820.11	5449	5085.04	6.74066e-06	7.77481e-07
AT5G55820.3	5610	5246.04	3.93035e-08	4.39421e-09
AT5G55820.6	5642	5278.04	3.65714e-06	4.06397e-07
AT5G55820.1	5481	5117.04	0	0
AT5G44950.1	1317	953.044	0	0
AT4G31140.1	2171	1807.04	26	8.43891
AT4G35910.1	2164	1800.04	31	10.1009
AT3G56220.2	541	182.786	5.66279e-08	1.81706e-07
AT3G56220.1	905	541.069	3	3.252
AT2G19970.1	926	562.069	57	59.4795
AT5G54520.1	1864	1500.04	23	8.99302
AT2G04032.1	1403	1039.04	0	0
AT5G03455.1	704	340.588	57.7212	99.4002
AT5G03455.2	1006	642.044	1.27878	1.16819
AT1G48140.2	563	202.944	0	0
AT1G48140.1	743	379.4	20	30.9182
AT4G15050.1	1191	827.044	0	0
ATCG00420.1	477	127.723	1	4.59211
AT5G30360.1	420	87.6527	0	0
AT2G32600.1	1301	937.044	55	34.4258
AT2G41010.1	1250	886.044	90	59.5757
AT5G07170.2	1274	910.044	0	0
AT5G07170.1	1612	1248.04	0	0
AT5G32670.1	700	336.657	0	0
AT1G60250.1	756	392.4	0	0
AT4G09012.1	1175	811.044	2	1.44633
AT3G26355.1	64	18.2059	0	0
AT5G02710.1	1195	831.044	5	3.5288
AT5G02710.2	1778	1414.04	0	0
AT5G02710.3	1348	984.044	0	0
AT4G10110.1	836	472.17	52	64.5932
AT5G13900.1	754	390.4	24	36.0565
AT5G16380.1	1108	744.044	24	18.9188
AT5G40630.1	937	573.069	11	11.2582
AT1G55670.1	780	416.351	15.9552	22.4762
AT5G66940.1	897	533.09	0	0
AT3G06520.1	1598	1234.04	0	0
AT3G06520.2	1668	1304.04	4	1.79908
AT3G52870.1	1811	1447.04	172	69.7153
AT3G02900.2	759	395.384	0	0
AT3G02900.1	852	488.111	39	46.8628
AT1G31520.1	399	75.851	0	0
AT5G57660.1	1564	1200.04	161	78.6883
AT3G09110.1	1666	1302.04	0	0
AT4G23690.1	1139	775.044	211	159.675
AT1G05035.1	363	59.8304	0	0
AT5G45700.1	1180	816.044	15	10.781
AT5G40410.1	1981	1617.04	3	1.08813
AT3G06580.1	2012	1648.04	226	80.4306
AT3G14920.1	2536	2172.04	128	34.5639
AT1G77610.1	1617	1253.04	88	41.1906
AT1G19170.1	1827	1463.04	36	14.432
AT2G20740.1	1179	815.044	40	28.7846
AT2G20740.2	935	571.069	0	0
AT2G20740.3	815	451.281	0	0
AT3G26940.1	1793	1429.04	0	0
AT4G27150.1	735	371.4	0	0
AT2G26000.1	1672	1308.04	0	0
AT2G26000.2	1892	1528.04	26.8033	10.2881
AT2G26000.3	2370	2006.04	4.19674	1.22703
AT5G38743.1	183	51.7201	0	0
AT4G15210.4	2461	2097.04	0	0
AT4G15210.1	2066	1702.04	0	0
AT4G15210.3	2291	1927.04	0	0
AT4G15210.2	1890	1526.04	0	0
AT1G29070.1	819	455.263	10	12.8831
AT4G27570.1	1655	1291.04	1	0.454298
AT5G65560.3	3618	3254.04	14.5023	2.61394
AT5G65560.2	3697	3333.04	6.31543	1.11133
AT5G65560.1	3623	3259.04	7.18227	1.29257
AT1G04170.1	1860	1496.04	187	73.3126
AT1G04170.2	2026	1662.04	0	0
ATCG00905.1	258	46.6898	28	351.737
AT1G29250.1	795	431.299	68	92.4724
AT3G51050.1	2543	2179.04	140	37.6828
AT5G23060.2	1608	1244.04	0	0
AT5G23060.1	1529	1165.04	4	2.01372
AT4G14770.2	3098	2734.04	0	0
AT4G14770.1	3064	2700.04	32.3999	7.03808
AT4G14770.3	3072	2708.04	0	0
AT3G44140.1	216	48.5921	0	0
AT1G14630.2	1186	822.044	2.62507	1.87296
AT1G14630.1	1020	656.044	13.3749	11.9575
AT3G21480.1	3503	3139.04	47	8.78177
AT3G58760.4	1979	1615.04	0	0
AT3G58760.5	1946	1582.04	10.8163	4.00997
AT3G58760.2	2050	1686.04	0	0
AT3G58760.6	1827	1463.04	3.67061	1.47151
AT3G58760.3	2017	1653.04	0	0
AT3G58760.1	1839	1475.04	35.5131	14.121
AT2G03390.1	1459	1095.04	38.7179	20.7378
AT2G03390.6	1475	1111.04	0	0
AT2G03390.3	1546	1182.04	0	0
AT2G03390.2	1210	846.044	0	0
AT2G03390.7	1166	802.044	3.28209	2.40013
AT2G03390.4	1497	1133.04	0	0
AT2G03390.5	1476	1112.04	0	0
AT2G23093.2	1653	1289.04	7.87821	3.58461
AT2G23093.1	1834	1470.04	8.12179	3.24043
AT1G62600.1	1548	1184.04	60	29.7211
AT1G62600.2	1253	889.044	0	0
AT3G54925.1	546	187.303	0	0
AT4G29550.3	1296	932.044	0	0
AT4G29550.1	1236	872.044	0	0
AT4G29550.2	1382	1018.04	1	0.576123
AT5G02280.1	661	297.991	15	29.5236
AT2G36080.2	1783	1419.04	0	0
AT2G36080.4	1695	1331.04	1.56646	0.690254
AT2G36080.1	1311	947.044	11.7759	7.29301
AT2G36080.3	2143	1779.04	1.6576	0.54648
AT5G40830.2	1808	1444.04	0	0
AT5G40830.3	1497	1133.04	0	0
AT5G40830.1	1706	1342.04	31	13.548
AT3G58110.1	2818	2454.04	260	62.1402
AT3G58110.2	2618	2254.04	0	0
AT2G46900.1	2280	1916.04	172	52.6508
AT3G13440.2	1065	701.044	0.0119606	0.0100066
AT3G13440.1	2047	1683.04	117.988	41.1173
AT3G13440.3	969	605.069	9.36746e-06	9.08027e-06
