ID,Path,Gene,Chromosome,Start,End,Strand,Length,BioType,Description,Flg22_vs_Mock_pvalue,Flg22_vs_Mock_padj,Flg22_vs_Mock_log2FoldChange,Flg22_SynCom33_vs_Mock_pvalue,Flg22_SynCom33_vs_Mock_padj,Flg22_SynCom33_vs_Mock_log2FoldChange,Flg22_SynCom35_vs_Mock_pvalue,Flg22_SynCom35_vs_Mock_padj,Flg22_SynCom35_vs_Mock_log2FoldChange,Flg22_vs_Mock,Flg22_SynCom33_vs_Mock,Flg22_SynCom35_vs_Mock,cl
AT1G19920.1,ARA:SULFMETII-PWY,APS2,1,6914518,6916823,-,2305,protein_coding,ATP sulfurylase 2 [Source:UniProtKB/Swiss-Prot;Acc:Q43870],0.3680682245971803,0.8164791665105732,0.18214662871775578,0.4111225185948677,0.7567649647265978,-0.1667111733713683,0.9247951300775906,0.9828379026747323,0.019111668632590142,0,0,0,3
AT1G62180.1,ARA:SULFMETII-PWY,APR2,1,22975530,22977885,-,2355,protein_coding,"5'-adenylylsulfate reductase 2, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:P92981]",0.36409545152842937,0.8145469697356371,0.3372995103845247,7.000489330599006e-4,0.01739123094567803,-1.264050147226032,2.1028084222757192e-4,0.00845976003730924,-1.3823284684026407,0,-1,-1,2
AT1G62180.2,ARA:SULFMETII-PWY,APR2,1,22975760,22977625,-,1865,protein_coding,"5'-adenylylsulfate reductase 2, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:P92981]",0.2601241627734355,0.737812768615966,0.6085674199784556,0.0016660632988588324,0.03232954809034756,-1.7167969515835935,0.004570448736917989,0.07677073872160071,-1.545217303511673,0,-1,-0,2
AT3G22890.1,ARA:SULFMETII-PWY,APS1,3,8112614,8115024,+,2410,protein_coding,"ATP sulfurylase 1, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9LIK9]",0.00557796604565102,0.10673310240296813,0.43722893871330765,0.8381981384631007,0.9552647563225275,0.03223590457024719,0.7416503309601702,0.9314525565355267,-0.05204278522947199,0,0,0,7
AT4G04610.1,ARA:SULFMETII-PWY,APR1,4,2324878,2327064,+,2186,protein_coding,"5'-adenylylsulfate reductase 1, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:P92979]",0.0026973804825882646,0.06588222892208039,0.9439880417828235,0.1823645669222801,0.5402557391502494,-0.4201842286916933,0.11389009776321801,0.4770204804962151,-0.49814209055713793,0,0,0,7
AT4G14680.1,ARA:SULFMETII-PWY,APS3,4,8413263,8415650,-,2387,protein_coding,Pseudouridine synthase/archaeosine transglycosylase-like family protein [Source:TAIR;Acc:AT4G14680],3.1221855276893383e-6,4.4169464048538415e-4,1.1169420465420157,0.022705363618131368,0.17859090523101143,0.551173942701635,0.1409605514024466,0.5214439298114109,0.35694594604215474,1,0,0,7
AT4G14680.1,ARA:SULFMETII-PWY,APS3,4,8413263,8415650,-,2387,protein_coding,Pseudouridine synthase/archaeosine transglycosylase-like family protein [Source:TAIR;Acc:AT4G14680],3.1221855276893383e-6,4.4169464048538415e-4,1.1169420465420157,0.022705363618131368,0.17859090523101143,0.551173942701635,0.1409605514024466,0.5214439298114109,0.35694594604215474,1,0,0,7
AT4G21990.1,ARA:SULFMETII-PWY,APR3,4,11657008,11659105,-,2097,protein_coding,"5'-adenylylsulfate reductase 3, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:P92980]",0.17565539344455522,0.6465459148703775,0.5226756266542893,0.03307149562079905,0.22225698631958002,-0.8231996905813235,0.03779834723799607,0.2753111225709081,-0.8021957596928281,0,0,0,7
AT5G04590.1,ARA:SULFMETII-PWY,SIR,5,1319074,1323364,+,4290,protein_coding,SIR [Source:UniProtKB/TrEMBL;Acc:A0A178UPZ1],0.9969420914478487,0.9993324120936764,7.931428371716764e-4,0.0036969937344953573,0.05657375519398642,-0.6011434671435003,0.62031992618853,0.8895479653683196,-0.10252478256701306,0,0,0,3
AT5G43780.1,ARA:SULFMETII-PWY,APS4,5,17589394,17591737,-,2343,protein_coding,"ATP sulfurylase 4, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9S7D8]",0.009828487748119317,0.15243292810164163,-0.8009739122659821,0.06967899587834131,0.33466334950894605,-0.5626570461115821,0.7857364245278122,0.9449733503944264,-0.08428974795676751,0,0,0,8
