ID,Path,Gene,Chromosome,Start,End,Strand,Length,BioType,Description,Flg22_vs_Mock_pvalue,Flg22_vs_Mock_padj,Flg22_vs_Mock_log2FoldChange,Flg22_SynCom33_vs_Mock_pvalue,Flg22_SynCom33_vs_Mock_padj,Flg22_SynCom33_vs_Mock_log2FoldChange,Flg22_SynCom35_vs_Mock_pvalue,Flg22_SynCom35_vs_Mock_padj,Flg22_SynCom35_vs_Mock_log2FoldChange,Flg22_vs_Mock,Flg22_SynCom33_vs_Mock,Flg22_SynCom35_vs_Mock,cl
AT1G62800.1,ARA:ASPASN-ARA-PWY,ASP4,1,23253703,23257463,-,3760,protein_coding,Aspartate aminotransferase [Source:UniProtKB/TrEMBL;Acc:F4I0D4],0.7354124919359641,0.9513375365248583,0.1055257806450319,0.824957662097589,0.9517485030993669,-0.0691262350005828,0.5322808145965466,0.8500564952144752,-0.19522959778870536,0,0,0,7
AT1G62800.2,ARA:ASPASN-ARA-PWY,ASP4,1,23253703,23257546,-,3843,protein_coding,Aspartate aminotransferase [Source:UniProtKB/TrEMBL;Acc:F4I0D4],0.0685078874839192,0.43642811833342293,0.3294479312537344,0.25134867369336916,0.6217811522550171,0.20775697660215944,0.519784066987663,0.843537375111418,0.11658459927121972,0,0,0,7
AT1G62800.3,ARA:ASPASN-ARA-PWY,ASP4,1,23254507,23257463,-,2956,protein_coding,Aspartate aminotransferase [Source:UniProtKB/TrEMBL;Acc:F4I0D4],0.7009399438827786,0.941709392359911,0.12543415018294907,0.6891054200968456,0.9076688431332556,0.1306839772223043,0.04919210784829409,0.31775519095869514,-0.6566611772149882,0,0,0,9
AT1G62960.1,ARA:ASPASN-ARA-PWY,ACS10,1,23318187,23320427,-,2240,protein_coding,Probable aminotransferase ACS10 [Source:UniProtKB/Swiss-Prot;Acc:Q9LQ10],0.9392574707761223,0.9921389627388929,0.014082178577617755,0.714711918876656,0.917389380854809,-0.06776461577302104,0.9161297634041055,0.9809537893625957,-0.019431850657469687,0,0,0,3
AT2G03667.1,ARA:ASPASN-ARA-PWY,,2,1114127,1117477,+,3350,protein_coding,Asparagine synthase family protein [Source:UniProtKB/TrEMBL;Acc:A8MRC1],0.15895635672575237,0.6203193778846487,0.23388868411231253,0.9304363307988057,0.983407621472576,0.014672562542470348,0.3062050079020369,0.7077813522520477,-0.1729499893552926,0,0,0,7
AT2G22250.2,ARA:ASPASN-ARA-PWY,PAT,2,9457786,9460908,-,3122,protein_coding,Bifunctional aspartate aminotransferase and glutamate/aspartate-prephenate aminotransferase [Source:UniProtKB/Swiss-Prot;Acc:Q9SIE1],0.6843358306141589,0.9380756985662715,-0.3980962444682307,0.2209761611766399,NA,-1.2344025074643514,0.5703226380310595,NA,-0.5569747301356325,0,-0,0,8
AT2G22250.1,ARA:ASPASN-ARA-PWY,PAT,2,9457786,9460908,-,3122,protein_coding,Bifunctional aspartate aminotransferase and glutamate/aspartate-prephenate aminotransferase [Source:UniProtKB/Swiss-Prot;Acc:Q9SIE1],0.0018593864424429148,0.051618705291643696,0.4634715064746433,0.41142275876290374,0.756968231842108,0.12276408476404622,0.059440677980625696,0.3474304739693618,-0.2828216343125134,0,0,0,7
AT2G22250.3,ARA:ASPASN-ARA-PWY,PAT,2,9457810,9460919,-,3109,protein_coding,Bifunctional aspartate aminotransferase and glutamate/aspartate-prephenate aminotransferase [Source:UniProtKB/Swiss-Prot;Acc:Q9SIE1],0.04215218746660102,0.3454844086573576,1.96972770872829,0.014057264592426717,0.13415520695880873,2.378534372353136,0.3230498111286488,0.7207578926210731,0.9609238039498547,0,0,0,9
AT2G30970.1,ARA:ASPASN-ARA-PWY,ASP1,2,13178829,13182050,+,3221,protein_coding,"Aspartate aminotransferase, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:P46643]",0.32357081404862037,0.7869707451867592,0.3199208189213375,0.39485021342624727,0.745881622844778,0.2759723682355816,0.7735446182620463,0.9415282027948517,0.0934615848346736,0,0,0,9
AT2G30970.2,ARA:ASPASN-ARA-PWY,ASP1,2,13178840,13181931,+,3091,protein_coding,"Aspartate aminotransferase, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:P46643]",0.9056902651874399,0.9869002016097549,0.009809935245911637,0.0015958059774319117,0.03147251384691608,-0.26291883696890844,0.03298038226781312,0.25651225265612015,-0.17693278519027328,0,0,0,3
