ID,Path,Gene,Chromosome,Start,End,Strand,Length,BioType,Description,Flg22_vs_Mock_pvalue,Flg22_vs_Mock_padj,Flg22_vs_Mock_log2FoldChange,Flg22_SynCom33_vs_Mock_pvalue,Flg22_SynCom33_vs_Mock_padj,Flg22_SynCom33_vs_Mock_log2FoldChange,Flg22_SynCom35_vs_Mock_pvalue,Flg22_SynCom35_vs_Mock_padj,Flg22_SynCom35_vs_Mock_log2FoldChange,Flg22_vs_Mock,Flg22_SynCom33_vs_Mock,Flg22_SynCom35_vs_Mock,cl
AT1G08830.1,ARA:DETOX1-PWY-1,CSD1,1,2827060,2829315,+,2255,protein_coding,Superoxide dismutase [Cu-Zn] 1 [Source:UniProtKB/Swiss-Prot;Acc:P24704],0.35950472876718786,0.8112335215828371,-1.234149146347805,0.49671235866050373,0.8106746175406265,0.9054692038565247,0.41605287662674856,0.7828261780858138,1.0828761787361556,-0,0,0,1
AT1G08830.2,ARA:DETOX1-PWY-1,CSD1,1,2827118,2829315,+,2197,protein_coding,Superoxide dismutase [Cu-Zn] 1 [Source:UniProtKB/Swiss-Prot;Acc:P24704],0.18505752635276715,0.6599167881180599,-0.5197579350080064,0.42196889594490145,0.7638117204761189,-0.31484114278184044,0.3428980422783089,0.7351787809581637,0.3716120381671018,0,0,0,4
AT1G20620.1,ARA:DETOX1-PWY-1,CAT3,1,7142972,7146540,+,3568,protein_coding,catalase 3 [Source:TAIR;Acc:AT1G20620],0.6193214983428192,0.9200133934151573,-0.10866133281758214,0.5297168506417331,0.8302150407504121,-0.1374582922764643,0.12111817454617367,0.4896480656649168,0.33881867549878947,0,0,0,4
AT1G20620.1,ARA:DETOX1-PWY-1,CAT3,1,7142972,7146540,+,3568,protein_coding,catalase 3 [Source:TAIR;Acc:AT1G20620],0.6193214983428192,0.9200133934151573,-0.10866133281758214,0.5297168506417331,0.8302150407504121,-0.1374582922764643,0.12111817454617367,0.4896480656649168,0.33881867549878947,0,0,0,4
AT1G20620.6,ARA:DETOX1-PWY-1,CAT3,1,7143133,7146540,+,3407,protein_coding,catalase 3 [Source:TAIR;Acc:AT1G20620],0.6863345158020729,0.9384196103438033,-0.6928477491374049,0.5873652286257537,NA,-0.9342163834014492,0.5182800852500744,NA,-1.113645028163233,0,0,-0,8
AT1G20620.6,ARA:DETOX1-PWY-1,CAT3,1,7143133,7146540,+,3407,protein_coding,catalase 3 [Source:TAIR;Acc:AT1G20620],0.6863345158020729,0.9384196103438033,-0.6928477491374049,0.5873652286257537,NA,-0.9342163834014492,0.5182800852500744,NA,-1.113645028163233,0,0,-0,8
AT1G20620.7,ARA:DETOX1-PWY-1,CAT3,1,7143805,7146540,+,2735,protein_coding,catalase 3 [Source:TAIR;Acc:AT1G20620],0.21227964218904902,0.6887223947149396,1.3819750349558337,0.7541960931897329,NA,0.3555811089115799,0.46719538109456005,NA,0.8133331573769859,0,0,0,7
AT1G20620.7,ARA:DETOX1-PWY-1,CAT3,1,7143805,7146540,+,2735,protein_coding,catalase 3 [Source:TAIR;Acc:AT1G20620],0.21227964218904902,0.6887223947149396,1.3819750349558337,0.7541960931897329,NA,0.3555811089115799,0.46719538109456005,NA,0.8133331573769859,0,0,0,7
AT1G20630.1,ARA:DETOX1-PWY-1,CAT1,1,7146636,7150180,+,3544,protein_coding,CAT1 [Source:UniProtKB/TrEMBL;Acc:A0A384KXY6],0.018520322059731573,0.21935422461528165,0.4023363098451799,0.9217055933064386,0.9808847324063533,-0.016939678571586778,0.34476276950517276,0.7365234306309971,0.1618990010772424,0,0,0,3
AT1G63460.1,ARA:DETOX1-PWY-1,GPX8,1,23534946,23536467,+,1521,protein_coding,Probable glutathione peroxidase 8 [Source:UniProtKB/Swiss-Prot;Acc:Q8LBU2],0.6610075149616479,0.9317840824110875,0.07966041390051054,0.4678990994425533,0.7933251707873293,0.13179762347478816,0.4945005640623303,0.8300212495787025,-0.12430766657351244,0,0,0,9
AT2G28190.1,ARA:DETOX1-PWY-1,CSD2,2,12014412,12016569,+,2157,protein_coding,"Superoxide dismutase [Cu-Zn] 2, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:O78310]",0.15182734037477438,0.6092887723836397,-0.5825929124374597,0.14423812985634207,0.4824923905754136,-0.5936445907545993,0.20167417461277592,0.6044049357098217,0.5177452971427147,0,0,0,4
AT2G30860.1,ARA:DETOX1-PWY-1,GSTF9,2,13138882,13140392,+,1510,protein_coding,GSTF9 [Source:UniProtKB/TrEMBL;Acc:A0A178VP05],0.7932224522319766,0.9639645952123239,-0.029650827268198506,0.029406001409379438,0.20841651859433713,-0.246462059353121,4.895957352747707e-5,0.0028178694256556064,0.4589714781977915,0,0,0,4
AT2G30870.1,ARA:DETOX1-PWY-1,GSTF10,2,13141290,13142676,+,1386,protein_coding,Glutathione S-transferase F10 [Source:UniProtKB/Swiss-Prot;Acc:P42761],0.07029256121058187,0.44104642878335776,0.1727043647575722,6.954856340427716e-6,4.793857644701996e-4,0.4286580001461785,0.44990056898214015,0.8048563272287573,0.07209851636312943,0,0,0,5
AT2G43350.2,ARA:DETOX1-PWY-1,GPX3,2,18008482,18010606,-,2124,protein_coding,"Probable glutathione peroxidase 3, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:O22850]",0.3187769818488831,0.7835267249332318,-0.3347487894508703,0.39793835540420647,0.7476926680399103,-0.28302828523643536,0.8642052398768011,0.9680044060890004,0.05583229562437959,0,0,0,4
AT2G43350.1,ARA:DETOX1-PWY-1,GPX3,2,18008642,18010614,-,1972,protein_coding,"Probable glutathione peroxidase 3, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:O22850]",0.5212828159201537,0.8884486131268284,-0.07901765020355508,0.7125456293692587,0.9169731250277376,0.04523672724998765,0.7443063206482645,0.9323885166444128,0.03994915091439316,0,0,0,1
AT2G48150.1,ARA:DETOX1-PWY-1,GPX4,2,19687831,19689229,-,1398,protein_coding,Probable glutathione peroxidase 4 [Source:UniProtKB/Swiss-Prot;Acc:Q8L910],0.634117879528243,NA,0.3716988553867005,0.9483972394941598,NA,-0.05211251690715479,0.7137444076761761,NA,0.2865500350353253,0,0,0,3
AT3G10920.1,ARA:DETOX1-PWY-1,MSD1,3,3417940,3419892,+,1952,protein_coding,"Superoxide dismutase [Mn] 1, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:O81235]",0.1650470031311054,0.6306789210802749,0.10659247532554889,0.9858306219484683,0.9964415824188664,0.001365514358536991,0.052275284611847515,0.32819589640611113,-0.14934931391094755,0,0,0,7
AT3G56350.1,ARA:DETOX1-PWY-1,MSD2,3,20893946,20895634,-,1688,protein_coding,Superoxide dismutase [Source:UniProtKB/TrEMBL;Acc:A0A178VDJ0],0.04451075474396859,0.3541344615140198,2.147816847005495,0.7958314745084545,NA,0.29053557700081223,0.24630403414450036,NA,-1.4737301281540198,0,0,-0,7
AT3G63080.1,ARA:DETOX1-PWY-1,GPX5,3,23309737,23311397,+,1660,protein_coding,Probable glutathione peroxidase 5 [Source:UniProtKB/Swiss-Prot;Acc:Q9LYB4],0.5094157308884946,0.8832710639379524,0.10143992592706287,0.15432410446249234,0.4975839845123706,0.21868644740713988,0.959329898268192,0.9904726435521282,0.007842477336613429,0,0,0,5
AT4G25100.3,ARA:DETOX1-PWY-1,FSD1,4,12884300,12886708,-,2408,protein_coding,"Superoxide dismutase [Fe] 1, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:P21276]",0.8766401083921824,0.9818966065462236,0.035567751931656115,0.32901276727709067,0.6920475531571953,-0.22380237942334577,0.6266979232421268,0.8921888062819745,-0.1114617051686225,0,0,0,3
AT4G25100.2,ARA:DETOX1-PWY-1,FSD1,4,12884300,12886902,-,2602,protein_coding,"Superoxide dismutase [Fe] 1, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:P21276]",0.2439969838000592,0.7227791363391982,0.8061193678788218,0.863378790467005,0.9637578545103545,0.11949814311640451,0.8548135609579008,0.9650040540703506,-0.12721113074171858,0,0,0,7
AT4G25100.5,ARA:DETOX1-PWY-1,FSD1,4,12884418,12887011,-,2593,protein_coding,"Superoxide dismutase [Fe] 1, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:P21276]",0.8807044130906335,0.9827118127411333,-0.03936920334885187,0.005333394015632983,0.07178401807780996,-0.7316227503221657,0.0645580619378462,0.3619524246331167,-0.4850868711346879,0,0,0,2
AT4G35090.1,ARA:DETOX1-PWY-1,CAT2,4,16700312,16703504,-,3192,protein_coding,catalase 2 [Source:TAIR;Acc:AT4G35090],0.8532302675560812,0.9760212775968224,-0.033745348580525455,0.10401542149151644,0.4115000089087483,-0.2966592394650726,0.4908101010358696,0.8281489196030261,-0.12568598723637367,0,0,0,3
AT4G35090.2,ARA:DETOX1-PWY-1,CAT2,4,16700342,16703286,-,2944,protein_coding,catalase 2 [Source:TAIR;Acc:AT4G35090],0.043301780729399476,0.3504554117339522,-1.268475769426701,0.9388834774894406,0.9860075367110414,0.047405202286431095,0.6968245997579925,0.9173300257716981,0.2404388065454208,-0,0,0,1
AT4G35090.3,ARA:DETOX1-PWY-1,CAT2,4,16700350,16703486,-,3136,protein_coding,catalase 2 [Source:TAIR;Acc:AT4G35090],0.833749507894163,0.970542629013237,0.28946848629381083,0.8149923020187199,0.9495889018864694,0.32264051772768443,0.4872157111410513,NA,0.9534875191499321,0,0,0,6
AT5G18100.2,ARA:DETOX1-PWY-1,CSD3,5,5987187,5988464,+,1277,protein_coding,Superoxide dismutase [Cu-Zn] 3 [Source:UniProtKB/Swiss-Prot;Acc:Q9FK60],0.08093389909604878,0.4702425736526493,1.5125749743735781,0.6807550325862758,NA,0.3677388836511502,0.6667872784319991,NA,0.38335674950965287,0,0,0,7
AT5G18100.1,ARA:DETOX1-PWY-1,CSD3,5,5987187,5988885,+,1698,protein_coding,Superoxide dismutase [Cu-Zn] 3 [Source:UniProtKB/Swiss-Prot;Acc:Q9FK60],0.05512100247681878,0.3947252286559375,0.4325169970006482,0.09062090514971567,0.3850887088578338,0.38242112861921806,0.5495630439303387,0.8590895198749895,0.1360442288558064,0,0,0,9
AT5G23310.1,ARA:DETOX1-PWY-1,FSD3,5,7850444,7852534,+,2090,protein_coding,"Superoxide dismutase [Fe] 3, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9FMX0]",0.4007237178354616,0.8385202915096651,-0.21358532629235596,0.33065768376398785,0.6935579403071442,-0.24776941417464593,0.2072949769972352,0.6091243697677416,0.3130938660714922,0,0,0,4
AT5G51100.6,ARA:DETOX1-PWY-1,FSD2,5,20773296,20775318,-,2022,protein_coding,"Superoxide dismutase [Fe] 2, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9LU64]",0.1497507840471748,0.6069554640349317,-0.6999117759470356,0.5281098680376284,0.8293564800428426,-0.301935276328937,0.4515307400624116,0.8058523818202363,0.3529582482057438,0,0,0,4
