ID,Path,Gene,Chromosome,Start,End,Strand,Length,BioType,Description,Flg22_vs_Mock_pvalue,Flg22_vs_Mock_padj,Flg22_vs_Mock_log2FoldChange,Flg22_SynCom33_vs_Mock_pvalue,Flg22_SynCom33_vs_Mock_padj,Flg22_SynCom33_vs_Mock_log2FoldChange,Flg22_SynCom35_vs_Mock_pvalue,Flg22_SynCom35_vs_Mock_padj,Flg22_SynCom35_vs_Mock_log2FoldChange,Flg22_vs_Mock,Flg22_SynCom33_vs_Mock,Flg22_SynCom35_vs_Mock,cl
AT1G13560.3,ARA:PWY4FS-6,AAPT1,1,4638468,4641458,-,2990,protein_coding,ATAAPT1 [Source:UniProtKB/TrEMBL;Acc:A0A178WA43],0.025455850534117287,0.26219975062945267,-0.5020721254002632,0.1956169725382705,0.556993481175065,-0.2901261767337121,0.5656481054576035,0.8670023042623188,0.1281978004319163,0,0,0,4
AT1G13560.1,ARA:PWY4FS-6,AAPT1,1,4638486,4642190,-,3704,protein_coding,ATAAPT1 [Source:UniProtKB/TrEMBL;Acc:A0A178WA43],0.34952947533985707,0.8062392708802537,0.2572646100557502,0.46987697955269664,0.7944671340546947,-0.1999045521262101,0.03689917435348609,0.2713385319733883,0.571794151084621,0,0,0,4
AT1G43710.1,ARA:PWY4FS-6,SDC,1,16486230,16488462,-,2232,protein_coding,SDC1 [Source:UniProtKB/TrEMBL;Acc:A0A178WA97],0.2645622350103136,0.7416290089156468,-0.17990455780821063,0.01745567974512386,0.1523023638131839,-0.38359216315588684,0.29378526080550643,0.6980074166445525,-0.16924218442032887,0,0,0,8
AT1G71697.1,ARA:PWY4FS-6,CK1,1,26970968,26973464,+,2496,protein_coding,Probable choline kinase 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9M9H6],0.3824399780671241,0.8271582291435574,0.1619818045091434,0.0205295355606963,0.16799847030217288,0.4292390361051047,0.38795212469679563,0.7667427628226744,-0.16027585948633338,0,0,0,9
AT1G74320.1,ARA:PWY4FS-6,,1,27940594,27943204,+,2610,protein_coding,Probable choline kinase 2 [Source:UniProtKB/Swiss-Prot;Acc:Q8L518],0.7493271753539865,0.953104244259399,-0.047240436225844305,0.7418185854810522,0.9258152573105746,0.0485120779054537,0.9776662801330369,0.9951671702123623,0.004113756251658306,0,0,0,1
AT2G26830.1,ARA:PWY4FS-6,EMB1187,2,11443241,11447171,+,3930,protein_coding,Probable ethanolamine kinase [Source:UniProtKB/Swiss-Prot;Acc:O81024],0.750865006588729,0.9531706513115944,-0.04392847418363519,0.1454180406180439,0.4843208974920745,0.20014783815347467,0.20484861036530483,0.606852341850573,-0.1756961951671894,0,0,0,10
AT2G38670.1,ARA:PWY4FS-6,PECT1,2,16168712,16171918,+,3206,protein_coding,Ethanolamine-phosphate cytidylyltransferase [Source:UniProtKB/Swiss-Prot;Acc:Q9ZVI9],0.9131536439193348,0.9873390174685266,-0.016346485663025923,0.5819394848375419,0.8590192708403181,-0.08259015667642564,0.3626003139308371,0.7491550757103846,0.1361407213786411,0,0,0,4
AT3G25585.1,ARA:PWY4FS-6,AAPT2,3,9295175,9298746,+,3571,protein_coding,Choline/ethanolaminephosphotransferase 2 [Source:UniProtKB/Swiss-Prot;Acc:O82568],0.4039031146112214,0.8401323441031102,0.394601917273395,0.8624490141533621,0.9635636830238904,-0.08222296753383415,0.6740787256113635,0.9089729264479672,-0.19963650594242735,0,0,0,7
AT3G25585.1,ARA:PWY4FS-6,AAPT2,3,9295175,9298746,+,3571,protein_coding,Choline/ethanolaminephosphotransferase 2 [Source:UniProtKB/Swiss-Prot;Acc:O82568],0.4039031146112214,0.8401323441031102,0.394601917273395,0.8624490141533621,0.9635636830238904,-0.08222296753383415,0.6740787256113635,0.9089729264479672,-0.19963650594242735,0,0,0,7
AT3G25585.2,ARA:PWY4FS-6,AAPT2,3,9295373,9298746,+,3373,protein_coding,Choline/ethanolaminephosphotransferase 2 [Source:UniProtKB/Swiss-Prot;Acc:O82568],0.0814974200025675,0.4720480214416704,-0.30708374427834634,0.003293440887138594,0.05217105358164978,-0.5196768426223468,0.0326664442553937,0.25558507145535625,-0.37651231600205326,0,0,0,8
