target_id	length	eff_length	est_counts	tpm
AT1G19090.1	2509	2310	0	0
AT1G18320.1	699	500	16.7561	2.81416
AT5G11100.1	1709	1510	188	10.4551
AT4G35335.1	1280	1081	208	16.1578
AT1G60930.1	3876	3677	59	1.34742
AT1G17000.1	2351	2152	0	0
AT3G55270.1	3130	2931	1831	52.4587
AT4G16150.1	3181	2982	2469	69.5279
AT3G18150.1	1370	1171	0	0
AT3G52310.1	2443	2244	0	0
AT3G08943.1	3165	2966	714.611	20.2322
AT4G15950.1	814	615	42	5.73482
AT5G60900.1	2873	2674	19	0.596675
AT5G18710.1	1919	1720	5	0.244111
AT1G64460.1	2240	2041	775	31.8863
AT2G31100.1	1247	1048	2.00483	0.160643
AT1G60260.1	1634	1435	16	0.936297
AT2G06210.1	3579	3380	954	23.7016
AT3G57180.1	2232	2033	34	1.40439
ATMG01320.1	922	723	11.1537	1.29547
AT4G15130.1	1234	1035	338	27.4234
AT5G39100.1	808	609	36	4.96399
AT4G16110.1	2666	2467	970	33.0178
AT5G26800.1	637	438	121	23.1983
AT4G16360.1	1685	1486	840	47.4685
ATMG00060.1	542	343	3	0.734467
AT1G76820.1	3857	3658	49.782	1.14281
AT3G05780.1	2775	2576	4	0.130395
AT1G24405.1	718	519	17	2.7506
AT2G27490.4	843	644	176.483	23.0125
AT2G27490.1	1367	1168	0	0
AT2G27490.3	1201	1002	0	0
AT2G27490.2	1381	1182	61.5167	4.3704
AT3G13276.1	269	70.019	5	5.99652
AT1G71740.1	393	194	246	106.483
AT1G52920.1	1351	1152	3	0.218683
AT2G17370.1	2273	2074	525	21.2567
AT4G13615.1	813	614	1027	140.458
AT3G46680.1	1350	1151	40	2.9183
AT1G70830.3	996	797	0	0
AT1G70830.2	1329	1130	0	0
AT1G70830.5	787	588	1.7783	0.253964
AT1G70830.4	1393	1194	20.242	1.42362
AT1G70830.1	1331	1132	927.115	68.7753
AT2G34090.3	1458	1259	0	0
AT2G34090.2	1616	1417	0	0
AT2G34090.1	1700	1501	67	3.74834
AT2G34090.4	1521	1322	0	0
AT2G34090.5	1425	1226	0	0
AT1G65541.1	340	141	0	0
AT2G01050.1	1548	1349	0	0
AT2G07751.1	357	158	33	17.5389
AT4G20565.1	789	590	0	0
AT1G61566.1	551	352	0	0
AT4G29530.2	1148	949	0	0
AT4G29530.1	1144	945	101	8.97501
AT5G09225.1	780	581	89	12.8635
AT1G21100.1	1545	1346	1853.15	115.614
AT1G73150.1	2150	1951	70.3969	3.02999
AT1G73150.2	1956	1757	75.6031	3.61338
AT3G51750.3	654	455	0	0
AT3G51750.1	563	364	33	7.61304
AT3G51750.2	560	361	0	0
AT1G07010.1	1622	1423	27	1.59332
AT1G07010.2	1556	1357	0	0
AT1G07010.3	1542	1343	0	0
AT1G32080.1	2009	1810	19	0.881496
AT1G16710.5	6346	6147	263.422	3.59861
AT1G16710.7	5822	5623	777.829	11.6161
AT1G16710.1	6018	5819	129.795	1.87308
AT1G16710.4	6502	6303	0	0
AT1G16710.8	6455	6256	7.59465	0.101943
AT1G16710.10	6023	5824	0	0
AT1G16710.6	6107	5908	211.601	3.00762
AT1G16710.3	6619	6420	0	0
AT1G16710.9	6549	6350	71.5443	0.94612
AT1G16710.2	5783	5584	13.2134	0.198708
AT1G07590.1	2407	2208	50308.9	1913.34
AT5G49170.1	1172	973	5	0.431522
AT2G40240.1	1614	1415	28	1.66168
AT4G30380.2	537	338	0	0
AT4G30380.1	486	287	0	0
AT2G20619.1	201	17.0167	0	0
AT3G05830.2	1420	1221	0	0
AT3G05830.1	1358	1159	196	14.201
AT3G05830.3	1524	1325	0	0
AT5G11430.6	3634	3435	25.8431	0.631776
AT5G11430.2	2601	2402	35.4426	1.23908
AT5G11430.4	2791	2592	0	0
AT5G11430.3	3322	3123	0	0
AT5G11430.5	2373	2174	28.469	1.09966
AT5G11430.1	3147	2948	292.245	8.32464
AT1G20530.1	2269	2070	17	0.689642
AT4G23170.1	1824	1625	10	0.516764
AT1G44780.2	1644	1445	28.3287	1.64628
AT1G44780.1	1647	1448	151.671	8.7959
AT1G60880.1	606	407	0	0
AT1G06160.1	1086	887	107	10.1299
AT3G07260.1	1204	1005	7.89956	0.660058
AT1G21090.1	1404	1205	111	7.73537
AT1G21090.2	1416	1217	0	0
AT1G76730.1	1500	1301	13	0.839096
AT1G03970.1	1190	991	414	35.081
AT5G19160.1	2182	1983	25.2521	1.06935
AT5G19160.2	2242	2043	14.7479	0.606188
AT3G49744.1	174	9.99669	0	0
AT5G28820.1	519	320	0	0
AT4G12530.1	730	531	14	2.21401
AT4G20050.1	1924	1725	0	0
AT4G20050.5	1742	1543	0	0
AT4G20050.3	1800	1601	13.9659	0.732528
AT4G20050.2	1873	1674	0	0
AT4G20050.6	1732	1533	57.0341	3.12419
AT4G20050.7	1707	1508	2.3512e-08	1.30928e-09
AT4G20050.4	1981	1782	0	0
AT5G53810.1	1574	1375	11	0.671793
AT2G28690.1	1117	918	187	17.1058
AT5G01530.1	1396	1197	175	12.2769
AT3G62800.3	1283	1084	13.3545	1.03453
AT3G62800.1	1368	1169	51.4575	3.69641
AT3G62800.2	1297	1098	169.188	12.9394
ATCG00900.1	468	269	206	64.3073
AT3G11385.1	2459	2260	39	1.44911
AT5G07010.1	1779	1580	360	19.1333
AT3G63040.1	654	455	0	0
AT2G26570.2	2921	2722	2319.86	71.5681
AT2G26570.1	2941	2742	276.136	8.45671
AT3G05560.2	756	557	1407.06	212.13
AT3G05560.3	841	642	8.15883	1.06718
AT3G05560.1	840	641	45.7857	5.99815
AT5G12080.3	2694	2495	435.417	14.6548
AT5G12080.2	2805	2606	0	0
AT5G12080.1	2754	2555	42.5833	1.39957
AT1G50870.1	1191	992	0	0
AT2G20610.2	1748	1549	149.504	8.10487
AT2G20610.1	1794	1595	1377.5	72.5229
AT5G02940.2	2792	2593	0	0
AT5G02940.1	2920	2721	18	0.555507
AT1G68430.1	945	746	22	2.47645
AT1G66550.2	856	657	0	0
AT1G66550.1	765	566	0	0
AT1G09380.1	1641	1442	8	0.465876
AT3G48840.1	757	558	6.2	0.933046
AT3G48840.2	667	468	8.8	1.579
AT5G61800.1	1629	1430	19	1.11574
AT5G01445.1	589	390	7	1.50723
AT4G35500.1	1975	1776	73.7804	3.48854
AT4G35500.2	1638	1439	323.22	18.8618
AT1G80310.1	1937	1738	989	47.785
AT2G39400.2	1307	1108	82.6754	6.26588
AT2G39400.1	1394	1195	735.325	51.6722
AT4G04990.1	1217	1018	711	58.6499
AT3G60530.1	1465	1266	240	15.9193
AT2G46180.1	2540	2341	619	22.2042
AT2G22270.1	1398	1199	26.7634	1.87442
AT2G22270.2	1174	975	268.237	23.1025
AT2G43660.1	471	272	0	0
AT2G43660.2	597	398	0	0
AT1G03910.2	2466	2267	0	0
AT1G03910.1	2565	2366	1406	49.9018
AT1G77590.1	2692	2493	1168.2	39.3495
AT1G77590.2	2669	2470	55.8039	1.8972
AT1G79020.1	2134	1935	354	15.3627
AT5G24420.1	1321	1122	0	0
AT5G39490.1	1701	1502	36.696	2.05161
AT3G26922.2	1894	1695	0	0
AT3G26922.1	1793	1594	0	0
AT3G26922.4	1661	1462	1.59867e-05	9.1824e-07
AT3G26922.5	1642	1443	14	0.814717
AT3G26922.3	1711	1512	0	0
AT3G50450.1	926	727	0	0
AT3G17160.1	882	683	415	51.0238
AT1G34315.1	819	620	191	25.8694
AT5G08580.2	1818	1619	10.7448	0.55731
AT5G08580.1	1736	1537	259.255	14.1644
AT2G28360.1	3032	2833	901	26.7069
AT4G25000.1	1606	1407	2	0.119366
AT5G27410.4	1734	1535	405.027	22.1575
AT5G27410.1	2156	1957	276.147	11.8494
AT5G27410.3	2229	2030	37.596	1.55522
AT5G27410.2	3153	2954	18.4602	0.524772
AT5G65200.1	1982	1783	278	13.093
AT5G23535.1	1015	816	26.4649	2.72348
AT5G23535.2	830	631	303.535	40.3948
AT1G05230.1	3520	3321	0	0
AT1G05230.5	3644	3445	3.16927	0.0772531
AT1G05230.12	2134	1935	0	0
AT1G05230.6	3553	3354	0	0
AT1G05230.2	2983	2784	0	0
AT1G05230.11	2424	2225	0	0
AT1G05230.3	2678	2479	143.819	4.87174
AT1G05230.7	3526	3327	0	0
AT1G05230.10	2557	2358	4.14321	0.14755
AT1G05230.9	3140	2941	0	0
AT1G05230.4	2974	2775	36.8689	1.11569
AT1G05230.8	3231	3032	0	0
AT1G79830.1	3669	3470	7.85733e-05	1.90148e-06
AT1G79830.3	3588	3389	1102.16	27.3097
AT1G79830.2	3278	3079	3211.23	87.5805
AT1G79830.4	3547	3348	0	0
AT1G79830.5	3718	3519	51.6103	1.23158
AT5G09480.1	840	641	2495	326.857
AT5G56480.1	409	210	4	1.59951
AT5G60820.1	1648	1449	199	11.5327
AT5G55820.7	5630	5431	3.72381	0.0575776
AT5G55820.5	5831	5632	0	0
AT5G55820.8	5630	5431	0.0396818	0.00061356
AT5G55820.10	5271	5072	0	0
AT5G55820.4	5292	5093	0	0
AT5G55820.9	5896	5697	139.649	2.05843
AT5G55820.2	5622	5423	0	0
AT5G55820.11	5449	5250	0	0
AT5G55820.3	5610	5411	176.588	2.7405
AT5G55820.6	5642	5443	0	0
AT5G55820.1	5481	5282	0	0
AT5G44950.1	1317	1118	0	0
AT4G31140.1	2171	1972	210	8.94248
AT4G35910.1	2164	1965	174	7.43587
AT3G56220.2	541	342	0	0
AT3G56220.1	905	706	15	1.78415
AT2G19970.1	926	727	434	50.1303
AT5G54520.1	1864	1665	95	4.79132
AT2G04032.1	1403	1204	0	0
AT5G03455.1	704	505	253	42.0702
AT5G03455.2	1006	807	0	0
AT1G48140.2	563	364	0	0
AT1G48140.1	743	544	116	17.9062
AT4G15050.1	1191	992	0	0
ATCG00420.1	477	278	5	1.51033
AT5G30360.1	420	221	0	0
AT2G32600.1	1301	1102	371	28.2708
AT2G41010.1	1250	1051	139	11.106
AT5G07170.2	1274	1075	0	0
AT5G07170.1	1612	1413	0	0
AT5G32670.1	700	501	0	0
AT1G60250.1	756	557	0	0
AT4G09012.1	1175	976	9	0.774351
AT3G26355.1	64	3.36374	0	0
AT5G02710.1	1195	996	19.363	1.63252
AT5G02710.2	1778	1579	3.27086	0.17395
AT5G02710.3	1348	1149	0	0
AT4G10110.1	836	637	242	31.9023
AT5G13900.1	754	555	342	51.7462
AT5G16380.1	1108	909	143	13.2104
AT5G40630.1	937	738	73	8.30638
AT1G55670.1	780	581	92	13.2971
AT5G66940.1	897	698	0	0
AT3G06520.1	1598	1399	0	0
AT3G06520.2	1668	1469	6	0.342985
AT3G52870.1	1811	1612	960	50.0094
AT3G02900.2	759	560	108.914	16.3321
AT3G02900.1	852	653	28.086	3.61179
AT1G31520.1	399	200	0	0
AT5G57660.1	1564	1365	1391	85.5736
AT3G09110.1	1666	1467	0	0
AT4G23690.1	1139	940	1249	111.578
AT1G05035.1	363	164	0	0
AT5G45700.1	1180	981	51	4.36563
AT5G40410.1	1981	1782	4	0.188494
AT3G06580.1	2012	1813	1854	85.8731
AT3G14920.1	2536	2337	1123	40.3521
AT1G77610.1	1617	1418	694	41.0988
AT1G19170.1	1827	1628	277	14.288
AT2G20740.1	1179	980	212.869	18.2403
AT2G20740.2	935	736	230.667	26.318
AT2G20740.3	815	616	78.4646	10.6964
