ID,Path,Gene,Chromosome,Start,End,Strand,Length,BioType,Description,Flg22_vs_Mock_pvalue,Flg22_vs_Mock_padj,Flg22_vs_Mock_log2FoldChange,Flg22_SynCom33_vs_Mock_pvalue,Flg22_SynCom33_vs_Mock_padj,Flg22_SynCom33_vs_Mock_log2FoldChange,Flg22_SynCom35_vs_Mock_pvalue,Flg22_SynCom35_vs_Mock_padj,Flg22_SynCom35_vs_Mock_log2FoldChange,Flg22_vs_Mock,Flg22_SynCom33_vs_Mock,Flg22_SynCom35_vs_Mock,cl
AT1G10310.1,ARA:FASYN-ELONG-PWY,,1,3381447,3384003,-,2556,protein_coding,NADPH-dependent pterin aldehyde reductase [Source:UniProtKB/Swiss-Prot;Acc:Q9SY73],0.9069683768621023,0.9869002016097549,0.02141856033552075,0.5834382057753875,0.8598943472612578,-0.10126255171770016,0.2936168285830498,0.6979141743984854,-0.19395205932566534,0,0,0,2
AT1G24360.1,ARA:FASYN-ELONG-PWY,,1,8640582,8643503,+,2921,protein_coding,"3-oxoacyl-[acyl-carrier-protein] reductase, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:P33207]",0.40312879439385646,0.8398066830110302,0.10412676773325477,0.02889901458863852,0.2064533266640597,-0.27271833512988897,0.3095307929206191,0.7096186311266015,-0.12666680991691895,0,0,0,3
AT1G62610.2,ARA:FASYN-ELONG-PWY,,1,23181463,23183227,-,1764,protein_coding,NAD(P)-binding Rossmann-fold superfamily protein [Source:UniProtKB/TrEMBL;Acc:F4HYU6],0.2528755234824633,0.7318450939380937,0.9942830864113719,0.20209196633269705,0.5647337746936406,1.108670081461784,0.2159708049307138,0.6190804108980485,1.0750902882474005,0,0,0,6
AT1G62610.3,ARA:FASYN-ELONG-PWY,,1,23181478,23183227,-,1749,protein_coding,NAD(P)-binding Rossmann-fold superfamily protein [Source:UniProtKB/TrEMBL;Acc:F4HYU6],0.755452438287106,0.9542479836093768,-0.07970296280479541,0.26042237647802396,0.631203166935555,-0.28996336603962614,0.09004405038460987,0.42761148127772297,-0.4376153706359955,0,0,0,2
AT1G62610.4,ARA:FASYN-ELONG-PWY,,1,23181508,23183183,-,1675,protein_coding,NAD(P)-binding Rossmann-fold superfamily protein [Source:UniProtKB/TrEMBL;Acc:F4HYU6],0.6416370218488385,0.9273392630027173,0.12865284341203664,0.8254817311758651,0.9519368494474543,0.061125371376957685,0.11743692546576392,0.4827737740676057,-0.44162696263484785,0,0,0,9
AT1G63380.2,ARA:FASYN-ELONG-PWY,,1,23505250,23506510,+,1260,protein_coding,F2K11.24 [Source:UniProtKB/TrEMBL;Acc:Q9SH24],0.5354870225706811,0.8922801703152878,0.2059849231814696,0.9161706643612287,0.9796804330442195,-0.035475358157726754,0.35676272273735704,0.744461002065638,0.30372185135507357,0,0,0,6
AT1G74960.2,ARA:FASYN-ELONG-PWY,KAS2,1,28151920,28156350,-,4430,protein_coding,"3-oxoacyl-[acyl-carrier-protein] synthase II, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9C9P4]",0.17068883273511293,0.6396291270073657,0.15132065840753217,0.9394837208508033,0.9860075367110414,0.008410458191935272,0.5436966800667711,0.8564860351654255,-0.06725183129335481,0,0,0,7
AT1G74960.1,ARA:FASYN-ELONG-PWY,KAS2,1,28152253,28156350,-,4097,protein_coding,"3-oxoacyl-[acyl-carrier-protein] synthase II, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9C9P4]",0.14388667054994758,0.598927010420697,-1.0580229640773953,0.39938178539354824,0.748488715751132,-0.6077379921717987,0.4895589274910451,0.8275000827358648,-0.49762758960961717,-0,0,0,8
AT2G22230.1,ARA:FASYN-ELONG-PWY,,2,9449930,9451623,+,1693,protein_coding,At2g22230/T26C19.11 [Source:UniProtKB/TrEMBL;Acc:Q9SIE3],0.1776785840922696,0.6491836279008523,0.24608948905297984,0.4179758961844996,0.7611479392054502,0.1481277566940237,0.5689909160425415,0.8680627858677934,0.1040842678629546,0,0,0,6
AT3G46170.1,ARA:FASYN-ELONG-PWY,,3,16952521,16953780,-,1259,protein_coding,Dehydrogenase-like protein [Source:UniProtKB/TrEMBL;Acc:Q9LX78],0.643550302842279,0.9273392630027173,0.1765621047347957,0.04204924595414037,0.2556219956292446,-0.8005558806748141,0.9909432791379386,0.9987190912116841,-0.004341625242701834,0,0,0,3
