ID,Path,Gene,Chromosome,Start,End,Strand,Length,BioType,Description,Flg22_vs_Mock_pvalue,Flg22_vs_Mock_padj,Flg22_vs_Mock_log2FoldChange,Flg22_SynCom33_vs_Mock_pvalue,Flg22_SynCom33_vs_Mock_padj,Flg22_SynCom33_vs_Mock_log2FoldChange,Flg22_SynCom35_vs_Mock_pvalue,Flg22_SynCom35_vs_Mock_padj,Flg22_SynCom35_vs_Mock_log2FoldChange,Flg22_vs_Mock,Flg22_SynCom33_vs_Mock,Flg22_SynCom35_vs_Mock,cl
AT1G04635.1,path:ath03008,EMB1687,1,1291300,1292024,+,724,protein_coding,Probable ribonuclease P/MRP protein subunit POP5 [Source:UniProtKB/Swiss-Prot;Acc:Q6AWV1],0.3094266077615033,0.7759488549693347,-0.4114101759610753,0.18547191236298521,0.5442335134696357,-0.5418237161593324,0.8721048473743189,NA,-0.06331845310252944,0,0,0,8
AT1G06720.2,path:ath03008,,1,2060444,2067483,-,7039,protein_coding,P-loop containing nucleoside triphosphate hydrolases superfamily protein [Source:TAIR;Acc:AT1G06720],0.01638249175715697,0.20535274228658576,-0.5190608270106386,0.04918448061623064,0.27869122165649823,-0.4251906597187317,0.8816798851452319,0.9727297301369506,0.032104378616926756,0,0,0,4
AT1G08410.1,path:ath03008,LSG1-2,1,2646144,2649440,+,3296,protein_coding,GTPase LSG1-2 [Source:UniProtKB/Swiss-Prot;Acc:Q9SJF1],0.17687818856295578,0.6482447912909792,-0.29513644207082634,0.059639220345432176,0.3070855745191683,-0.41241211757927254,0.8183811271360912,0.9543983771902524,-0.049978680243316434,0,0,0,8
AT1G10300.3,path:ath03008,,1,3378142,3380414,+,2272,protein_coding,Nucleolar GTP-binding protein 1 [Source:UniProtKB/TrEMBL;Acc:F4I4A6],0.25908399636201856,0.7371459443470291,-0.42408199985583933,0.40970052536587853,0.7554406696539918,-0.3086388120801902,0.14951891466392261,0.5341479815159627,0.5266774360195631,0,0,0,4
AT1G10490.1,path:ath03008,,1,3453191,3460620,+,7429,protein_coding,RNA cytidine acetyltransferase 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9XIK4],0.19386729216751036,0.6681409358695782,-0.4572042982297498,0.6537694502748885,0.8934491277040644,0.15706551699980822,0.27418662676644934,0.6814444077218221,0.38219356071820215,0,0,0,1
AT1G10490.2,path:ath03008,,1,3453228,3459925,+,6697,protein_coding,RNA cytidine acetyltransferase 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9XIK4],0.14359166033968684,0.5984644300693681,-0.43780179225576993,5.907621321623545e-4,0.015312416634964257,-1.0397716023940156,0.6258780087144347,0.8921768713791742,0.14481902853800416,0,-1,0,4
AT1G15420.1,path:ath03008,,1,5301516,5303522,-,2006,protein_coding,WD repeat protein [Source:UniProtKB/TrEMBL;Acc:Q8L403],0.41583454197490477,0.8456074432281361,-0.1664994278532193,0.16870078683640863,0.5200333356725846,-0.2823994920185422,0.20987016462348843,0.6117282150708543,0.254398269190683,0,0,0,4
AT1G15420.2,path:ath03008,,1,5301579,5303417,-,1838,protein_coding,WD repeat protein [Source:UniProtKB/TrEMBL;Acc:Q8L403],0.45941490843052707,0.864771923933035,-0.968113996539468,0.9515357753755831,0.9893064642111318,0.0789148043192982,0.1293127667061961,NA,-2.0133999903358353,0,0,-0,10
AT1G15440.1,path:ath03008,PWP2,1,5306027,5309558,-,3531,protein_coding,Periodic tryptophan protein 2 [Source:UniProtKB/Swiss-Prot;Acc:Q8VYZ5],0.0753549286211147,0.4538307687822068,-0.5107461580457493,0.07378379546376344,0.3458393625512721,-0.5135590638767253,0.8130767283192123,0.9535427957459082,0.06771744182564371,0,0,0,4
AT1G26530.1,path:ath03008,,1,9165360,9167570,+,2210,protein_coding,PIN domain-like family protein [Source:UniProtKB/TrEMBL;Acc:F4HP91],0.8133787960726395,0.9668646457850311,0.1950522031839719,0.5552343644699369,NA,0.48095340311211976,0.11884574574986591,NA,1.2347111933459451,0,0,0,1
AT1G27470.1,path:ath03008,,1,9540049,9544303,-,4254,protein_coding,Transducin family protein / WD-40 repeat family protein [Source:UniProtKB/TrEMBL;Acc:Q8VYS4],0.07253732112074018,0.4469854104066771,-0.32075100676778984,0.0041098972277328035,0.06090532374636892,-0.5141551360255252,0.7533659254900511,0.9352149304812711,-0.05588007318815416,0,0,0,8
AT1G43860.1,path:ath03008,,1,16620769,16624494,-,3725,protein_coding,At1g43860 [Source:UniProtKB/TrEMBL;Acc:Q9MAR2],0.9687528144729951,0.9946629527453268,-0.006236077787838449,0.5982716735176745,0.8683693980083413,-0.08397955164911174,0.22796010482229725,0.6362993620854887,-0.1922144942442383,0,0,0,2
AT1G43860.2,path:ath03008,,1,16622065,16624504,-,2439,protein_coding,At1g43860 [Source:UniProtKB/TrEMBL;Acc:Q9MAR2],0.6397180339590209,0.9268202052977208,0.2940006474138975,0.6963021725075207,0.9106235542795343,0.24537989131357027,0.7915142219998699,0.9466117178124274,-0.1671404386981411,0,0,0,9
AT1G50920.1,path:ath03008,,1,18870059,18872968,+,2909,protein_coding,Nucleolar GTP-binding protein 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9C6I8],0.21281194008737472,0.6897012898632969,-0.2600582750219005,0.07798965656085295,0.35679338796270404,-0.3680011651716658,0.4136523879388001,0.7807664482215325,0.1704636112665014,0,0,0,4
AT1G52980.1,path:ath03008,NUG2,1,19737405,19740348,+,2943,protein_coding,Nuclear/nucleolar GTPase 2 [Source:UniProtKB/Swiss-Prot;Acc:Q9C923],0.11367865597023967,0.5445129445765851,-0.22457229156839315,0.004903526914044855,0.06786989777905494,-0.4001048629511188,0.706964641031957,0.9210904683091338,0.05321978841329002,0,0,0,4
AT1G56110.1,path:ath03008,NOP56,1,20984273,20986952,-,2679,protein_coding,At1g56110/T6H22_9 [Source:UniProtKB/TrEMBL;Acc:Q9SGT7],0.1282058185890188,0.571089655157184,-0.3933767137258936,0.2618402440814863,0.632643307693557,-0.2901141031358648,0.34148407674332876,0.7341755065496874,0.2457600571966739,0,0,0,4
AT1G63780.1,path:ath03008,IMP4,1,23664830,23667372,-,2542,protein_coding,IMP4 [Source:UniProtKB/TrEMBL;Acc:A0A178WDJ3],0.06709066302404339,0.4316207078471473,-0.37599037349188935,0.06375487840888149,0.3186795539954541,-0.38079475359400133,0.5684471639495989,0.867967877018244,0.11604047252964847,0,0,0,4
