ID,Path,Gene,Chromosome,Start,End,Strand,Length,BioType,Description,Flg22_vs_Mock_pvalue,Flg22_vs_Mock_padj,Flg22_vs_Mock_log2FoldChange,Flg22_SynCom33_vs_Mock_pvalue,Flg22_SynCom33_vs_Mock_padj,Flg22_SynCom33_vs_Mock_log2FoldChange,Flg22_SynCom35_vs_Mock_pvalue,Flg22_SynCom35_vs_Mock_padj,Flg22_SynCom35_vs_Mock_log2FoldChange,Flg22_vs_Mock,Flg22_SynCom33_vs_Mock,Flg22_SynCom35_vs_Mock,cl
AT2G20690.1,ARA:RIBOSYN2-PWY,,2,8923305,8924974,+,1669,protein_coding,At2g20690/F5H14.34 [Source:UniProtKB/TrEMBL;Acc:Q9SKU8],0.8381497827484781,0.9715863915149653,0.03349942249401407,0.1901916946252853,0.5497562510663354,-0.21701267260679427,0.9780515811726691,0.9952714945261362,-0.004505477739055869,0,0,0,3
AT2G22450.1,ARA:RIBOSYN2-PWY,RIBA2,2,9530365,9533066,+,2701,protein_coding,"Monofunctional riboflavin biosynthesis protein RIBA 2, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q6NLQ7]",0.06866329721835104,0.43711991326891614,-0.4668954201264631,0.1953184309906863,0.5566767271452605,-0.3315777102622003,0.7236097679404976,0.9256393518353461,0.09007120419997938,0,0,0,4
AT2G44050.1,ARA:RIBOSYN2-PWY,COS1,2,18224213,18226233,+,2020,protein_coding,"6,7-dimethyl-8-ribityllumazine synthase, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:O80575]",0.30200629658063227,0.7711222842364386,-0.18551297442301162,0.05496703963590305,0.29504880304670367,-0.3459815728998845,0.37142701459380745,0.7553162500428219,0.15966630094310502,0,0,0,4
AT3G47390.1,ARA:RIBOSYN2-PWY,PYRR,3,17459339,17464806,+,5467,protein_coding,"Riboflavin biosynthesis protein PYRR, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9STY4]",0.7406805012321448,0.9527081225971279,0.14608863958345186,0.20681329283204467,0.5710893618809476,-0.5687240012739473,0.8304597256217082,0.9584109944817855,0.09445737505787055,0,0,0,3
AT3G47390.2,ARA:RIBOSYN2-PWY,PYRR,3,17459339,17464865,+,5526,protein_coding,"Riboflavin biosynthesis protein PYRR, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9STY4]",0.648705103263197,0.9273604099470842,0.09831900024968114,0.4454608264626682,0.7802748378816347,0.16443385310462608,0.9322489776891885,0.9849899819298554,-0.018366635882494493,0,0,0,5
AT3G48420.1,ARA:RIBOSYN2-PWY,CBBY,3,17929581,17931713,+,2132,protein_coding,CBBY-like protein [Source:UniProtKB/Swiss-Prot;Acc:Q94K71],0.7329507078784715,0.9502176053942513,0.250606839787478,0.7108699830346119,NA,0.27208835546358723,0.5670379096109076,NA,0.4150610281009486,0,0,0,6
AT4G20960.1,ARA:RIBOSYN2-PWY,PYRD,4,11211244,11213696,+,2452,protein_coding,"Riboflavin biosynthesis protein PYRD, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q8GWP5]",0.9063918466165309,0.9869002016097549,0.028365510250072647,0.3219504488627383,0.6853093564739828,-0.2406417283781446,0.5857299724052969,0.8756021219492602,0.1309493616538736,0,0,0,4
AT4G21470.1,ARA:RIBOSYN2-PWY,FHY,4,11431104,11433322,+,2218,protein_coding,FMN/FHY [Source:UniProtKB/TrEMBL;Acc:A0A178V341],0.03156689042729274,0.29366329052105516,0.28799095605311803,0.49656769768512427,0.8106353828366739,-0.09185972648496377,0.019525447007438586,0.1913414273339949,-0.3166250891100207,0,0,0,7
AT5G03430.1,ARA:RIBOSYN2-PWY,,5,848864,853146,-,4282,protein_coding,Phosphoadenosine phosphosulfate (PAPS) reductase family protein [Source:UniProtKB/TrEMBL;Acc:Q9LZE4],0.08904934674914107,0.49053318619276115,0.15343893595783087,0.08310931312722351,0.3686707187270664,0.15641641066144618,0.009715035121712541,0.12471948503637158,-0.23641929289995833,0,0,0,9
AT5G08340.1,ARA:RIBOSYN2-PWY,RIBF2,5,2683782,2687416,+,3634,protein_coding,"FAD synthetase 2, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q8VZR0]",0.4822071566234479,0.8737748716701299,0.21216123913986706,0.9244976424228454,0.9813567624790072,-0.028856919641062895,0.06253625216679524,0.3560097384355797,0.5557713691642875,0,0,0,4
