ID,Path,Gene,Chromosome,Start,End,Strand,Length,BioType,Description,Flg22_vs_Mock_pvalue,Flg22_vs_Mock_padj,Flg22_vs_Mock_log2FoldChange,Flg22_SynCom33_vs_Mock_pvalue,Flg22_SynCom33_vs_Mock_padj,Flg22_SynCom33_vs_Mock_log2FoldChange,Flg22_SynCom35_vs_Mock_pvalue,Flg22_SynCom35_vs_Mock_padj,Flg22_SynCom35_vs_Mock_log2FoldChange,Flg22_vs_Mock,Flg22_SynCom33_vs_Mock,Flg22_SynCom35_vs_Mock,cl
AT1G04410.1,ARA:PWY-561,MDH1,1,1188995,1191458,-,2463,protein_coding,Malate dehydrogenase [Source:UniProtKB/TrEMBL;Acc:A0A178W4H0],0.3527086744605165,0.8087054280647589,-0.08416558765054219,0.019784513006491675,0.16404912974722677,-0.21108933699591348,0.5399451033587812,0.8546464612692037,-0.05549938819550377,0,0,0,8
AT1G08480.1,ARA:PWY-561,SDH6,1,2684176,2685702,+,1526,protein_coding,"Succinate dehydrogenase subunit 6, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:Q941A6]",0.5319468774528058,0.8911515464358377,0.04095095913880493,0.0574365202892909,0.3020360990643032,-0.12514709521602102,0.007465491309105333,0.10495765664727102,-0.17600171245417665,0,0,0,2
AT1G47420.1,ARA:PWY-561,SDH5,1,17395518,17397263,-,1745,protein_coding,"Succinate dehydrogenase subunit 5, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:Q9SX77]",0.664160594224436,0.9325383080246943,-0.025156325028020704,0.5667209419499843,0.8505718475517547,-0.0332056478140931,0.11314276008622007,0.47513384769657874,-0.09176978215142656,0,0,0,8
AT1G53240.1,ARA:PWY-561,mMDH1,1,19854615,19857146,-,2531,protein_coding,"Malate dehydrogenase 1, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:Q9ZP06]",0.7262971293005234,0.9486457334575483,0.03921391066310497,0.21721524291898975,0.5838882791335988,-0.13832221106878886,0.49207316856334027,0.8285956534088431,-0.07697069578993886,0,0,0,3
AT2G18450.1,ARA:PWY-561,SDH1-2,2,7997344,8000825,-,3481,protein_coding,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial [Source:UniProtKB/TrEMBL;Acc:A0A178VRF6]",0.23064433341644233,0.7071443209807116,-0.3609882171987673,0.013067013080536448,0.12819979767554043,0.7440696468506725,0.3500003863468473,0.7407653644032445,0.2805158809652962,0,0,0,5
AT2G22780.1,ARA:PWY-561,PMDH1,2,9689295,9692154,-,2859,protein_coding,PMDH1 [Source:UniProtKB/TrEMBL;Acc:A0A384LAR8],0.020102021117287157,0.2293595574404605,0.18304536814736042,0.01096047465403424,0.11500370009748181,-0.20131796516624745,1.4889391710232354e-8,3.6551937322935713e-6,-0.4491917994212744,0,0,0,2
AT2G46390.1,ARA:PWY-561,SDH8,2,19042301,19043234,-,933,protein_coding,"Succinate dehydrogenase subunit 8, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:Q9SKE0]",0.01113204178627795,0.1647224630086802,0.5450930160032313,0.08374052318060923,0.37043158534492965,0.37186887611776775,0.35301539039593993,0.7419275148200858,-0.20063564968398534,0,0,0,9
AT2G46505.1,ARA:PWY-561,SDH4,2,19089486,19090776,-,1290,protein_coding,SDH4 [Source:UniProtKB/TrEMBL;Acc:A0A178VQB2],0.47781548764788456,0.8720412838483773,0.07099271907742861,0.7523406705990412,0.9291163106689354,-0.031622621307423986,0.7759751781918318,0.9420224604801049,-0.028471264062044796,0,0,0,3
AT2G47510.1,ARA:PWY-561,FUM1,2,19498229,19502488,+,4259,protein_coding,FUM1 [Source:UniProtKB/TrEMBL;Acc:A0A178VMD4],0.025407357692286494,0.2618416101245905,1.2990181594994958,0.22365782592443528,0.591897587726196,0.710784710746769,0.1721242826491958,0.5661439256699233,0.7962142611074833,0,0,0,6
AT2G47510.3,ARA:PWY-561,FUM1,2,19498504,19502451,+,3947,protein_coding,FUM1 [Source:UniProtKB/TrEMBL;Acc:A0A178VMD4],0.7271333358314633,0.9491240199142329,0.028902513675930264,0.21436704625382555,0.579913857073521,0.10279074057360855,0.8738000963466663,0.9703028948521568,0.01314923165104429,0,0,0,1
AT3G04530.1,ARA:PWY-561,PPCK2,3,1221422,1222744,+,1322,protein_coding,Phosphoenolpyruvate carboxylase kinase 2 [Source:UniProtKB/Swiss-Prot;Acc:Q93VK0],0.25322812479868695,0.7319340629177609,0.281489212335052,0.1756130563183729,0.5307285193873524,0.33341973249424794,0.8898102575514398,0.9747532141271933,0.034251786863055196,0,0,0,9
AT3G15020.1,ARA:PWY-561,mMDH2,3,5055741,5058249,+,2508,protein_coding,"Malate dehydrogenase 2, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:Q9LKA3]",0.14379053902750535,0.5988695562230802,0.23345671395031628,0.3115420970662515,0.6771953305842139,0.1617178505838776,0.42254234664312673,0.7865463602530198,-0.1283752153253568,0,0,0,9
AT3G15020.2,ARA:PWY-561,mMDH2,3,5056068,5058248,+,2180,protein_coding,"Malate dehydrogenase 2, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:Q9LKA3]",0.5443644332506589,0.8954360699334801,-0.21218163514581634,0.6904657659350966,0.908011578261688,0.13916812429806574,0.34284524883262674,0.7351311048498514,-0.33207090336943634,0,0,0,10
AT3G27380.2,ARA:PWY-561,SDH2-1,3,10129610,10132759,-,3149,protein_coding,"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit 1, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:Q8LBZ7]",0.37208042691270016,0.819975941270941,-0.15400826192244874,0.003892829402439877,0.05862579271506374,-0.49852856582774613,6.324557762218559e-4,0.018784717363389394,-0.5901634998862054,0,0,0,2
AT3G47520.1,ARA:PWY-561,MDH,3,17512816,17515155,+,2339,protein_coding,"Malate dehydrogenase, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9SN86]",0.3913429368453625,0.833288255718392,0.1429605992306676,0.06508076587611172,0.32242925696307323,-0.308175138163398,0.010348227047447329,0.1292614986020186,-0.42839324092462694,0,0,0,2
AT3G47833.1,ARA:PWY-561,SDH7A,3,17648495,17650173,+,1678,protein_coding,"Succinate dehydrogenase subunit 7A, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:Q9C5E8]",0.14819426156081975,0.6055691850439395,0.21791818411376246,0.6674481604159249,0.8985997620223816,0.06498824755252516,0.18804409960559348,0.5872225038963818,-0.19997568236275953,0,0,0,7
AT4G32210.1,ARA:PWY-561,SDH3-1,4,15556397,15558167,-,1770,protein_coding,"Succinate dehydrogenase subunit 3-2, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:P0DKI1]",0.40521751069717094,0.8403341915918284,0.06115124620563584,0.9261412705261155,0.9816285881880196,-0.00681844103673921,0.08101811576339156,0.40590042253970726,-0.12839845498939417,0,0,0,2
AT4G37870.1,ARA:PWY-561,PCKA,4,17802690,17806705,-,4015,protein_coding,Phosphoenolpyruvate carboxykinase (ATP)-like protein [Source:UniProtKB/TrEMBL;Acc:Q0WWL8],0.7468063412409136,0.9530196132125169,0.07153560862005609,0.12155068121679038,0.4432393210616829,-0.3432266028205927,0.5730690168730421,0.8699183449674571,-0.12487983459392023,0,0,0,3
AT5G09600.3,ARA:PWY-561,SDH3-1,5,2978825,2980751,+,1926,protein_coding,"Succinate dehydrogenase subunit 3-2, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:P0DKI1]",0.019490027800821447,0.2261537567227877,1.2681278804198934,0.718861895282523,0.9196423865694942,0.19760798765721493,0.1293996896388966,0.5026373997490741,0.8256164586638499,0,0,0,6
AT5G09600.2,ARA:PWY-561,SDH3-1,5,2979144,2980844,+,1700,protein_coding,"Succinate dehydrogenase subunit 3-2, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:P0DKI1]",0.1726951242200604,0.642753537673148,0.7276529534128661,0.45911593195910455,0.7878497359242634,0.3963037694251024,0.7449289512996058,0.9327313787012551,0.17441056220769272,0,0,0,7
AT5G40650.1,ARA:PWY-561,SDH2-2,5,16281394,16283527,+,2133,protein_coding,"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit 2, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:Q8LB02]",0.8106641197503154,0.9664689020754437,-0.03145822530167176,0.03441505397794891,0.2273462231566752,-0.27882704846367246,0.01897816881240179,0.18781439131582156,-0.30895669587380126,0,0,0,2
AT5G40650.2,ARA:PWY-561,SDH2-2,5,16281404,16283527,+,2123,protein_coding,"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit 2, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:Q8LB02]",0.40422850974665003,0.8401323441031102,0.6406046923729687,0.9203480899398746,NA,0.07865795196460398,0.2425264840610321,NA,0.8883785309908886,0,0,0,6
AT5G43330.1,ARA:PWY-561,MDH2,5,17390381,17392741,+,2360,protein_coding,"Malate dehydrogenase 2, cytoplasmic [Source:UniProtKB/Swiss-Prot;Acc:P57106]",7.323497777381904e-9,2.3853313516540057e-6,0.6161157484669513,0.04077166488722117,0.25069165038844454,0.2202279990808913,1.9440265303353525e-6,1.9733919943800806e-4,-0.5244664362514891,0,0,0,7
AT5G50950.3,ARA:PWY-561,FUM2,5,20730565,20733926,+,3361,protein_coding,AT5G50950 protein [Source:UniProtKB/TrEMBL;Acc:B9DFR5],0.6078999760890627,0.9155269761939208,-0.2979829178570617,0.3933592350827331,0.7453641360767411,0.4698522888326494,0.07085503677958432,NA,0.966772152642003,0,0,0,1
AT5G56720.1,ARA:PWY-561,,5,22945419,22946807,+,1388,protein_coding,Malate dehydrogenase [Source:UniProtKB/TrEMBL;Acc:A0A178UAN5],0.9236904908067601,0.9888441457128984,0.04035533435677211,0.4746244232561921,0.7975962170362964,-0.30620023044605926,0.07568234024510453,0.3918153091492845,0.7297947688637919,0,0,0,4
AT5G62575.2,ARA:PWY-561,SDH7B,5,25117414,25118892,+,1478,protein_coding,SDH7B [Source:UniProtKB/TrEMBL;Acc:A0A178UBI4],0.3602172052201311,0.8119053544385748,0.24710155081842125,0.3690782736380683,0.7260323201066313,0.24275831075916451,0.31284939677026175,0.7124023461901521,-0.2797227484457046,0,0,0,9
AT5G62575.1,ARA:PWY-561,SDH7B,5,25117488,25118735,+,1247,protein_coding,SDH7B [Source:UniProtKB/TrEMBL;Acc:A0A178UBI4],0.02003947612254522,0.2291125574157609,0.654188610542086,0.0049320693684331745,0.06804358561894748,0.7872491877183538,0.9590687682628903,0.9904070769350147,-0.014836831523276417,0,0,0,9
