ID,Gene,Chromosome,Start,End,Strand,Length,BioType,Description,Mock_1,Mock_2,Mock_3,Flg22_1,Flg22_2,Flg22_3,Flg22_SynCom33_1,Flg22_SynCom33_2,Flg22_SynCom33_3,Flg22_SynCom35_1,Flg22_SynCom35_2,Flg22_SynCom35_3,Flg22_vs_Mock_pvalue,Flg22_vs_Mock_padj,Flg22_vs_Mock_log2FoldChange,Flg22_SynCom33_vs_Mock_pvalue,Flg22_SynCom33_vs_Mock_padj,Flg22_SynCom33_vs_Mock_log2FoldChange,Flg22_SynCom35_vs_Mock_pvalue,Flg22_SynCom35_vs_Mock_padj,Flg22_SynCom35_vs_Mock_log2FoldChange,Raw_Mock_1,Raw_Mock_2,Raw_Mock_3,Raw_Flg22_1,Raw_Flg22_2,Raw_Flg22_3,Raw_Flg22_SynCom33_1,Raw_Flg22_SynCom33_2,Raw_Flg22_SynCom33_3,Raw_Flg22_SynCom35_1,Raw_Flg22_SynCom35_2,Raw_Flg22_SynCom35_3,Scale_Mock_1,Scale_Mock_2,Scale_Mock_3,Scale_Flg22_1,Scale_Flg22_2,Scale_Flg22_3,Scale_Flg22_SynCom33_1,Scale_Flg22_SynCom33_2,Scale_Flg22_SynCom33_3,Scale_Flg22_SynCom35_1,Scale_Flg22_SynCom35_2,Scale_Flg22_SynCom35_3,cl
AT2G01530.1,MLP329,2,239669,240687,+,1018,protein_coding,Uncharacterized protein At2g01530 (Fragment) [Source:UniProtKB/TrEMBL;Acc:C0SV41],13.45145213790023,12.73375060727759,13.055456682881633,11.505052708350098,11.81728625335044,11.508742098510288,12.72608442893206,12.722082282811959,12.30245347693789,13.125197739062873,13.196821439753897,13.610087071125376,2.3702848708233598e-12,1.5440476631775146e-9,-1.4924201964029506,0.015741191135954468,0.14344005562442652,-0.5134428480056689,0.307167292646279,0.7079738193604311,0.21700254136707298,9679,7414,8944,2731,3547,3006,6542,6117,5403,8452,9377,15005,0.7194942325120006,0.06612971947614558,0.5074752845732132,-1.2847338631052712,-1.0493495617201685,-1.2054070458492623,-0.18540840651381713,-0.3080043968185581,-0.5139656605305231,0.3655523969733719,0.6323789641072199,2.255838336895649,4
AT3G53460.1,CP29,3,19818975,19821505,-,2530,protein_coding,Chloroplast RNA-binding protein 29 [Source:UniProtKB/TrEMBL;Acc:F4JAF3],9.390252140585256,9.630867274051445,9.925833848593143,8.233694739153147,8.586680954757247,7.993711891842113,8.960145633896214,9.168137960997582,9.201990788371486,10.098084374831407,9.726268840754901,9.964672710918725,2.707613727928132e-12,1.6853992918443312e-9,-1.3775391040198406,0.004461364252713745,0.06403191014855343,-0.5531531981442465,0.15932575862407855,0.5478961346093332,0.2715795768953464,579,862,1021,282,377,262,480,520,629,1036,845,1198,-0.30474135346006104,0.6006844001273118,1.109386501966154,-1.2549584870835584,-0.951016979695571,-1.3189461728494505,-0.6214803980012268,-0.4935050264694426,-0.14477213904533082,1.157377266290573,0.5462948672263036,1.6756775209942987,4
AT3G02110.1,SCPL25,3,370668,373805,-,3137,protein_coding,Serine carboxypeptidase-like 25 [Source:UniProtKB/Swiss-Prot;Acc:Q8L9Y0],7.685312829697331,7.766784981580767,7.79308306665798,6.983432226102555,6.955040983923395,6.825376328548067,7.501283739440963,7.342004494298064,7.465398210715124,7.9622726258805745,7.659959852966425,7.9569530376081214,2.4745692398021797e-8,7.2203290600102975e-6,-0.8340185543475714,0.029215959468183922,0.2079552523984488,-0.31321032836104734,0.39832362350079736,0.7716602788403089,0.11759424812792703,177,236,232,118,121,116,174,146,188,235,201,297,-0.1725184766603317,0.8714394846688551,0.8006626737312831,-1.2164764379895185,-1.1633938297863395,-1.2518648434583046,-0.22560108486351071,-0.7210387614265147,0.022117753417991246,0.8537452819344621,0.2521423889651002,1.950785851466828,4
AT4G00230.1,SBT4.14,4,93743,97467,+,3724,protein_coding,Subtilisin-like protease SBT4.14 [Source:UniProtKB/Swiss-Prot;Acc:Q9LLL8],8.379925271304437,8.694769461501027,8.716650924495854,7.620255751438076,7.174078818300392,7.655278967498508,8.15870058262667,8.342468585455006,8.042531413646778,9.153956350696296,8.656388734495975,9.068181117336959,2.523871529263458e-8,7.288264474865847e-6,-1.1114919690964695,0.031008850818927326,0.21377260949097882,-0.42227598910717773,0.05526325460649359,0.3371002483070545,0.36973957981841227,287,450,441,184,141,207,275,293,281,538,402,643,-0.38492078543558145,0.6937397536933542,0.6341818098150693,-1.0665283653759519,-1.351082986127757,-0.9143247310203351,-0.4643313772732945,-0.3452154895167249,-0.42462608135443797,1.2760840938365832,0.37609738634250195,1.9709267724165724,4
AT1G62750.1,CPEFG,1,23233434,23236447,-,3013,protein_coding,"Elongation factor G, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9SI75]",9.251968204879407,9.817211788602926,9.305903354147171,8.612669173152739,8.56359630490617,8.648215928728588,8.525949853375968,8.682052342232518,8.606768008937498,9.626749673566911,9.829891615685684,9.666370487979755,5.449993373644356e-8,1.4401864565014342e-5,-0.8761191676349278,5.0346152758804733e-08,8.406243965603657e-6,-0.8786827009903595,0.14986017374030622,0.5344405662384061,0.22752152809131868,526,981,664,367,371,413,355,371,416,747,908,974,-0.25834026229391877,1.547726104063054,0.289433712557207,-0.8894711463615202,-0.8735936398440963,-0.706879821411145,-0.9371036659137921,-0.8735936398440963,-0.694971691523077,0.6188919727937537,1.2579616101200672,1.519940467657562,4
AT2G33790.1,AGP30,2,14293561,14295353,-,1792,protein_coding,Non-classical arabinogalactan protein 30 [Source:UniProtKB/Swiss-Prot;Acc:P93013],8.567635314368694,7.849555208980678,8.956628978371784,5.642087079301771,5.547536494421356,5.415096664002759,5.882377000674437,8.618610481187597,8.165045823198103,9.783769510943378,8.953038230779667,8.941876402885352,7.388641583595805e-8,1.8478860660544828e-5,-3.017156713162087,0.2870443135067541,0.6558592830998043,-0.5847880106766813,0.16679953741837658,0.5580904357602721,0.7571272739690488,327,250,521,46,45,43,56,355,306,833,494,589,0.019357297473191176,-0.2837976663442423,0.7831503231950366,-1.0869614665878324,-1.0908985440400067,-1.0987726989443558,-1.0475906920660878,0.12959546613407608,-0.0633213290224725,2.0115184882734685,0.6768492319863262,1.0508715899429,4
AT3G16350.1,,3,5547492,5549862,+,2370,protein_coding,At3g16350 [Source:UniProtKB/TrEMBL;Acc:Q84TG2],8.328916847892703,8.662427110597125,8.404521805951152,7.374189426141119,7.6682375119924044,7.2217034983241755,7.67946210211932,8.342468585455006,8.215822584932,8.890357592966874,8.92953141962036,9.013405993351553,2.5239142423160764e-7,5.4382586031935085e-5,-1.04493119626574,0.06393943705475184,0.31924590395725094,-0.36846399412396846,0.015641695193261952,0.16672924366836334,0.4732170368011778,277,440,355,155,199,153,197,293,317,448,486,619,-0.3501740072411769,0.7635501523746638,0.18277375012100455,-1.1837589610640762,-0.88312176460335845,-1.197424288175927,-0.8967870917152092,-0.2408513903463705,-0.07686746500416079,0.8182114608220671,1.0778526759472324,1.9865969288853111,4
AT4G34881.1,,4,16617608,16618573,+,965,protein_coding,Transmembrane protein [Source:UniProtKB/TrEMBL;Acc:Q0WQ74],10.044937390969473,9.996558428016524,10.146601900669877,9.130837404927878,9.542139048751539,9.366196300338268,9.579719024983103,9.616774109282968,9.680814737705624,10.016517772050417,10.290621733772248,10.434826157758486,3.7686913604782724e-7,7.3821548040809e-5,-0.7084445094887822,0.0016026436876526624,0.031504700778862575,-0.4380137334405201,0.1572038893866069,0.5455086067882574,0.1945428572635304,912,1111,1190,526,732,680,738,710,877,979,1250,1660,-0.11155969327166783,0.5212302058559866,0.7724382562634473,-1.3389813066549572,-0.6839324663519583,-0.8492846007973754,-0.6648533739159486,-0.753889138617327,-0.22285439914839095,0.10149017226377359,0.9632291806235441,2.266967163750872,4
AT1G72120.1,NPF5.14,1,27132014,27134101,+,2087,protein_coding,Protein NRT1/ PTR FAMILY 5.14 [Source:UniProtKB/Swiss-Prot;Acc:Q8VZE2],7.717398260218344,7.385999321946113,7.412807469711647,6.392026368027821,6.609212203053528,6.8498227513955,6.557606163856261,6.649555395524948,6.47353850181962,7.555255583716299,7.736458439379357,7.6805036689719985,1.1963987426318366e-6,1.9886879267093548e-4,-0.8840109072139761,1.767839955496496e-7,2.4001552365483234e-5,-0.9566643988428222,0.37551370036541165,0.7576265022656533,0.1516183102884715,181,181,178,78,95,118,90,90,94,177,212,245,0.6346061942439866,0.6346061942439866,0.5818444783253179,-1.1768793856303026,-0.8778963287578471,-0.47338984004805434,-0.9658325219556281,-0.9658325219556281,-0.8954835673974032,0.5642572396857617,1.1798105920702289,1.7601894671755836,4
AT2G21960.1,,2,9354842,9357091,+,2249,protein_coding,Expressed protein [Source:UniProtKB/TrEMBL;Acc:Q9SJ03],6.852575711551551,6.6468591588604,6.452940277161821,5.642087079301771,5.233299377002432,5.762795581829901,5.749843172248269,5.998887931984312,6.113436933005324,6.648995805782122,6.847231844631898,6.805058187284974,2.6205399502634747e-6,3.886905323472002e-4,-1.1080293787006832,0.0020992144388135257,0.038336333250125816,-0.7010700143484695,0.5911494082696571,0.8775614667360686,0.11590911895746393,99,108,91,46,36,55,51,57,73,94,114,133,0.6212249003490221,0.9116677109018116,0.36305351319098694,-1.0891605395729609,-1.4118747735205046,-0.7987177290201712,-0.9278034225991888,-0.7341748822306624,-0.21783210791459215,0.4598677833752501,1.105296251270338,1.7184532957706715,4
