ID,Path,Gene,Chromosome,Start,End,Strand,Length,BioType,Description,Flg22_vs_Mock_pvalue,Flg22_vs_Mock_padj,Flg22_vs_Mock_log2FoldChange,Flg22_SynCom33_vs_Mock_pvalue,Flg22_SynCom33_vs_Mock_padj,Flg22_SynCom33_vs_Mock_log2FoldChange,Flg22_SynCom35_vs_Mock_pvalue,Flg22_SynCom35_vs_Mock_padj,Flg22_SynCom35_vs_Mock_log2FoldChange,Flg22_vs_Mock,Flg22_SynCom33_vs_Mock,Flg22_SynCom35_vs_Mock,cl
AT1G29900.1,ARA:CITRULBIO-PWY,CARB,1,10467956,10472211,+,4255,protein_coding,"Carbamoyl-phosphate synthase large chain, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q42601]",0.2256366241564641,0.702334423741162,-0.21878157212817698,0.03411350660238523,0.22615025511351902,-0.38279706893010684,0.20124045907551033,0.6040709750599934,0.23042342734500837,0,0,0,4
AT1G30820.1,ARA:CITRULBIO-PWY,,1,10944908,10949482,-,4574,protein_coding,CTP synthase [Source:UniProtKB/TrEMBL;Acc:F4I6G9],1.3279066886058612e-4,0.007847256171843623,-1.6569722522207952,0.7858890172182557,0.9408094867507961,0.1176439513470912,0.005932733273457814,0.09110140305285958,1.1912207941969506,-1,0,0,1
AT1G63660.1,ARA:CITRULBIO-PWY,,1,23603791,23607275,-,3484,protein_coding,At1g63660 [Source:UniProtKB/TrEMBL;Acc:Q9CAD1],0.15667937912905416,0.6177030419449453,-0.38402192388765477,0.01302814810244006,0.12800536450650354,-0.6746588213925125,0.1913195552403757,0.5909315521855126,0.3529044088291169,0,0,0,4
AT1G63660.2,ARA:CITRULBIO-PWY,,1,23603939,23607275,-,3336,protein_coding,At1g63660 [Source:UniProtKB/TrEMBL;Acc:Q9CAD1],0.006995649724374927,0.12245586646845459,-0.9370655644441667,0.5768008874720665,0.856306166620317,-0.19218794209269788,0.9577829209811143,0.9901780099456383,-0.018189363283338738,0,0,0,1
AT1G75330.1,ARA:CITRULBIO-PWY,OTC,1,28266259,28268416,-,2157,protein_coding,OTC [Source:UniProtKB/TrEMBL;Acc:A0A178W4A4],0.23320887764898018,0.7094449678608825,0.18469958369134365,0.37001842941004215,0.7266298063701332,-0.13944178963483994,0.27710821815489517,0.6833208406378688,0.16827879994774672,0,0,0,3
AT2G03667.1,ARA:CITRULBIO-PWY,,2,1114127,1117477,+,3350,protein_coding,Asparagine synthase family protein [Source:UniProtKB/TrEMBL;Acc:A8MRC1],0.15895635672575237,0.6203193778846487,0.23388868411231253,0.9304363307988057,0.983407621472576,0.014672562542470348,0.3062050079020369,0.7077813522520477,-0.1729499893552926,0,0,0,7
AT2G38210.1,ARA:CITRULBIO-PWY,PDX1L4,2,16006749,16007722,+,973,protein_coding,Pyridoxal 5'-phosphate synthase PDX1-like 4 [Source:UniProtKB/Swiss-Prot;Acc:O80446],0.45834032060698476,0.8643297983803209,-0.5666224979128547,0.5016438857498767,NA,-0.5121833955220335,0.347101148856054,NA,-0.7213210563556756,0,0,0,8
AT2G38230.1,ARA:CITRULBIO-PWY,PDX11,2,16011233,16012515,+,1282,protein_coding,Pyridoxal 5'-phosphate synthase subunit PDX1.1 [Source:UniProtKB/Swiss-Prot;Acc:O80448],0.4148977380401942,0.8453375429330725,-0.34568083322991217,0.9770109776807284,0.994954644313541,-0.01214259376695172,0.0928177932237607,0.4354364015115492,0.700676488825184,0,0,0,4
AT2G41220.1,ARA:CITRULBIO-PWY,GLU2,2,17177539,17188836,+,11297,protein_coding,"Ferredoxin-dependent glutamate synthase 2, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9T0P4]",0.2770186039183021,0.7524091265903753,-0.2075913211167816,0.4372869422127638,0.774383898587847,-0.14833881422356632,0.029566410536366435,0.24063217343839774,-0.41554265842543336,0,0,0,10
AT3G12670.1,ARA:CITRULBIO-PWY,emb2742,3,4019031,4024357,-,5326,protein_coding,Emb2742 [Source:UniProtKB/TrEMBL;Acc:A0A384K8P2],0.775380918318421,0.9597034969856053,0.052599633742133695,0.42080430034616884,0.7630266394315441,-0.14864959870476147,0.8621825171077844,0.9672242244583065,0.031987136633864356,0,0,0,3
AT3G16050.1,ARA:CITRULBIO-PWY,PDX12,3,5443950,5445329,-,1379,protein_coding,Pyridoxal 5'-phosphate synthase-like subunit PDX1.2 [Source:UniProtKB/Swiss-Prot;Acc:Q9ZNR6],0.6250736436357087,0.9224874531516924,0.1248174006533371,0.4287846795556108,0.7683375257455508,-0.20315138346567901,0.7244376983765024,0.9256393518353461,0.08999296470137025,0,0,0,3
