ID,Path,Gene,Chromosome,Start,End,Strand,Length,BioType,Description,Flg22_vs_Mock_pvalue,Flg22_vs_Mock_padj,Flg22_vs_Mock_log2FoldChange,Flg22_SynCom33_vs_Mock_pvalue,Flg22_SynCom33_vs_Mock_padj,Flg22_SynCom33_vs_Mock_log2FoldChange,Flg22_SynCom35_vs_Mock_pvalue,Flg22_SynCom35_vs_Mock_padj,Flg22_SynCom35_vs_Mock_log2FoldChange,Flg22_vs_Mock,Flg22_SynCom33_vs_Mock,Flg22_SynCom35_vs_Mock,cl
AT1G24793.1,ARA:NAGLIPASYN-PWY,LPXC5,1,8767562,8769571,+,2009,protein_coding,"Probable UDP-3-O-acyl-N-acetylglucosamine deacetylase 3, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:P0DKB8]",0.07068842973383013,0.4421736501282527,1.146115126590109,0.2232527135516459,0.5917403503317948,0.7752768579409379,0.3569266891590169,0.744461002065638,0.5871081792425183,0,0,0,7
AT1G24793.2,ARA:NAGLIPASYN-PWY,LPXC5,1,8767581,8769417,+,1836,protein_coding,"Probable UDP-3-O-acyl-N-acetylglucosamine deacetylase 3, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:P0DKB8]",0.4785730481429592,0.8724331236914297,0.8146621763008407,0.7614901104193583,NA,0.3530067918172546,0.10754505674846619,NA,1.8205210844290354,0,0,0,6
AT1G25054.1,ARA:NAGLIPASYN-PWY,LPXC5,1,8804489,8806361,+,1872,protein_coding,"Probable UDP-3-O-acyl-N-acetylglucosamine deacetylase 3, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:P0DKB8]",0.9936030112774664,0.9983179157369771,-0.0066175584626717195,0.0010500843639140514,0.023119056405190443,2.655280437923249,0.8289688187393851,0.957754974846666,0.177665845003725,0,1,0,5
AT1G25145.1,ARA:NAGLIPASYN-PWY,LPXC5,1,8818867,8820736,+,1869,protein_coding,"Probable UDP-3-O-acyl-N-acetylglucosamine deacetylase 3, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:P0DKB8]",0.99046033733031,0.9980604122547079,0.0021206367944153178,0.26588259747470905,0.6364834749009358,0.19701931812911286,0.5271970719335004,0.8473612389883968,0.11196304288996765,0,0,0,1
AT2G04560.1,ARA:NAGLIPASYN-PWY,LPXB,2,1590182,1592703,-,2521,protein_coding,"Probable lipid-A-disaccharide synthase, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:F4IF99]",0.8156928700987052,0.9670041046358063,0.07066236315111697,0.8782359366181627,0.9676634102200616,0.046552902761858424,0.2507622833761569,0.6589590855159625,0.3407558544457015,0,0,0,4
AT4G05210.2,ARA:NAGLIPASYN-PWY,LPXD1,4,2682613,2685896,+,3283,protein_coding,"Probable UDP-3-O-acylglucosamine N-acyltransferase 1, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:F4JGP6]",0.4264372443615896,0.8493424862090211,-0.4873498486718207,0.2864062207167264,0.6553367466501487,-0.6564281885163712,0.8956290715644485,0.9764481101900062,-0.07953994913815682,0,0,0,8
AT4G05210.3,ARA:NAGLIPASYN-PWY,LPXD1,4,2682867,2684899,+,2032,protein_coding,"Probable UDP-3-O-acylglucosamine N-acyltransferase 1, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:F4JGP6]",0.9977513909982209,0.9996785854437588,0.0015066988183785343,0.39805093314816214,0.7476926680399103,-0.46489836862193185,0.38170372522895585,NA,-0.47872160303720507,0,0,0,2
AT4G21220.1,ARA:NAGLIPASYN-PWY,LPXD2,4,11316828,11319137,-,2309,protein_coding,"Probable UDP-3-O-acylglucosamine N-acyltransferase 2, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:F4JIP6]",0.5086179404746662,0.8829728653534076,-0.17834029543945193,0.1809141912444523,0.5382953108768082,-0.3646739322386497,0.6836947243717102,0.9123261234086529,-0.10916368123907408,0,0,0,8
AT4G29540.2,ARA:NAGLIPASYN-PWY,LPXA,4,14497560,14500504,+,2944,protein_coding,"Probable acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:Q9SU91]",0.016482380191898037,0.20620274745656805,-1.4071579203073736,0.638734041094734,0.8866743347641952,-0.26049832947969576,0.6592750464701397,NA,-0.24379062187615028,-0,0,0,8
AT4G29540.1,ARA:NAGLIPASYN-PWY,LPXA,4,14497730,14499796,+,2066,protein_coding,"Probable acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:Q9SU91]",0.25813470955185713,0.7362108000343687,1.0183669057617164,0.8147509612529309,NA,0.21560816611174957,0.9780966465909167,NA,0.02535349914343804,0,0,0,7
