ID,Path,Gene,Chromosome,Start,End,Strand,Length,BioType,Description,Flg22_vs_Mock_pvalue,Flg22_vs_Mock_padj,Flg22_vs_Mock_log2FoldChange,Flg22_SynCom33_vs_Mock_pvalue,Flg22_SynCom33_vs_Mock_padj,Flg22_SynCom33_vs_Mock_log2FoldChange,Flg22_SynCom35_vs_Mock_pvalue,Flg22_SynCom35_vs_Mock_padj,Flg22_SynCom35_vs_Mock_log2FoldChange,Flg22_vs_Mock,Flg22_SynCom33_vs_Mock,Flg22_SynCom35_vs_Mock,cl
AT1G12230.2,ARA:NONOXIPENT-PWY,,1,4147962,4151056,+,3094,protein_coding,Aldolase superfamily protein [Source:UniProtKB/TrEMBL;Acc:F4IC59],0.5642727879668705,0.9026237829786996,0.40723257333385177,0.7240442530419517,0.9214248088866843,0.24986235447935978,0.4757826437974962,0.8202937397506208,0.5028550324008374,0,0,0,6
AT1G12230.1,ARA:NONOXIPENT-PWY,,1,4147991,4151025,+,3034,protein_coding,Aldolase superfamily protein [Source:UniProtKB/TrEMBL;Acc:F4IC59],0.02330102150171657,0.24940843396831655,0.2727860361735785,0.08948160402060798,0.38237734398402823,0.2044216741404764,0.0634479791600445,0.35819539332987665,0.22310996223839277,0,0,0,6
AT1G63290.1,ARA:NONOXIPENT-PWY,,1,23471844,23473922,-,2078,protein_coding,Ribulose-phosphate 3-epimerase [Source:UniProtKB/TrEMBL;Acc:Q9C8T3],0.08759965085716048,0.4873572845524403,0.19562724616283142,0.4470135013175854,0.7813448679709684,0.0873319724834684,0.6811749939969741,0.9114488123045532,-0.04724044187097135,0,0,0,7
AT1G71100.1,ARA:NONOXIPENT-PWY,RPI1,1,26814260,26815922,+,1662,protein_coding,Probable ribose-5-phosphate isomerase 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9C998],0.0033436495950655196,0.07633167791962532,0.7625208311248375,0.3298078320556395,0.6925938708944381,0.25473906460143747,0.8106064442164262,0.9529301367677017,-0.06285164910607313,0,0,0,7
AT2G01290.1,ARA:NONOXIPENT-PWY,RPI2,2,148919,150585,-,1666,protein_coding,Probable ribose-5-phosphate isomerase 2 [Source:UniProtKB/Swiss-Prot;Acc:Q9ZU38],0.6770713465521043,0.9361198520858621,-0.15041159678567062,0.944903547885642,0.987776477188274,0.024785358009205026,0.31855750600074845,0.7168305725888131,0.3524457374952778,0,0,0,1
AT2G45290.1,ARA:NONOXIPENT-PWY,TKL-2,2,18672497,18676451,+,3954,protein_coding,"Transketolase-2, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:F4IW47]",3.9384470087271053e-4,0.017428094654258285,0.4333780860773524,0.015223593775318216,0.14111746478210493,0.2972592330136528,0.6693857569851459,0.9068250161690296,-0.05247139758777947,0,0,0,7
AT2G45290.2,ARA:NONOXIPENT-PWY,TKL-2,2,18672563,18676484,+,3921,protein_coding,"Transketolase-2, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:F4IW47]",0.005753872373761962,0.10898289496060544,0.39105297240352865,0.9169158508933666,0.9796804330442195,-0.014829847379714477,0.2504054723425218,0.6589590855159625,-0.16349705317759056,0,0,0,7
AT3G01850.1,ARA:NONOXIPENT-PWY,,3,299949,302277,-,2328,protein_coding,Ribulose-phosphate 3-epimerase [Source:UniProtKB/TrEMBL;Acc:Q94K13],0.2785234245371437,0.7534782407589804,0.4731492974631402,0.03760335924649996,0.23967296098148688,0.8948441770267884,0.2903193125071841,0.6954968012372736,0.46049641502556027,0,0,0,5
AT3G01850.4,ARA:NONOXIPENT-PWY,,3,299993,301539,-,1546,protein_coding,Ribulose-phosphate 3-epimerase [Source:UniProtKB/TrEMBL;Acc:Q94K13],0.9578420257447212,0.9939609076844966,0.04106274381156888,0.8724067733963847,0.965929643022917,-0.1249734919877088,0.8549777720991365,0.9650040540703506,0.14175388071281086,0,0,0,4
AT3G01850.3,ARA:NONOXIPENT-PWY,,3,299993,301539,-,1546,protein_coding,Ribulose-phosphate 3-epimerase [Source:UniProtKB/TrEMBL;Acc:Q94K13],0.5547046517420173,0.8993594881597695,0.1546080388856755,0.3729409584223539,0.7290796746612492,-0.235128675948774,0.27669957208984924,0.6831585296411827,-0.2868083178783496,0,0,0,2
