ID,Path,Gene,Chromosome,Start,End,Strand,Length,BioType,Description,Flg22_vs_Mock_pvalue,Flg22_vs_Mock_padj,Flg22_vs_Mock_log2FoldChange,Flg22_SynCom33_vs_Mock_pvalue,Flg22_SynCom33_vs_Mock_padj,Flg22_SynCom33_vs_Mock_log2FoldChange,Flg22_SynCom35_vs_Mock_pvalue,Flg22_SynCom35_vs_Mock_padj,Flg22_SynCom35_vs_Mock_log2FoldChange,Flg22_vs_Mock,Flg22_SynCom33_vs_Mock,Flg22_SynCom35_vs_Mock,cl
AT1G12350.1,ARA:PWY-4221ARA,PPCS1,1,4198337,4200845,+,2508,protein_coding,Phosphopantothenate--cysteine ligase 1 [Source:UniProtKB/Swiss-Prot;Acc:Q8GXR5],0.2699555581179582,0.7462444874861902,-0.14318210392669944,0.326915238368211,0.6904569011481968,-0.12720574427792106,0.12948025931234383,0.5026684006029317,-0.1965250904605347,0,0,0,8
AT1G12350.2,ARA:PWY-4221ARA,PPCS1,1,4198366,4200849,+,2483,protein_coding,Phosphopantothenate--cysteine ligase 1 [Source:UniProtKB/Swiss-Prot;Acc:Q8GXR5],0.5013750001439654,0.8804591139606479,0.936631093534499,0.9231890991081206,0.9812274846623239,-0.13540401934618984,0.9219832569696413,NA,-0.1374149164751321,0,0,0,7
AT1G48605.1,ARA:PWY-4221ARA,HAL3B,1,17969395,17970551,-,1156,protein_coding,Probable phosphopantothenoylcysteine decarboxylase [Source:UniProtKB/Swiss-Prot;Acc:P94063],0.6654332084418377,0.9329325225788251,0.11990675856618063,0.5933123579997788,0.8656092888826028,0.14794975463226848,0.9928597113418303,0.9987511922657519,-0.0024868760535834353,0,0,0,9
AT1G60440.1,ARA:PWY-4221ARA,PANK1,1,22266416,22269258,-,2842,protein_coding,Pantothenate kinase 1 [Source:UniProtKB/Swiss-Prot;Acc:O80765],0.3677033311101236,0.816192413842176,-0.14291981297546066,0.6266466934866455,0.880075043848702,-0.07706442726927426,0.40306177904595253,0.7743732115885285,-0.13234429436117245,0,0,0,8
AT1G60440.2,ARA:PWY-4221ARA,PANK1,1,22266450,22269256,-,2806,protein_coding,Pantothenate kinase 1 [Source:UniProtKB/Swiss-Prot;Acc:O80765],0.2585222358553924,0.7366718377858494,1.089209072317384,0.37066809328513506,0.727068907363286,0.8640824515814401,0.5158156303722854,0.8412029097510385,0.6277687958633039,0,0,0,6
AT2G18250.1,ARA:PWY-4221ARA,COAD,2,7939822,7941696,+,1874,protein_coding,Phosphopantetheine adenylyltransferase [Source:UniProtKB/Swiss-Prot;Acc:Q9ZPV8],0.4112831017603739,0.843989081568486,0.15648580047254207,0.20838321187043773,0.5726335424617709,0.23914945606447757,0.27468026073240953,0.682037125885056,-0.20980219506405187,0,0,0,9
AT2G27490.2,ARA:PWY-4221ARA,COAE,2,11748015,11750488,-,2473,protein_coding,Dephospho-CoA kinase [Source:UniProtKB/Swiss-Prot;Acc:Q9ZQH0],0.1873395621961109,0.6628200007786752,-0.4632499183408202,0.9930858582708303,0.9978620192163213,0.0029924170664660816,0.5423473292673073,0.8558644079361106,-0.2112852123508516,0,0,0,10
AT2G27490.4,ARA:PWY-4221ARA,COAE,2,11748087,11749153,-,1066,protein_coding,Dephospho-CoA kinase [Source:UniProtKB/Swiss-Prot;Acc:Q9ZQH0],0.020703914370286576,0.2332060750342179,0.4030927134252601,0.32406025872552036,0.6875955378857599,0.17357501432974823,0.45098325366347375,0.8057154014754239,-0.1340680340664419,0,0,0,7
AT2G46110.1,ARA:PWY-4221ARA,KPHMT1,2,18954570,18956582,-,2012,protein_coding,"3-methyl-2-oxobutanoate hydroxymethyltransferase 1, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:O82357]",0.23196105279042464,0.7082516987828195,0.3713435823136787,0.8006774154832654,0.9450776806024497,0.08002969111640534,0.10318284081765754,0.45678814293858594,0.5001467306729446,0,0,0,6
AT3G18030.1,ARA:PWY-4221ARA,HAL3A,3,6167640,6168966,-,1326,protein_coding,Phosphopantothenoylcysteine decarboxylase [Source:UniProtKB/Swiss-Prot;Acc:Q9SWE5],0.4104178564285922,0.8438674149004016,0.1520662961327187,0.30700757313829813,0.674487656416387,-0.19224069043581749,0.08761662372357915,0.4218292442549264,0.31224845357187464,0,0,0,4
