ID,Path,Gene,Chromosome,Start,End,Strand,Length,BioType,Description,Flg22_vs_Mock_pvalue,Flg22_vs_Mock_padj,Flg22_vs_Mock_log2FoldChange,Flg22_SynCom33_vs_Mock_pvalue,Flg22_SynCom33_vs_Mock_padj,Flg22_SynCom33_vs_Mock_log2FoldChange,Flg22_SynCom35_vs_Mock_pvalue,Flg22_SynCom35_vs_Mock_padj,Flg22_SynCom35_vs_Mock_log2FoldChange,Flg22_vs_Mock,Flg22_SynCom33_vs_Mock,Flg22_SynCom35_vs_Mock,cl
AT1G01390.1,ARA:PWY-6266-ARA,,1,148018,149806,-,1788,protein_coding,UDP-Glycosyltransferase superfamily protein [Source:TAIR;Acc:AT1G01390],0.6137605356957914,0.9183294890964591,-0.5126234322177903,0.18036945837968624,NA,-1.4232723201637147,0.7144187017655095,NA,-0.36884434299649155,0,-0,0,8
AT1G01420.2,ARA:PWY-6266-ARA,UGT72B3,1,154367,156178,-,1811,protein_coding,UDP-glucosyl transferase 72B3 [Source:TAIR;Acc:AT1G01420],0.6330748093613874,0.9249939223317417,-0.34305499302956627,0.5049106229894189,0.8154895077626507,-0.4807019370638921,0.7281287048090173,NA,-0.24894359439536445,0,0,0,8
AT1G01420.2,ARA:PWY-6266-ARA,UGT72B3,1,154367,156178,-,1811,protein_coding,UDP-glucosyl transferase 72B3 [Source:TAIR;Acc:AT1G01420],0.6330748093613874,0.9249939223317417,-0.34305499302956627,0.5049106229894189,0.8154895077626507,-0.4807019370638921,0.7281287048090173,NA,-0.24894359439536445,0,0,0,8
AT1G01420.1,ARA:PWY-6266-ARA,UGT72B3,1,154492,156011,-,1519,protein_coding,UDP-glucosyl transferase 72B3 [Source:TAIR;Acc:AT1G01420],0.01664200983870639,0.207424120702974,-0.9344307459186997,0.004735785001737872,0.06646401166411323,-1.1103799125386828,0.19966289788995187,0.6014288960638811,0.4827657263288564,0,-0,0,4
AT1G01420.1,ARA:PWY-6266-ARA,UGT72B3,1,154492,156011,-,1519,protein_coding,UDP-glucosyl transferase 72B3 [Source:TAIR;Acc:AT1G01420],0.01664200983870639,0.207424120702974,-0.9344307459186997,0.004735785001737872,0.06646401166411323,-1.1103799125386828,0.19966289788995187,0.6014288960638811,0.4827657263288564,0,-0,0,4
AT1G06000.1,ARA:PWY-6266-ARA,UGT89C1,1,1820308,1821894,-,1586,protein_coding,Glycosyltransferase (Fragment) [Source:UniProtKB/TrEMBL;Acc:W8PVE7],0.5191175882588048,0.8876169160713289,-0.19294313791949952,1.6511475320960374e-4,0.006130683419586419,-1.130751713703829,0.17089718536787502,0.5639155955628026,-0.40993540731549777,0,-1,0,3
AT1G07240.1,ARA:PWY-6266-ARA,UGT71C5,1,2223625,2225524,+,1899,protein_coding,UDP-glycosyltransferase 71C5 [Source:UniProtKB/Swiss-Prot;Acc:Q9FE68],0.09379378718041646,0.5039819245560417,0.2940870476191795,0.91724687069497,0.9796804330442195,0.018288307865736528,0.009019658069854808,0.11896652074811785,-0.4619385756891359,0,0,0,7
AT1G07250.1,ARA:PWY-6266-ARA,UGT71C4,1,2225759,2227608,+,1849,protein_coding,Flavonol 3-O-glucosyltransferase UGT71C4 [Source:UniProtKB/Swiss-Prot;Acc:Q9LML6],0.5825563877257903,0.9078270129595561,0.06258147768314282,0.5806769346416354,0.8585828668937042,-0.0631870767545241,0.3999376917308809,0.772211721483533,-0.09609112988021537,0,0,0,3
AT1G07260.1,ARA:PWY-6266-ARA,UGT71C3,1,2227594,2229357,-,1763,protein_coding,UDP-glycosyltransferase 71C3 [Source:UniProtKB/Swiss-Prot;Acc:Q9LML7],0.004394820439986134,0.09137403102207398,0.5609500779541087,0.5832886620112492,0.8598358089595525,0.10864583933765962,0.1101747359142922,0.46961500766700703,0.3151699686359759,0,0,0,6
AT1G30530.1,ARA:PWY-6266-ARA,UGT78D1,1,10814612,10816615,+,2003,protein_coding,Glycosyltransferase (Fragment) [Source:UniProtKB/TrEMBL;Acc:W8PVA4],0.6921500679360874,0.939286640809929,-0.2239330535928334,0.1114089593573581,0.42619832722989903,-0.9083272248142914,0.867452028912022,0.9686421032206517,-0.09420996209698032,0,0,0,3
AT1G73880.1,ARA:PWY-6266-ARA,UGT89B1,1,27784928,27786804,+,1876,protein_coding,Flavonol 3-O-glucosyltransferase UGT89B1 [Source:UniProtKB/Swiss-Prot;Acc:Q9C9B0],0.3061289408506659,0.7736081364700135,0.19676906502772756,0.0050105753130398846,0.06871686645405008,-0.5553651363455436,0.0074336570102030925,0.10476796739980433,-0.5268537232003925,0,0,0,2
AT2G15480.1,ARA:PWY-6266-ARA,UGT73B5,2,6758430,6760709,+,2279,protein_coding,Glycosyltransferase [Source:UniProtKB/TrEMBL;Acc:F4IIG3],0.1486038702428074,0.606130904138038,-0.3233381959957552,0.09932228023561725,0.40336964698342265,-0.3690160879972513,2.7091470927929584e-7,3.9263048649646384e-5,-1.1558165929231254,0,0,-1,2
AT2G15480.1,ARA:PWY-6266-ARA,UGT73B5,2,6758430,6760709,+,2279,protein_coding,Glycosyltransferase [Source:UniProtKB/TrEMBL;Acc:F4IIG3],0.1486038702428074,0.606130904138038,-0.3233381959957552,0.09932228023561725,0.40336964698342265,-0.3690160879972513,2.7091470927929584e-7,3.9263048649646384e-5,-1.1558165929231254,0,0,-1,2
AT2G15480.2,ARA:PWY-6266-ARA,UGT73B5,2,6758681,6763501,+,4820,protein_coding,Glycosyltransferase [Source:UniProtKB/TrEMBL;Acc:F4IIG3],0.41067566243423115,0.843929465241122,-0.2576340523015627,0.0037924320451596287,0.0575457941066069,-0.9098214941956149,7.505767632358828e-5,0.0038419948446657168,-1.2467061290914476,0,0,-1,2
AT2G15480.2,ARA:PWY-6266-ARA,UGT73B5,2,6758681,6763501,+,4820,protein_coding,Glycosyltransferase [Source:UniProtKB/TrEMBL;Acc:F4IIG3],0.41067566243423115,0.843929465241122,-0.2576340523015627,0.0037924320451596287,0.0575457941066069,-0.9098214941956149,7.505767632358828e-5,0.0038419948446657168,-1.2467061290914476,0,0,-1,2
AT2G15490.3,ARA:PWY-6266-ARA,UGT73B4,2,6761635,6763474,+,1839,protein_coding,UDP-glycosyltransferase 73B4 [Source:UniProtKB/Swiss-Prot;Acc:Q7Y232],0.33838558407775793,0.7980983883857707,0.7863324342564906,0.023883174683877136,0.1843317547665763,-1.940718485955114,0.07435442777234397,0.388704655225348,-1.5093440406672038,0,-0,-0,7
AT2G15490.1,ARA:PWY-6266-ARA,UGT73B4,2,6761635,6763500,+,1865,protein_coding,UDP-glycosyltransferase 73B4 [Source:UniProtKB/Swiss-Prot;Acc:Q7Y232],0.4295363383802287,0.8501796477083512,-0.20603212327737064,3.405313795242599e-7,4.2301277664086175e-5,-1.3330656002598007,3.007803644599756e-16,5.168695720127209e-13,-2.1423683251302057,0,-1,-1,2
AT2G26480.1,ARA:PWY-6266-ARA,UGT76D1,2,11263889,11265855,+,1966,protein_coding,UDP-glycosyltransferase 76D1 [Source:UniProtKB/Swiss-Prot;Acc:O48715],0.4277531000713559,0.8495097171188976,-0.23495309397442773,0.1796019062034682,0.5363913390247341,0.3959569333290866,0.10878997627907008,0.46686929170921654,-0.47577784367966414,0,0,0,10
AT2G29710.1,ARA:PWY-6266-ARA,UGT71D2,2,12698573,12700343,+,1770,protein_coding,UDP-glycosyltransferase 71D2 [Source:UniProtKB/Swiss-Prot;Acc:O82385],0.5835678806090628,0.9078270129595561,-0.13670735716703156,0.5877034000475287,0.862813466504874,0.1333742407458068,0.07178686233807388,0.3818214608530939,0.435459253409973,0,0,0,1
AT2G29730.1,ARA:PWY-6266-ARA,UGT71D1,2,12703469,12705206,+,1737,protein_coding,Glycosyltransferase (Fragment) [Source:UniProtKB/TrEMBL;Acc:W8PVN2],0.02072823152265886,0.2332738020012846,-0.4643552630546629,0.10407430010112925,0.41161178980705554,-0.325528110083067,0.1728067650430019,0.56756111309277,0.27025601609015104,0,0,0,4
AT2G29740.1,ARA:PWY-6266-ARA,UGT71C2,2,12706627,12708367,+,1740,protein_coding,Glycosyltransferase (Fragment) [Source:UniProtKB/TrEMBL;Acc:W8Q3E5],8.568195304414096e-4,0.030457324704561327,-0.5925295820231554,5.192462298680402e-4,0.014042632949006695,0.6026707826355221,0.0010329486441931193,0.02682476800830645,0.5694053975828784,0,0,0,1
AT2G29750.1,ARA:PWY-6266-ARA,UGT71C1,2,12709721,12711725,+,2004,protein_coding,Glycosyltransferase (Fragment) [Source:UniProtKB/TrEMBL;Acc:W8Q707],0.03021253078736644,0.28639025376816285,-0.48217395584955297,0.39104840063263674,0.7440800216692717,-0.19066321576477321,0.4847183137804931,0.82456036053346915,0.15516442429618213,0,0,0,4
AT2G36770.1,ARA:PWY-6266-ARA,UGT73C4,2,15415077,15416845,-,1768,protein_coding,Glycosyltransferase (Fragment) [Source:UniProtKB/TrEMBL;Acc:W8QNU5],0.007806681674568798,0.1314853106953167,2.665775696811274,0.02051924431106352,NA,2.3341712428537886,0.2373694047926082,NA,-1.5275870077123292,0,0,-0,9
AT2G43840.2,ARA:PWY-6266-ARA,UGT74F1,2,18157529,18159175,+,1646,protein_coding,Glycosyltransferase [Source:UniProtKB/TrEMBL;Acc:F4IS54],0.8443597207170825,0.9736676191596145,0.31377146422426716,0.6136167577468501,NA,0.8025159596243457,0.6532311610429902,NA,-0.7313890829598924,0,0,0,9
AT2G43840.1,ARA:PWY-6266-ARA,UGT74F1,2,18157620,18159231,+,1611,protein_coding,Glycosyltransferase [Source:UniProtKB/TrEMBL;Acc:F4IS54],0.06442076446085322,0.4237083224669088,0.6047997699496565,0.3932958940197959,0.7453641360767411,0.28044542142614604,0.395706726846364,0.7701571421786121,-0.28133776452222536,0,0,0,7
AT3G16520.3,ARA:PWY-6266-ARA,UGT88A1,3,5618408,5620969,-,2561,protein_coding,UDP-glycosyltransferase 88A1 [Source:UniProtKB/Swiss-Prot;Acc:Q9LK73],0.5564658515295482,0.9002638206035221,0.27654902373309365,0.07466203158977452,0.3479654530506794,-0.8575461757279805,0.1923041804712963,0.5921633712634238,-0.6220663656789557,0,0,0,2
AT3G16520.1,ARA:PWY-6266-ARA,UGT88A1,3,5618545,5620854,-,2309,protein_coding,UDP-glycosyltransferase 88A1 [Source:UniProtKB/Swiss-Prot;Acc:Q9LK73],0.025115701707935967,0.2601760061172317,-0.855702970931604,0.3131477162589926,0.6787644660921013,-0.3762016162893747,0.5223704006134606,0.8446087127447718,0.23263571981957415,0,0,0,4
