ID,Path,Gene,Chromosome,Start,End,Strand,Length,BioType,Description,Flg22_vs_Mock_pvalue,Flg22_vs_Mock_padj,Flg22_vs_Mock_log2FoldChange,Flg22_SynCom33_vs_Mock_pvalue,Flg22_SynCom33_vs_Mock_padj,Flg22_SynCom33_vs_Mock_log2FoldChange,Flg22_SynCom35_vs_Mock_pvalue,Flg22_SynCom35_vs_Mock_padj,Flg22_SynCom35_vs_Mock_log2FoldChange,Flg22_vs_Mock,Flg22_SynCom33_vs_Mock,Flg22_SynCom35_vs_Mock,cl
AT1G13080.1,ARA:CAMALEXIN-SYN,CYP71B2,1,4459002,4460996,+,1994,protein_coding,Cytochrome P450 71B2 [Source:UniProtKB/Swiss-Prot;Acc:O65788],0.010724499068668058,0.16115716888628095,-0.8127362932673504,0.014536197143746267,0.13715761727560097,0.7746477598296712,8.167098926107266e-4,0.02279397516987107,1.060405960926554,0,0,1,1
AT1G13080.2,ARA:CAMALEXIN-SYN,CYP71B2,1,4459166,4460940,+,1774,protein_coding,Cytochrome P450 71B2 [Source:UniProtKB/Swiss-Prot;Acc:O65788],0.42483707350330185,0.8486655110011069,-0.9966362885448089,0.3999389512606858,0.7486879448321557,1.0495818585781764,0.4957675964294876,0.8309305305072184,0.8494001187608158,0,0,0,1
AT1G13090.1,ARA:CAMALEXIN-SYN,CYP71B28,1,4461738,4463469,+,1731,protein_coding,Cytochrome P450 71B28 [Source:UniProtKB/Swiss-Prot;Acc:Q9SAE3],0.11329966988605959,0.544176449447602,1.621086667915218,0.31025978102600565,0.6765631648989902,1.0428374117541384,0.7154624423933653,0.9234733222202878,0.37679322832587425,0,0,0,7
AT1G13090.2,ARA:CAMALEXIN-SYN,CYP71B28,1,4461738,4463469,+,1731,protein_coding,Cytochrome P450 71B28 [Source:UniProtKB/Swiss-Prot;Acc:Q9SAE3],0.02352142347914033,0.2508981694875095,0.8554001803206712,0.22901821155974264,0.5980175674871407,0.4551703150645606,0.23508398669768246,0.6429241656174836,-0.4518857882544874,0,0,0,7
AT1G13100.1,ARA:CAMALEXIN-SYN,CYP71B29,1,4463859,4465725,+,1866,protein_coding,Cytochrome P450 71B29 [Source:UniProtKB/Swiss-Prot;Acc:Q9SAE4],0.2005981904173841,0.674488392399373,0.27462043769947986,5.734696526717084e-5,0.002699826830669153,0.8602999469437053,0.6392868786373666,0.897209411168928,0.10064331464864575,0,0,0,5
AT1G13110.1,ARA:CAMALEXIN-SYN,CYP71B7,1,4467094,4469033,+,1939,protein_coding,CYP71B7 [Source:UniProtKB/TrEMBL;Acc:A0A178WGC6],0.05322843061458759,0.38807432846049267,0.4850636242757457,2.916882729702343e-5,0.0015496371845821815,1.0484472846571606,0.5499215500282559,0.8590917305571286,-0.15011158321925563,0,1,0,9
AT2G22330.1,ARA:CAMALEXIN-SYN,CYP79B3,2,9488542,9491296,+,2754,protein_coding,"cytochrome P450, family 79, subfamily B, polypeptide 3 [Source:TAIR;Acc:AT2G22330]",0.05752357000794647,0.401881384945018,-0.5768576665292572,0.7250771758247397,0.9216800664656697,-0.10673026525078563,0.004027030903703097,0.07092409186038734,0.8718955442678686,0,0,0,4
AT2G22330.1,ARA:CAMALEXIN-SYN,CYP79B3,2,9488542,9491296,+,2754,protein_coding,"cytochrome P450, family 79, subfamily B, polypeptide 3 [Source:TAIR;Acc:AT2G22330]",0.05752357000794647,0.401881384945018,-0.5768576665292572,0.7250771758247397,0.9216800664656697,-0.10673026525078563,0.004027030903703097,0.07092409186038734,0.8718955442678686,0,0,0,4
AT2G30750.1,ARA:CAMALEXIN-SYN,CYP71A12,2,13099486,13101371,-,1885,protein_coding,Cytochrome P450 71A12 [Source:UniProtKB/Swiss-Prot;Acc:O49340],1.4723500089876432e-5,0.001492139745810581,1.6894387219301528,2.2610269834234344e-8,4.469185835910938e-6,2.1797682984949303,0.37347599644507823,0.756652036217167,-0.34730211049927545,1,1,0,9
AT2G30770.1,ARA:CAMALEXIN-SYN,CYP71A13,2,13109909,13111988,-,2079,protein_coding,Indoleacetaldoxime dehydratase [Source:UniProtKB/Swiss-Prot;Acc:O49342],0.019683491058376936,0.2272365614457806,2.105405640231274,9.455053545084123e-4,0.02130517597644186,2.963448065941043,0.0857483626679634,0.41767678700807365,1.5604753434256542,0,1,0,5
AT3G26170.1,ARA:CAMALEXIN-SYN,CYP71B19,3,9573263,9575215,-,1952,protein_coding,Putative cytochrome P450 [Source:UniProtKB/TrEMBL;Acc:Q541W8],0.06111927028340376,0.41362935006243606,1.6322912203051254,0.16176327043333347,0.5091347893442068,1.2284164916867042,0.7440792708667093,NA,-0.30030802303741244,0,0,0,7
AT3G26180.1,ARA:CAMALEXIN-SYN,CYP71B20,3,9578032,9580113,-,2081,protein_coding,Cytochrome P450 71B20 [Source:UniProtKB/Swiss-Prot;Acc:Q9LTM3],0.02474798835982339,0.2579149480578206,1.5080636735664736,0.006008807722800281,0.07773280519938265,1.8377215486797966,0.27078958226679256,0.6783273396683148,-0.7931555161734251,0,0,0,9
AT3G26210.1,ARA:CAMALEXIN-SYN,CYP71B23,3,9592727,9595283,-,2556,protein_coding,Cytochrome P450 71B23 [Source:UniProtKB/Swiss-Prot;Acc:Q9LTM0],0.3175876442690635,0.7824740525658138,-0.2400182628199963,0.8697835854134989,0.9652913419734153,-0.03934817317200407,0.011153311735678594,0.1353133503464224,-0.6100866302479698,0,0,0,10
AT3G26220.1,ARA:CAMALEXIN-SYN,CYP71B3,3,9595930,9597927,-,1997,protein_coding,Cytochrome P450 71B3 [Source:UniProtKB/Swiss-Prot;Acc:O65785],0.7213961760719736,0.9468456098918204,0.1334219423613363,0.4485505403895955,0.7817644986224783,0.2831370485252414,0.20317509692957483,0.6056234025438869,-0.47951390723283444,0,0,0,9
AT3G26230.1,ARA:CAMALEXIN-SYN,CYP71B24,3,9597941,9599988,-,2047,protein_coding,Cytochrome P450 71B24 [Source:UniProtKB/Swiss-Prot;Acc:Q9LTL8],0.7417640266337202,0.9529238740615088,0.28376274314566596,0.3963404297350586,NA,0.7204832945318904,0.5267537408354385,NA,-0.5649180150602798,0,0,0,9
AT3G26280.1,ARA:CAMALEXIN-SYN,CYP71B4,3,9630200,9632009,-,1809,protein_coding,"Cytochrome P450, family 71, subfamily B, polypeptide 4 [Source:UniProtKB/TrEMBL;Acc:A0A1I9LMQ2]",0.4309215899639808,NA,0.8448710356407984,0.34066175356739586,NA,1.0180477602655698,0.3823401528361335,NA,-1.0190587003959162,0,0,-0,9
AT3G26830.1,ARA:CAMALEXIN-SYN,CYP71B15,3,9887917,9889791,+,1874,protein_coding,Bifunctional dihydrocamalexate synthase/camalexin synthase [Source:UniProtKB/Swiss-Prot;Acc:Q9LW27],0.6425145722746362,0.9273392630027173,-0.21296595274094196,0.18584406909624057,0.5446419716583855,-0.6075392240811666,0.005742515482949303,0.08984554041781262,-1.270785686152475,0,0,-0,2
AT3G48280.1,ARA:CAMALEXIN-SYN,CYP71A25,3,17879542,17881388,+,1846,protein_coding,Cytochrome P450 71A25 [Source:UniProtKB/Swiss-Prot;Acc:Q9STK8],0.2073462119387705,0.6826658611998856,0.9713445158059641,0.9425316770164324,NA,-0.05812846500244746,0.9969299426638573,NA,0.0030761483772903104,0,0,0,7
AT3G48320.1,ARA:CAMALEXIN-SYN,CYP71A21,3,17891134,17892847,+,1713,protein_coding,Cytochrome P450 71A21 [Source:UniProtKB/Swiss-Prot;Acc:Q9STL2],0.07092953923878008,0.44258571695827464,0.7342946758916088,0.0868637554178007,0.37726430274621325,0.6975923949368551,0.19926213986451458,0.601151281717505,-0.5626958392483881,0,0,0,9
AT3G53280.1,ARA:CAMALEXIN-SYN,CYP71B5,3,19755689,19757613,+,1924,protein_coding,Cytochrome P450 71B5 [Source:UniProtKB/Swiss-Prot;Acc:O65784],1.4283591022620999e-9,5.713563113319274e-7,4.792441245019365,1.9052389336643577e-6,1.6959150004889159e-4,3.7794824455947627,0.07927363325098373,0.4019315213387074,1.4138729905955507,1,1,0,7
AT4G13290.1,ARA:CAMALEXIN-SYN,CYP71A19,4,7740283,7743135,+,2852,protein_coding,Cytochrome P450 71A19 [Source:UniProtKB/Swiss-Prot;Acc:Q9T0K0],0.5675745705493784,0.903685921979614,-0.24017156706595846,0.4801883993910613,0.800876925113292,-0.29672469575387184,0.517589079450429,0.8419564927950917,0.271256086681722,0,0,0,4
AT4G13310.1,ARA:CAMALEXIN-SYN,CYP71A20,4,7750305,7753210,+,2905,protein_coding,Cytochrome P450 71A20 [Source:UniProtKB/Swiss-Prot;Acc:Q9T0K2],0.133417461166846,0.5809105579234334,-0.8653054074864626,0.02817112865850047,0.2032429061195769,1.1607581111876542,1.5041436906655521e-6,1.6154771834835647e-4,2.494141862865332,0,0,1,1
AT4G20235.2,ARA:CAMALEXIN-SYN,CYP71A28,4,10928948,10930459,-,1511,protein_coding,"cytochrome P450, family 71, subfamily A, polypeptide 28 [Source:TAIR;Acc:AT4G20235]",0.1657819704587919,0.6319647187124018,-0.4712160682425396,0.004118762087350228,0.06100306470090845,-1.0103716244645295,0.452691939898726,0.8063266450580131,-0.2515273653148179,0,-0,0,8
AT4G20235.1,ARA:CAMALEXIN-SYN,CYP71A28,4,10929146,10931277,-,2131,protein_coding,"cytochrome P450, family 71, subfamily A, polypeptide 28 [Source:TAIR;Acc:AT4G20235]",0.3759507764048874,0.822724129571266,-0.7482801787563271,0.9807815107090604,NA,-0.019654961993257197,0.9541251991705119,NA,-0.04682437273505976,0,0,0,1
AT4G20240.1,ARA:CAMALEXIN-SYN,CYP71A27,4,10931335,10934225,-,2890,protein_coding,"cytochrome P450, family 71, subfamily A, polypeptide 27 [Source:TAIR;Acc:AT4G20240]",0.5028260178904248,0.8813378128483005,0.2067588853042421,0.690483322774549,0.908011578261688,0.12293268122190491,0.21350165423569387,0.6162474862150357,0.3834232783797144,0,0,0,6
AT4G20240.2,ARA:CAMALEXIN-SYN,CYP71A27,4,10931355,10934237,-,2882,protein_coding,"cytochrome P450, family 71, subfamily A, polypeptide 27 [Source:TAIR;Acc:AT4G20240]",0.733243964717129,0.9502176053942513,0.24808578386407318,0.03242780198898586,0.21974393069521497,-1.5994351964279303,0.7253979729808965,0.9256393518353461,-0.2566080698110141,0,-0,0,3
AT4G29210.2,ARA:CAMALEXIN-SYN,GGT3,4,14400920,14403519,+,2599,protein_coding,Glutathione hydrolase 3 [Source:UniProtKB/Swiss-Prot;Acc:Q9M0G0],0.17471557732436882,0.6453400724710942,1.3219967698602844,0.5723150208196348,0.8541038355450743,0.5536571421826287,0.8031145404292195,NA,0.24509923663809066,0,0,0,7
AT4G29210.1,ARA:CAMALEXIN-SYN,GGT3,4,14400932,14403519,+,2587,protein_coding,Glutathione hydrolase 3 [Source:UniProtKB/Swiss-Prot;Acc:Q9M0G0],0.9236187737558693,0.9888441457128984,-0.01033175801846968,0.7989619557625025,0.9445667322495317,-0.02746365463619609,0.23637800690512592,0.6443215601771493,-0.1277136349735666,0,0,0,2
AT4G39950.2,ARA:CAMALEXIN-SYN,CYP79B2,4,18525042,18527602,+,2560,protein_coding,"cytochrome P450, family 79, subfamily B, polypeptide 2 [Source:TAIR;Acc:AT4G39950]",0.26712243904634303,0.7438479610425603,0.590710166005323,0.5143485967933987,0.8212591458184928,0.34793707461170237,0.5940132707934733,0.8787290948010442,-0.28632900805680783,0,0,0,7
AT4G39950.2,ARA:CAMALEXIN-SYN,CYP79B2,4,18525042,18527602,+,2560,protein_coding,"cytochrome P450, family 79, subfamily B, polypeptide 2 [Source:TAIR;Acc:AT4G39950]",0.26712243904634303,0.7438479610425603,0.590710166005323,0.5143485967933987,0.8212591458184928,0.34793707461170237,0.5940132707934733,0.8787290948010442,-0.28632900805680783,0,0,0,7
AT4G39950.1,ARA:CAMALEXIN-SYN,CYP79B2,4,18525246,18527579,+,2333,protein_coding,"cytochrome P450, family 79, subfamily B, polypeptide 2 [Source:TAIR;Acc:AT4G39950]",0.04956063988275908,0.3742701576103368,0.4587658385786957,0.1062805257006225,0.4163323485705275,0.37736764345871615,0.011984504028029466,0.14168216113333312,0.5868645587233415,0,0,0,6
AT4G39950.1,ARA:CAMALEXIN-SYN,CYP79B2,4,18525246,18527579,+,2333,protein_coding,"cytochrome P450, family 79, subfamily B, polypeptide 2 [Source:TAIR;Acc:AT4G39950]",0.04956063988275908,0.3742701576103368,0.4587658385786957,0.1062805257006225,0.4163323485705275,0.37736764345871615,0.011984504028029466,0.14168216113333312,0.5868645587233415,0,0,0,6
AT5G24960.2,ARA:CAMALEXIN-SYN,CYP71A14,5,8599735,8603321,-,3586,protein_coding,Cytochrome P450 71A14 [Source:UniProtKB/Swiss-Prot;Acc:P58045],0.004671800522065545,0.09524148793564627,-1.4930890670929187,0.9282755032952497,0.9822172094001699,-0.04563924108323528,0.8847572626726762,0.9738523230717502,-0.07341274508143485,-0,0,0,1
AT5G24960.1,ARA:CAMALEXIN-SYN,CYP71A14,5,8599735,8603321,-,3586,protein_coding,Cytochrome P450 71A14 [Source:UniProtKB/Swiss-Prot;Acc:P58045],0.8308325781177334,0.970089676767646,-0.10227401961049092,0.41620753798818333,0.75973773935531,0.3848534892788503,0.2370017833359073,0.6451447050797984,0.5570442139352749,0,0,0,1
AT5G42590.1,ARA:CAMALEXIN-SYN,CYP71A16,5,17031024,17033800,-,2776,protein_coding,Cytochrome P450 71A16 [Source:UniProtKB/Swiss-Prot;Acc:Q9FH66],0.14317187669446876,0.5977067136465224,0.34633052211253545,0.08688502709254543,0.37726430274621325,-0.4067858415363688,0.6015297902850213,0.8812401181702473,-0.12377299363097576,0,0,0,3
