target_id	length	eff_length	est_counts	tpm
AT1G19090.1	2509	2205.98	0	0
AT1G18320.1	699	396.245	2	1.03138
AT5G11100.1	1709	1405.98	46	6.68548
AT4G35335.1	1280	976.978	77	16.1049
AT1G60930.1	3876	3572.98	20	1.14381
AT1G17000.1	2351	2047.98	1	0.0997764
AT3G55270.1	3130	2826.98	589	42.5741
AT4G16150.1	3181	2877.98	740	52.5409
AT3G18150.1	1370	1066.98	0	0
AT3G52310.1	2443	2139.98	0	0
AT3G08943.1	3165	2861.98	326.162	23.2874
AT4G15950.1	814	511.006	42	16.7949
AT5G60900.1	2873	2569.98	12	0.954124
AT5G18710.1	1919	1615.98	4	0.505799
AT1G64460.1	2240	1936.98	280	29.5384
AT2G31100.1	1247	943.978	0	0
AT1G60260.1	1634	1330.98	6	0.921157
AT2G06210.1	3579	3275.98	318	19.8353
AT3G57180.1	2232	1928.98	8	0.847453
ATMG01320.1	922	618.978	2.24919	0.742513
AT4G15130.1	1234	930.978	83	18.2176
AT5G39100.1	808	505.006	2	0.809258
AT4G16110.1	2666	2362.98	284	24.5591
AT5G26800.1	637	334.666	115	70.2165
AT4G16360.1	1685	1381.98	239	35.3386
ATMG00060.1	542	242.549	15	12.637
AT1G76820.1	3857	3553.98	18.9473	1.08939
AT3G05780.1	2775	2471.98	0	0
AT1G24405.1	718	415.173	6	2.95308
AT2G27490.4	843	539.992	41.0841	15.5467
AT2G27490.1	1367	1063.98	9.90398	1.90209
AT2G27490.3	1201	897.978	0	0
AT2G27490.2	1381	1077.98	34.012	6.44726
AT3G13276.1	269	47.3761	3	12.9394
AT1G71740.1	393	114.392	143	255.443
AT1G52920.1	1351	1047.98	4	0.77994
AT2G17370.1	2273	1969.98	236	24.4796
AT4G13615.1	813	510.006	677	271.248
AT3G46680.1	1350	1046.98	2	0.390342
AT1G70830.3	996	692.978	0	0
AT1G70830.2	1329	1025.98	0	0
AT1G70830.5	787	484.006	0	0
AT1G70830.4	1393	1089.98	0	0
AT1G70830.1	1331	1027.98	34.0035	6.75917
AT2G34090.3	1458	1154.98	0	0
AT2G34090.2	1616	1312.98	0	0
AT2G34090.1	1700	1396.98	32	4.68073
AT2G34090.4	1521	1217.98	0	0
AT2G34090.5	1425	1121.98	0	0
AT1G65541.1	340	79.1492	0	0
AT2G01050.1	1548	1244.98	0	0
AT2G07751.1	357	89.5474	10	22.8192
AT4G20565.1	789	486.006	0	0
AT1G61566.1	551	251.168	0	0
AT4G29530.2	1148	844.978	0	0
AT4G29530.1	1144	840.978	35	8.50426
AT5G09225.1	780	477.018	106	45.4071
AT1G21100.1	1545	1241.98	1626.76	267.648
AT1G73150.1	2150	1846.98	64.7076	7.15891
AT1G73150.2	1956	1652.98	6.29238	0.77786
AT3G51750.3	654	351.5	0	0
AT3G51750.1	563	262.574	4	3.11288
AT3G51750.2	560	259.728	0	0
AT1G07010.1	1622	1318.98	0	0
AT1G07010.2	1556	1252.98	7.68975e-06	1.25407e-06
AT1G07010.3	1542	1238.98	0.999992	0.164925
AT1G32080.1	2009	1705.98	1	0.119779
AT1G16710.5	6346	6042.98	0.00108587	3.67181e-05
AT1G16710.7	5822	5518.98	203.845	7.54735
AT1G16710.1	6018	5714.98	0	0
AT1G16710.4	6502	6198.98	25.6448	0.845341
AT1G16710.8	6455	6151.98	61.9286	2.05698
AT1G16710.10	6023	5719.98	0	0
AT1G16710.6	6107	5803.98	4.19655	0.147747
AT1G16710.3	6619	6315.98	0	0
AT1G16710.9	6549	6245.98	59.3841	1.94278
AT1G16710.2	5783	5479.98	0	0
AT1G07590.1	2407	2103.98	25675.9	2493.66
AT5G49170.1	1172	868.978	7	1.64605
AT2G40240.1	1614	1310.98	14	2.18216
AT4G30380.2	537	237.877	0	0
AT4G30380.1	486	190.828	0	0
AT2G20619.1	201	33.3579	0	0
AT3G05830.2	1420	1116.98	4.55676	0.833613
