target_id	length	eff_length	est_counts	tpm
AT1G19090.1	2509	2227.97	0	0
AT1G18320.1	699	418.059	2	0.701593
AT5G11100.1	1709	1427.97	91	9.34578
AT4G35335.1	1280	998.969	66	9.68913
AT1G60930.1	3876	3594.97	24	0.979059
AT1G17000.1	2351	2069.97	0	0
AT3G55270.1	3130	2848.97	691	35.5699
AT4G16150.1	3181	2899.97	867	43.8448
AT3G18150.1	1370	1088.97	0	0
AT3G52310.1	2443	2161.97	0	0
AT3G08943.1	3165	2883.97	357.587	18.1838
AT4G15950.1	814	532.969	47	12.9327
AT5G60900.1	2873	2591.97	5	0.2829
AT5G18710.1	1919	1637.97	2	0.179068
AT1G64460.1	2240	1958.97	282	21.1113
AT2G31100.1	1247	965.969	0	0
AT1G60260.1	1634	1352.97	6	0.650364
AT2G06210.1	3579	3297.97	280	12.451
AT3G57180.1	2232	1950.97	12	0.902036
ATMG01320.1	922	640.969	6	1.3728
AT4G15130.1	1234	952.969	106	16.3125
AT5G39100.1	808	526.969	4	1.11319
AT4G16110.1	2666	2384.97	375	23.059
AT5G26800.1	637	356.249	96	39.5194
AT4G16360.1	1685	1403.97	259	27.0542
ATMG00060.1	542	262.787	5	2.79035
AT1G76820.1	3857	3575.97	43.7002	1.79218
AT3G05780.1	2775	2493.97	0	0
AT1G24405.1	718	437.03	14	4.69796
AT2G27490.4	843	561.969	98.3659	25.67
AT2G27490.1	1367	1085.97	2.88513	0.389619
AT2G27490.3	1201	919.969	9.51332	1.51653
AT2G27490.2	1381	1099.97	66.2357	8.83089
AT3G13276.1	269	51.3285	10	28.5716
AT1G71740.1	393	128.329	550	628.535
AT1G52920.1	1351	1069.97	2	0.274127
AT2G17370.1	2273	1991.97	223	16.4178
AT4G13615.1	813	531.969	900	248.113
AT3G46680.1	1350	1068.97	4	0.548767
AT1G70830.3	996	714.969	0	0
AT1G70830.2	1329	1047.97	2.00134	0.28007
AT1G70830.5	787	505.969	0.0337332	0.00977747
AT1G70830.4	1393	1111.97	0	0
AT1G70830.1	1331	1049.97	0	0
AT2G34090.3	1458	1176.97	0	0
AT2G34090.2	1616	1334.97	0	0
AT2G34090.1	1700	1418.97	24.3996	2.52175
AT2G34090.4	1521	1239.97	3.60039	0.425825
AT2G34090.5	1425	1143.97	0	0
AT1G65541.1	340	89.2241	0	0
AT2G01050.1	1548	1266.97	0	0
AT2G07751.1	357	100.857	26	37.8059
AT4G20565.1	789	507.969	0	0
AT1G61566.1	551	271.53	1	0.540102
AT4G29530.2	1148	866.969	5.59061	0.945689
AT4G29530.1	1144	862.969	51.4094	8.73655
AT5G09225.1	780	498.969	193	56.7253
AT1G21100.1	1545	1263.97	2530.23	293.573
AT1G73150.1	2150	1868.97	54.7358	4.29499
AT1G73150.2	1956	1674.97	5.26423	0.460915
AT3G51750.3	654	373.175	0	0
AT3G51750.1	563	283.245	8	4.1421
AT3G51750.2	560	280.296	0	0
AT1G07010.1	1622	1340.97	6	0.656184
AT1G07010.2	1556	1274.97	0	0
AT1G07010.3	1542	1260.97	0	0
AT1G32080.1	2009	1727.97	0	0
AT1G16710.5	6346	6064.97	4.65471e-08	1.12553e-09
AT1G16710.7	5822	5540.97	139.641	3.69591
AT1G16710.1	6018	5736.97	84.1346	2.15072
AT1G16710.4	6502	6220.97	21.9267	0.516902
AT1G16710.8	6455	6173.97	7.69653	0.18282
AT1G16710.10	6023	5741.97	0	0
AT1G16710.6	6107	5825.97	0.0114137	0.000287309
AT1G16710.3	6619	6337.97	16.5893	0.383857
AT1G16710.9	6549	6267.97	0	0
AT1G16710.2	5783	5501.97	0	0
AT1G07590.1	2407	2125.97	45003.9	3104.46
AT5G49170.1	1172	890.969	1	0.1646
AT2G40240.1	1614	1332.97	11	1.21022
AT4G30380.2	537	258.001	0	0
AT4G30380.1	486	209.405	0	0
AT2G20619.1	201	33.5555	0	0
AT3G05830.2	1420	1138.97	0	0
AT3G05830.1	1358	1076.97	46	6.26394
AT3G05830.3	1524	1242.97	0	0
AT5G11430.6	3634	3352.97	0	0
AT5G11430.2	2601	2319.97	7.78596	0.492178
AT5G11430.4	2791	2509.97	0.0025058	0.00014641
AT5G11430.3	3322	3040.97	17.3735	0.837853
AT5G11430.5	2373	2091.97	11.377	0.797561
AT5G11430.1	3147	2865.97	66.4611	3.40086
AT1G20530.1	2269	1987.97	6	0.442623
AT4G23170.1	1824	1542.97	2	0.190093
AT1G44780.2	1644	1362.97	2.8996	0.311993
AT1G44780.1	1647	1365.97	23.1004	2.48011
AT1G60880.1	606	325.558	0	0
AT1G06160.1	1086	804.969	66	12.0242
AT3G07260.1	1204	922.969	4	0.635573
AT1G21090.1	1404	1122.97	176.574	23.0595
AT1G21090.2	1416	1134.97	5.42649	0.701178
AT1G76730.1	1500	1218.97	32	3.84991
AT1G03970.1	1190	908.969	225	36.3016
AT5G19160.1	2182	1900.97	3.18473e-07	2.45691e-08
AT5G19160.2	2242	1960.97	22	1.6453
AT3G49744.1	174	29.7792	0	0
AT5G28820.1	519	240.605	0	0
AT4G12530.1	730	449	2	0.653246
AT4G20050.1	1924	1642.97	0	0
AT4G20050.5	1742	1460.97	0	0
AT4G20050.3	1800	1518.97	0	0
AT4G20050.2	1873	1591.97	19.1804	1.76691
AT4G20050.6	1732	1450.97	1.32794e-08	1.34219e-09
AT4G20050.7	1707	1425.97	1.81961	0.187138
AT4G20050.4	1981	1699.97	0	0
AT5G53810.1	1574	1292.97	4	0.453696
AT2G28690.1	1117	835.969	26	4.56117
AT5G01530.1	1396	1114.97	467	61.4252
AT3G62800.3	1283	1001.97	7.53335	1.10262
AT3G62800.1	1368	1086.97	64.8314	8.74704
AT3G62800.2	1297	1015.97	57.6352	8.31956
ATCG00900.1	468	192.711	75.5	57.4556
AT3G11385.1	2459	2177.97	17	1.1447
AT5G07010.1	1779	1497.97	184	18.0139
AT3G63040.1	654	373.175	0	0
AT2G26570.2	2921	2639.97	0.000798838	4.43764e-05
AT2G26570.1	2941	2659.97	877.999	48.4072
AT3G05560.2	756	474.969	2.99329	0.924222
AT3G05560.3	841	559.969	8.5025	2.22677
AT3G05560.1	840	558.969	619.504	162.536
AT5G12080.3	2694	2412.97	95	5.77384
AT5G12080.2	2805	2523.97	0	0
AT5G12080.1	2754	2472.97	0	0
AT1G50870.1	1191	909.969	0	0
AT2G20610.2	1748	1466.97	47.5793	4.75653
AT2G20610.1	1794	1512.97	641.421	62.1736
AT5G02940.2	2792	2510.97	3.60252	0.210406
AT5G02940.1	2920	2638.97	6.39748	0.355523
AT1G68430.1	945	663.969	25	5.52186
AT1G66550.2	856	574.969	0	0
AT1G66550.1	765	483.969	1	0.303023
AT1G09380.1	1641	1359.97	13	1.40187
AT3G48840.1	757	475.969	6	1.8487
AT3G48840.2	667	386.131	0	0
AT5G61800.1	1629	1347.97	9	0.979164
AT5G01445.1	589	308.76	5	2.37488
AT4G35500.1	1975	1693.97	45.2395	3.91656
AT4G35500.2	1638	1356.97	91.7605	9.91696
AT1G80310.1	1937	1655.97	607.678	53.8163
AT2G39400.2	1307	1025.97	13.2888	1.89952
AT2G39400.1	1394	1112.97	146.711	19.3318
AT4G04990.1	1217	935.969	1108	173.609
AT3G60530.1	1465	1183.97	300	37.1598
AT2G46180.1	2540	2258.97	146	9.47841
AT2G22270.1	1398	1116.97	129.648	17.0223
AT2G22270.2	1174	892.969	34.3518	5.64165
AT2G43660.1	471	195.458	0	0
AT2G43660.2	597	316.668	3	1.38934
AT1G03910.2	2466	2184.97	0	0
AT1G03910.1	2565	2283.97	504	32.3618
AT1G77590.1	2692	2410.97	467.39	28.4302
AT1G77590.2	2669	2387.97	67.6101	4.15217
AT1G79020.1	2134	1852.97	179	14.167
AT5G24420.1	1321	1039.97	0	0
AT5G39490.1	1701	1419.97	0	0
AT3G26922.2	1894	1612.97	0	0
AT3G26922.1	1793	1511.97	10.013	0.971216
AT3G26922.4	1661	1379.97	0	0
AT3G26922.5	1642	1360.97	7.98696	0.860649
AT3G26922.3	1711	1429.97	0	0
AT3G50450.1	926	644.969	0	0
AT3G17160.1	882	600.969	149	36.3603
AT1G34315.1	819	537.969	171	46.6157
AT5G08580.2	1818	1536.97	10.9885	1.0485
AT5G08580.1	1736	1454.97	103.011	10.383
AT2G28360.1	3032	2750.97	284	15.14
AT4G25000.1	1606	1324.97	5	0.553423
AT5G27410.4	1734	1452.97	174.721	17.6352
AT5G27410.1	2156	1874.97	249.924	19.5482
AT5G27410.3	2229	1947.97	28.3554	2.13475
AT5G27410.2	3153	2871.97	0	0
AT5G65200.1	1982	1700.97	161	13.881
AT5G23535.1	1015	733.969	139	27.7735
AT5G23535.2	830	548.969	0	0
AT1G05230.1	3520	3238.97	0	0
AT1G05230.5	3644	3362.97	0	0
AT1G05230.12	2134	1852.97	2.40759	0.190549
AT1G05230.6	3553	3271.97	0	0
AT1G05230.2	2983	2701.97	3.26291	0.1771
AT1G05230.11	2424	2142.97	0	0
AT1G05230.3	2678	2396.97	18.3295	1.12145
AT1G05230.7	3526	3244.97	0	0
AT1G05230.10	2557	2275.97	0	0
AT1G05230.9	3140	2858.97	0	0
AT1G05230.4	2974	2692.97	0	0
AT1G05230.8	3231	2949.97	0	0
AT1G79830.1	3669	3387.97	0	0
AT1G79830.3	3588	3306.97	202.775	8.99243
AT1G79830.2	3278	2996.97	920.719	45.0544
AT1G79830.4	3547	3265.97	15.1115	0.678558
AT1G79830.5	3718	3436.97	23.3949	0.998248
AT5G09480.1	840	558.969	1919	503.478
AT5G56480.1	409	141.247	0	0
AT5G60820.1	1648	1366.97	94	10.0847
AT5G55820.7	5630	5348.97	1.2494	0.034255
AT5G55820.5	5831	5549.97	4.37131	0.115508
AT5G55820.8	5630	5348.97	1.2494	0.034255
AT5G55820.10	5271	4989.97	0	0
AT5G55820.4	5292	5010.97	0	0
AT5G55820.9	5896	5614.97	15.2228	0.397594
AT5G55820.2	5622	5340.97	3.21574e-06	8.82986e-08
AT5G55820.11	5449	5167.97	0.0331677	0.000941214
AT5G55820.3	5610	5328.97	70.8739	1.95045
AT5G55820.6	5642	5360.97	5.72044e-08	1.56487e-09
AT5G55820.1	5481	5199.97	4.27321e-05	1.20516e-06
AT5G44950.1	1317	1035.97	0	0
AT4G31140.1	2171	1889.97	161	12.4929
AT4G35910.1	2164	1882.97	86	6.69804
AT3G56220.2	541	261.829	0	0
AT3G56220.1	905	623.969	38	8.93128
AT2G19970.1	926	644.969	227	51.6155
AT5G54520.1	1864	1582.97	49	4.53959
AT2G04032.1	1403	1121.97	0	0
AT5G03455.1	704	423.04	430	149.066
AT5G03455.2	1006	724.969	0	0
AT1G48140.2	563	283.245	0	0
AT1G48140.1	743	461.969	144	45.7133
AT4G15050.1	1191	909.969	0	0
ATCG00420.1	477	201.016	0	0
AT5G30360.1	420	150.434	0	0
AT2G32600.1	1301	1019.97	244	35.0829
AT2G41010.1	1250	968.969	99	14.9837
AT5G07170.2	1274	992.969	0	0
AT5G07170.1	1612	1330.97	0	0
AT5G32670.1	700	419.059	0	0
AT1G60250.1	756	474.969	0	0
AT4G09012.1	1175	893.969	7	1.14833
AT3G26355.1	64	20.9588	0	0
AT5G02710.1	1195	913.969	26.3892	4.23436
AT5G02710.2	1778	1496.97	1.61078	0.157804
AT5G02710.3	1348	1066.97	0	0
AT4G10110.1	836	554.969	177	46.7732
AT5G13900.1	754	472.969	194	60.1537
AT5G16380.1	1108	826.969	176	31.2116
AT5G40630.1	937	655.969	6	1.34141
AT1G55670.1	780	498.969	23.5891	6.93316
AT5G66940.1	897	615.969	0	0
AT3G06520.1	1598	1316.97	2	0.222714
AT3G06520.2	1668	1386.97	0	0
AT3G52870.1	1811	1529.97	466	44.668
AT3G02900.2	759	477.969	0	0
AT3G02900.1	852	570.969	131	33.6474
AT1G31520.1	399	133.201	0	0
AT5G57660.1	1564	1282.97	657	75.1004
AT3G09110.1	1666	1384.97	0	0
AT4G23690.1	1139	857.969	1268	216.741
AT1G05035.1	363	105.22	0	0
AT5G45700.1	1180	898.969	39	6.36228
AT5G40410.1	1981	1699.97	2	0.172537
AT3G06580.1	2012	1730.97	709	60.0689
AT3G14920.1	2536	2254.97	506	32.9081
AT1G77610.1	1617	1335.97	288	31.6147
AT1G19170.1	1827	1545.97	113	10.7194
AT2G20740.1	1179	897.969	356.869	58.2828
AT2G20740.2	935	653.969	4.63858	1.04021
AT2G20740.3	815	533.969	7.49219	2.05772
AT3G26940.1	1793	1511.97	0	0
AT4G27150.1	735	454	0	0
AT2G26000.1	1672	1390.97	0	0
AT2G26000.2	1892	1610.97	68.9435	6.27623
AT2G26000.3	2370	2088.97	19.0565	1.33784
AT5G38743.1	183	31.1154	2	9.42642
AT4G15210.4	2461	2179.97	0	0
AT4G15210.1	2066	1784.97	0	0
AT4G15210.3	2291	2009.97	0	0
