ID,Path,Gene,Chromosome,Start,End,Strand,Length,BioType,Description,Flg22_vs_Mock_pvalue,Flg22_vs_Mock_padj,Flg22_vs_Mock_log2FoldChange,Flg22_SynCom33_vs_Mock_pvalue,Flg22_SynCom33_vs_Mock_padj,Flg22_SynCom33_vs_Mock_log2FoldChange,Flg22_SynCom35_vs_Mock_pvalue,Flg22_SynCom35_vs_Mock_padj,Flg22_SynCom35_vs_Mock_log2FoldChange,Flg22_vs_Mock,Flg22_SynCom33_vs_Mock,Flg22_SynCom35_vs_Mock,cl
AT1G55810.1,ARA:PWYQT-4445,UKL3,1,20860507,20864266,+,3759,protein_coding,uridine kinase-like 3 [Source:TAIR;Acc:AT1G55810],0.06527392824799502,0.4265954279408746,-0.3406600170886238,0.2938156118330073,0.6614700507121565,0.19224754216500467,0.018633944010318045,0.18578343348538395,0.4290251172046101,0,0,0,1
AT1G55810.4,ARA:PWYQT-4445,UKL3,1,20860583,20864287,+,3704,protein_coding,uridine kinase-like 3 [Source:TAIR;Acc:AT1G55810],0.26234565614612965,0.7399435951320353,-1.1823864536724107,0.527320314047151,0.8290691707928127,0.6606517656278871,0.5372221823806415,0.8529891277530011,0.6447717040824318,-0,0,0,1
AT1G72880.2,ARA:PWYQT-4445,,1,27423385,27426215,-,2830,protein_coding,At1g72880 [Source:UniProtKB/TrEMBL;Acc:Q84MD7],0.22669375342247217,0.7035888376869545,-0.2901001978845624,0.45601562530347967,0.7862116495259197,0.17823728120549376,0.8896161351165948,0.9747532141271933,0.03319857476452246,0,0,0,1
AT1G72880.1,ARA:PWYQT-4445,,1,27423385,27426215,-,2830,protein_coding,At1g72880 [Source:UniProtKB/TrEMBL;Acc:Q84MD7],0.2169737536740143,0.6932738123383849,0.7875705602178606,0.05015883532659095,0.2816732423750612,1.2471874207194213,0.9696180556307262,0.9929793624367448,0.024394417066714386,0,0,0,9
AT1G75210.2,ARA:PWYQT-4445,,1,28223836,28229002,+,5166,protein_coding,"Cytosolic IMP-GMP specific 5-nucleotidase, putative [Source:UniProtKB/TrEMBL;Acc:Q8RWN4]",0.7647339203785642,0.9571339617671963,0.29869504255044416,0.2180942783658452,0.5850653702303458,-1.2867588879357126,0.5691966010171161,NA,0.5652763636954342,0,-0,0,3
AT1G75210.3,ARA:PWYQT-4445,,1,28223837,28229082,+,5245,protein_coding,"Cytosolic IMP-GMP specific 5-nucleotidase, putative [Source:UniProtKB/TrEMBL;Acc:Q8RWN4]",0.6460888487223623,0.9273604099470842,-0.4460982838475141,0.8061269181887925,0.9464667983381865,0.23746170217914553,0.18012373225891376,0.5769109656016346,-1.3123020137342747,0,0,-0,10
AT1G75210.1,ARA:PWYQT-4445,,1,28223837,28229082,+,5245,protein_coding,"Cytosolic IMP-GMP specific 5-nucleotidase, putative [Source:UniProtKB/TrEMBL;Acc:Q8RWN4]",0.23808192396176034,0.7159889500807728,0.18486654250594195,0.4221259900009708,0.7639272080514041,-0.12700744226686783,0.35132227838507457,0.7410868394546415,0.14588744610464946,0,0,0,3
AT2G23890.1,ARA:PWYQT-4445,,2,10170576,10173945,+,3369,protein_coding,"HAD-superfamily hydrolase, subfamily IG, 5'-nucleotidase [Source:TAIR;Acc:AT2G23890]",0.005839660484734011,0.10970806830173331,-0.43392832056575287,0.005938068832547903,0.07715184454159146,-0.4331668928095249,0.17828839826369275,0.5741150795436801,-0.21058894371554157,0,0,0,8
AT2G23890.2,ARA:PWYQT-4445,,2,10170576,10173945,+,3369,protein_coding,"HAD-superfamily hydrolase, subfamily IG, 5'-nucleotidase [Source:TAIR;Acc:AT2G23890]",0.8356289332756649,0.9708464311967683,-0.13121914359287673,0.7221430860195004,0.9212685905662129,0.22368715565370884,0.8253695371663512,0.9569867649805217,0.13878755413331367,0,0,0,1
AT2G36310.1,ARA:PWYQT-4445,URH1,2,15224497,15227276,-,2779,protein_coding,Uridine nucleosidase 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9SJM7],0.8482363042607657,0.9748667926838857,0.037708796410892656,0.20711972651527522,0.5714072750598962,0.24840192844651804,0.7612130531572395,0.9375026658267344,0.05985819066080118,0,0,0,5
AT2G38680.1,ARA:PWYQT-4445,,2,16174001,16176172,-,2171,protein_coding,5'-nucleotidases;magnesium ion binding [Source:TAIR;Acc:AT2G38680],0.3012451225195198,0.7706370970679437,0.20269428044529408,0.4531136340639703,0.7848443049934436,0.14764303900733408,0.46122538784160355,0.8115431119357827,-0.1468124778994843,0,0,0,9
AT3G27190.1,ARA:PWYQT-4445,UKL2,3,10039198,10043066,-,3868,protein_coding,"Uridine kinase-like protein 2, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9LK34]",0.5844073873992022,0.9084975229660235,0.07010890299365653,0.6183601077322836,0.876681420603304,-0.06392663695329398,0.06128069518650752,0.3524482344721487,-0.2403217363870366,0,0,0,2
AT3G27440.1,ARA:PWYQT-4445,UKL5,3,10155438,10158215,+,2777,protein_coding,Uridine kinase-like protein 5 [Source:UniProtKB/Swiss-Prot;Acc:Q9LTY6],0.5895630978369913,NA,-0.8213998891778582,0.9205616523773128,NA,-0.1497077787782997,0.2510590185715456,NA,-1.8045033171027949,0,0,-0,10
AT3G53900.1,ARA:PWYQT-4445,UPP,3,19956590,19958849,-,2259,protein_coding,"Uracil phosphoribosyltransferase, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9M336]",0.6748966146075986,0.935734064525037,-0.13071593144340984,0.12605640937551094,0.4507380150083114,-0.4815460212399934,0.1342017258807947,0.510212566567661,0.4605957868981962,0,0,0,4
AT4G14930.1,ARA:PWYQT-4445,,4,8538586,8541899,+,3313,protein_coding,At4g14930 [Source:UniProtKB/TrEMBL;Acc:Q8LAM2],0.018454297084619684,0.2188498372723463,0.7017907592874566,0.391378650663616,0.744272841478447,0.2576315079401049,0.5728186348761113,0.8697589854356248,0.16949163916086998,0,0,0,7
AT4G26510.4,ARA:PWYQT-4445,UKL4,4,13383937,13388362,+,4425,protein_coding,Uridine kinase-like protein 4 [Source:UniProtKB/Swiss-Prot;Acc:O65583],0.9685689973292657,0.9946629527453268,-0.008864421061280684,0.06431860812852414,0.3203693572198895,-0.4192795997444341,0.38940374535613403,0.7671189398446937,-0.19395706009028021,0,0,0,3
AT5G40870.1,ARA:PWYQT-4445,UKL1,5,16374799,16378652,+,3853,protein_coding,Uridine kinase [Source:UniProtKB/TrEMBL;Acc:A0A178UHR6],0.88569597813679,0.9837440685142131,-0.03178173766251076,0.3960770991393859,0.7464153272475944,0.1869873875725956,0.3561146199405425,0.7443045182793737,0.2030084858361071,0,0,0,1
AT5G48960.1,ARA:PWYQT-4445,,5,19849437,19853598,+,4161,protein_coding,"HAD-superfamily hydrolase, subfamily IG, 5'-nucleotidase [Source:UniProtKB/TrEMBL;Acc:F4K3A9]",0.32041813980447714,0.7848227102188885,-0.22582926068376935,0.5578447540266209,0.8456063312136926,-0.13299945317993703,0.02960780428769775,0.24085845288347604,0.48870012251407047,0,0,0,4
AT5G63980.1,ARA:PWYQT-4445,SAL1,5,25610002,25611802,+,1800,protein_coding,SAL1 phosphatase [Source:UniProtKB/Swiss-Prot;Acc:Q42546],0.011094063642348648,0.16433411776088205,0.38731805308793227,0.28930557452789557,0.6576355472249256,0.16201915465339672,0.2914379437600073,0.6966627307374968,0.16114116925094135,0,0,0,7
