ID,Path,Gene,Chromosome,Start,End,Strand,Length,BioType,Description,Flg22_vs_Mock_pvalue,Flg22_vs_Mock_padj,Flg22_vs_Mock_log2FoldChange,Flg22_SynCom33_vs_Mock_pvalue,Flg22_SynCom33_vs_Mock_padj,Flg22_SynCom33_vs_Mock_log2FoldChange,Flg22_SynCom35_vs_Mock_pvalue,Flg22_SynCom35_vs_Mock_padj,Flg22_SynCom35_vs_Mock_log2FoldChange,Flg22_vs_Mock,Flg22_SynCom33_vs_Mock,Flg22_SynCom35_vs_Mock,cl
AT1G05850.1,GO:0010053,CTL1,1,1766503,1768837,-,2334,protein_coding,Chitinase-like protein 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9MA41],0.2244065838314091,0.7012330231706382,-0.1610156714704843,0.5198588234576533,0.8244938443331172,0.08526071943066008,0.005799056337943561,0.09030725760745746,0.36532489921536265,0,0,0,1
AT1G16890.3,GO:0010053,UBC36,1,5776177,5778484,-,2307,protein_coding,Ubiquitin-conjugating enzyme 36 [Source:UniProtKB/TrEMBL;Acc:F4I615],0.4389964256663264,0.8561989193245696,-0.46900321120900723,0.14925475011124498,0.48964374226753204,-0.8793240983139939,0.014168245506950622,0.15644907836139604,-1.5118085045808558,0,0,-0,2
AT1G16890.2,GO:0010053,UBC36,1,5776282,5778529,-,2247,protein_coding,Ubiquitin-conjugating enzyme 36 [Source:UniProtKB/TrEMBL;Acc:F4I615],1.6271988948106865e-5,0.001610581916697602,0.6103648928913555,6.726446933233174e-4,0.016914906123402636,0.48226843192530844,0.19606581821293323,0.5980724597205753,0.18385949538212745,0,0,0,7
AT1G16890.1,GO:0010053,UBC36,1,5776346,5778314,-,1968,protein_coding,Ubiquitin-conjugating enzyme 36 [Source:UniProtKB/TrEMBL;Acc:F4I615],0.7833602790241339,0.9618509085058963,-0.0764227839199649,0.5153376062433201,0.8220767439058746,-0.18090728216630647,0.04280366087018592,0.2941239554846638,-0.5640338523275655,0,0,0,2
AT1G64440.1,GO:0010053,UGE4,1,23936975,23939899,+,2924,protein_coding,UDP-glucose 4-epimerase 4 [Source:UniProtKB/Swiss-Prot;Acc:Q9C7W7],0.8128559909665448,0.9668016559497242,0.036341185519530604,0.8423438475620997,0.956689649337292,-0.030575226347075476,0.6988264152597601,0.9180217612734297,-0.05941038348249343,0,0,0,3
AT1G67490.1,GO:0010053,GCS1,1,25280410,25286749,-,6339,protein_coding,Mannosyl-oligosaccharide glucosidase GCS1 [Source:UniProtKB/Swiss-Prot;Acc:F4HTM3],0.018784810304775926,0.22164335360028578,0.33603733075664943,0.5190664134160574,0.824207378007485,0.0926787811833684,0.9869466387595157,0.9974035201000954,0.002351657755684397,0,0,0,7
AT1G67490.2,GO:0010053,GCS1,1,25280451,25286611,-,6160,protein_coding,Mannosyl-oligosaccharide glucosidase GCS1 [Source:UniProtKB/Swiss-Prot;Acc:F4HTM3],0.9713833335332233,0.9946629527453268,-0.05608930289912122,0.8323889910109351,0.9535087673894062,0.3307496540464141,0.9933556889178372,0.9987511922657519,-0.013018227815884957,0,0,0,5
AT1G78870.2,GO:0010053,UBC35,1,29650376,29652611,+,2235,protein_coding,UBC35 [Source:UniProtKB/TrEMBL;Acc:A0A178WFI9],0.6481468174694212,0.9273604099470842,0.051031544552959184,0.4198730429344938,0.762351148072448,0.09014728900376907,0.289628984270477,0.6949659189565575,-0.11867577442904777,0,0,0,9
AT1G78870.4,GO:0010053,UBC35,1,29650383,29652592,+,2209,protein_coding,UBC35 [Source:UniProtKB/TrEMBL;Acc:A0A178WFI9],0.9339424455980945,0.9915020266177292,0.10762627193495115,0.4003155017836489,0.7491048285796983,1.0854359392988437,0.8153969482957395,NA,-0.30414104571400236,0,0,0,5
AT1G78870.3,GO:0010053,UBC35,1,29650434,29652627,+,2193,protein_coding,UBC35 [Source:UniProtKB/TrEMBL;Acc:A0A178WFI9],0.9099791830261826,0.9872868128618356,0.04037268673970132,0.15690472186453994,0.5013900910525534,0.5009374062368517,0.7743332068439404,0.9418579160773425,-0.10253265365952002,0,0,0,5
