target_id	length	eff_length	est_counts	tpm
AT1G19090.1	2509	2212.63	0	0
AT1G18320.1	699	402.839	6.37389	2.26301
AT5G11100.1	1709	1412.63	127	12.8584
AT4G35335.1	1280	983.634	117	17.0124
AT1G60930.1	3876	3579.63	20	0.799107
AT1G17000.1	2351	2054.63	0	0
AT3G55270.1	3130	2833.63	609	30.7388
AT4G16150.1	3181	2884.63	801	39.7151
AT3G18150.1	1370	1073.63	0	0
AT3G52310.1	2443	2146.63	4	0.266511
AT3G08943.1	3165	2868.63	417.213	20.8016
AT4G15950.1	814	517.634	36	9.94702
AT5G60900.1	2873	2576.63	8	0.444069
AT5G18710.1	1919	1622.63	1	0.0881441
AT1G64460.1	2240	1943.63	280	20.6043
AT2G31100.1	1247	950.634	0	0
AT1G60260.1	1634	1337.63	2	0.213849
AT2G06210.1	3579	3282.63	307	13.3761
AT3G57180.1	2232	1935.63	16	1.18225
ATMG01320.1	922	625.634	8.17666	1.86926
AT4G15130.1	1234	937.634	109	16.6267
AT5G39100.1	808	511.634	2	0.559093
AT4G16110.1	2666	2369.63	323	19.4955
AT5G26800.1	637	341.29	120	50.2888
AT4G16360.1	1685	1388.63	340	35.0191
ATMG00060.1	542	248.657	13	7.4775
AT1G76820.1	3857	3560.63	13	0.522191
AT3G05780.1	2775	2478.63	1	0.0577034
AT1G24405.1	718	421.767	20	6.7822
AT2G27490.4	843	546.634	61.7845	16.1658
AT2G27490.1	1367	1070.63	19.688	2.63011
AT2G27490.3	1201	904.634	3.68272	0.58225
AT2G27490.2	1381	1084.63	94.8448	12.5067
AT3G13276.1	269	47.0973	22	66.8099
AT1G71740.1	393	117.89	390	473.152
AT1G52920.1	1351	1054.63	2	0.271233
AT2G17370.1	2273	1976.63	239	17.2936
AT4G13615.1	813	516.634	946	261.892
AT3G46680.1	1350	1053.63	10	1.35745
AT1G70830.3	996	699.634	0	0
AT1G70830.2	1329	1032.63	0	0
AT1G70830.5	787	490.649	0	0
AT1G70830.4	1393	1096.63	0	0
AT1G70830.1	1331	1034.63	0	0
AT2G34090.3	1458	1161.63	0	0
AT2G34090.2	1616	1319.63	0	0
AT2G34090.1	1700	1403.63	22.0421	2.24601
AT2G34090.4	1521	1224.63	0	0
AT2G34090.5	1425	1128.63	7.9579	1.00846
AT1G65541.1	340	81.0845	0	0
AT2G01050.1	1548	1251.63	0	0
AT2G07751.1	357	92.2406	18	27.9103
AT4G20565.1	789	492.649	0	0
AT1G61566.1	551	257.308	0	0
AT4G29530.2	1148	851.634	5.15961	0.866517
AT4G29530.1	1144	847.634	36.8404	6.21626
AT5G09225.1	780	483.649	160	47.3155
AT1G21100.1	1545	1248.63	554	63.4583
AT1G73150.1	2150	1853.63	47.7641	3.68546
AT1G73150.2	1956	1659.63	2.23588	0.192686
AT3G51750.3	654	358.136	0	0
AT3G51750.1	563	268.891	40.7925	21.6979
AT3G51750.2	560	265.97	2.20749	1.18708
AT1G07010.1	1622	1325.63	7	0.755245
AT1G07010.2	1556	1259.63	0	0
AT1G07010.3	1542	1245.63	0	0
AT1G32080.1	2009	1712.63	0	0
AT1G16710.5	6346	6049.63	0	0
AT1G16710.7	5822	5525.63	196.303	5.0811
AT1G16710.1	6018	5721.63	0.00028919	7.22899e-06
AT1G16710.4	6502	6205.63	2.00985	0.0463225
AT1G16710.8	6455	6158.63	0.00450655	0.000104658
AT1G16710.10	6023	5726.63	0	0
AT1G16710.6	6107	5810.63	78.8906	1.94185
AT1G16710.3	6619	6322.63	1.22512e-05	2.77136e-07
AT1G16710.9	6549	6252.63	45.7919	1.04747
AT1G16710.2	5783	5486.63	0	0
AT1G07590.1	2407	2110.63	48776.9	3305.33
AT5G49170.1	1172	875.634	6	0.980036
AT2G40240.1	1614	1317.63	11	1.19402
AT4G30380.2	537	243.947	0	0
AT4G30380.1	486	196.449	0	0
AT2G20619.1	201	34.0944	0	0
AT3G05830.2	1420	1123.63	0	0
AT3G05830.1	1358	1061.63	50.2939	6.7757
AT3G05830.3	1524	1227.63	14.7061	1.71333
AT5G11430.6	3634	3337.63	0	0
AT5G11430.2	2601	2304.63	8.34557	0.517926
AT5G11430.4	2791	2494.63	0	0
AT5G11430.3	3322	3025.63	0	0
AT5G11430.5	2373	2076.63	6.40342	0.441027
AT5G11430.1	3147	2850.63	146.251	7.33789
