ID,Path,Gene,Chromosome,Start,End,Strand,Length,BioType,Description,Flg22_vs_Mock_pvalue,Flg22_vs_Mock_padj,Flg22_vs_Mock_log2FoldChange,Flg22_SynCom33_vs_Mock_pvalue,Flg22_SynCom33_vs_Mock_padj,Flg22_SynCom33_vs_Mock_log2FoldChange,Flg22_SynCom35_vs_Mock_pvalue,Flg22_SynCom35_vs_Mock_padj,Flg22_SynCom35_vs_Mock_log2FoldChange,Flg22_vs_Mock,Flg22_SynCom33_vs_Mock,Flg22_SynCom35_vs_Mock,cl
AT1G06570.2,ARA:TYRFUMCAT-PWY,HPD,1,2011885,2013545,-,1660,protein_coding,4-hydroxyphenylpyruvate dioxygenase [Source:UniProtKB/Swiss-Prot;Acc:P93836],0.4622228701953162,0.8657571523940272,0.17626807448223974,0.39168697127179447,0.7445136844763619,0.20527274271334145,0.414373483779554,0.7813780823338349,-0.19733075888726523,0,0,0,9
AT1G06570.1,ARA:TYRFUMCAT-PWY,HPD,1,2012015,2013459,-,1444,protein_coding,4-hydroxyphenylpyruvate dioxygenase [Source:UniProtKB/Swiss-Prot;Acc:P93836],0.5326853972926833,0.8912765061852691,0.1722584312918919,0.6374690455860852,0.8857416076624357,-0.13054709333116227,0.0750481652653526,0.3900011622596447,-0.49493807175973537,0,0,0,2
AT1G12050.1,ARA:TYRFUMCAT-PWY,FAH,1,4072741,4076207,+,3466,protein_coding,Fumarylacetoacetase [Source:UniProtKB/Swiss-Prot;Acc:Q8RW90],2.2860968365956686e-8,6.7406166831453965e-6,0.7897045304720955,0.007777458655432776,0.09271558473407711,0.3780363024515437,0.6084756092544317,0.8845300807693148,-0.07317656870456953,0,0,0,7
AT1G70560.1,ARA:TYRFUMCAT-PWY,TAA1,1,26604855,26607652,+,2797,protein_coding,L-tryptophan--pyruvate aminotransferase 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9S7N2],0.15089605044260654,0.6084432975551044,-0.293123577558767,0.701890497344238,0.9125339025038203,0.07745924883488042,0.6569252964421252,0.9030258047455139,0.08969970264760145,0,0,0,1
AT2G02380.1,ARA:TYRFUMCAT-PWY,GSTZ2,2,626842,628676,+,1834,protein_coding,Glutathione S-transferase Z2 [Source:UniProtKB/Swiss-Prot;Acc:Q9ZVQ4],1.7815529271885576e-4,0.009708770241921924,0.9163164301153801,5.085210544319836e-4,0.013830682060725177,0.853009893530602,0.01879258342393527,0.18674596117845302,-0.6434998977902976,0,0,0,9
AT2G02390.1,ARA:TYRFUMCAT-PWY,ATGSTZ1,2,628730,631165,+,2435,protein_coding,glutathione S-transferase zeta 1 [Source:TAIR;Acc:AT2G02390],0.010457352168139682,0.15891659836381658,0.6073999520610723,0.642121433874842,0.8880747227156199,0.11055510012243314,0.0013712430000448557,0.03295938138769864,-0.766487103601079,0,0,0,7
AT2G02390.3,ARA:TYRFUMCAT-PWY,ATGSTZ1,2,628877,631144,+,2267,protein_coding,glutathione S-transferase zeta 1 [Source:TAIR;Acc:AT2G02390],0.02821434645001161,0.2772816832331026,0.9860468635482497,0.11107300660778593,0.4252897274322753,0.7172391194276004,0.40044903757822004,0.7724505248602324,-0.3821580829050698,0,0,0,9
AT2G02390.2,ARA:TYRFUMCAT-PWY,ATGSTZ1,2,628899,630869,+,1970,protein_coding,glutathione S-transferase zeta 1 [Source:TAIR;Acc:AT2G02390],0.9746250848687438,0.9948798425309692,-0.00952213942067732,0.5324406474051278,0.8321288797494188,-0.1882528072585483,0.15932702909940116,0.5478961346093332,-0.4270732808601979,0,0,0,2
AT2G02390.4,ARA:TYRFUMCAT-PWY,ATGSTZ1,2,629367,631165,+,1798,protein_coding,glutathione S-transferase zeta 1 [Source:TAIR;Acc:AT2G02390],0.1674932059382343,0.634373905616009,-0.14163418359419044,5.161070183865443e-4,0.013985875875269236,-0.35720870239572655,4.073133271495097e-23,3.266381341520968e-19,-1.027552328724296,0,0,-1,2
AT5G36160.1,ARA:TYRFUMCAT-PWY,TAT,5,14232885,14235226,-,2341,protein_coding,Tyrosine aminotransferase [Source:UniProtKB/Swiss-Prot;Acc:Q9LVY1],0.18833989384392805,0.6635780551582702,0.14312721502066408,0.003481852597558785,0.05426038349424653,-0.3205070461568737,1.3563367150309884e-6,1.4698535446043025e-4,-0.531352492952425,0,0,0,2
