target_id	length	eff_length	est_counts	tpm
AT1G19090.1	2509	2310	0	0
AT1G18320.1	699	500	9.96195	1.67956
AT5G11100.1	1709	1510	502	28.0252
AT4G35335.1	1280	1081	207	16.1424
AT1G60930.1	3876	3677	55	1.26093
AT1G17000.1	2351	2152	1	0.0391724
AT3G55270.1	3130	2931	1619	46.5643
AT4G16150.1	3181	2982	2381	67.3092
AT3G18150.1	1370	1171	0	0
AT3G52310.1	2443	2244	2	0.0751328
AT3G08943.1	3165	2966	833.29	23.6836
AT4G15950.1	814	615	46	6.30529
AT5G60900.1	2873	2674	25	0.788136
AT5G18710.1	1919	1720	4	0.196044
AT1G64460.1	2240	2041	670	27.6729
AT2G31100.1	1247	1048	0	0
AT1G60260.1	1634	1435	5	0.293725
AT2G06210.1	3579	3380	878	21.8978
AT3G57180.1	2232	2033	22	0.912237
ATMG01320.1	922	723	13.221	1.54151
AT4G15130.1	1234	1035	279	22.7241
AT5G39100.1	808	609	19	2.63002
AT4G16110.1	2666	2467	1174	40.1163
AT5G26800.1	637	438	124	23.8655
AT4G16360.1	1685	1486	945	53.6087
ATMG00060.1	542	343	10	2.4577
AT1G76820.1	3857	3658	65.1635	1.5017
AT3G05780.1	2775	2576	4	0.130899
AT1G24405.1	718	519	18	2.92366
AT2G27490.4	843	644	174.524	22.845
AT2G27490.1	1367	1168	39.3957	2.84334
AT2G27490.3	1201	1002	0	0
AT2G27490.2	1381	1182	27.0803	1.93134
AT3G13276.1	269	70.019	7	8.42761
AT1G71740.1	393	194	338	146.871
AT1G52920.1	1351	1152	3	0.219529
AT2G17370.1	2273	2074	592	24.0622
AT4G13615.1	813	614	992	136.196
AT3G46680.1	1350	1151	67	4.90707
AT1G70830.3	996	797	0	0
AT1G70830.2	1329	1130	0	0
AT1G70830.5	787	588	0	0
AT1G70830.4	1393	1194	0	0
AT1G70830.1	1331	1132	79.0136	5.88407
AT2G34090.3	1458	1259	0	0
AT2G34090.2	1616	1417	0	0
AT2G34090.1	1700	1501	58.6314	3.29285
AT2G34090.4	1521	1322	7.36864	0.469871
AT2G34090.5	1425	1226	0	0
AT1G65541.1	340	141	0	0
AT2G01050.1	1548	1349	0	0
AT2G07751.1	357	158	29	15.4726
AT4G20565.1	789	590	0	0
AT1G61566.1	551	352	0	0
AT4G29530.2	1148	949	0	0
AT4G29530.1	1144	945	72	6.42278
AT5G09225.1	780	581	107	15.5249
AT1G21100.1	1545	1346	845.49	52.9524
AT1G73150.1	2150	1951	62.484	2.69981
AT1G73150.2	1956	1757	71.516	3.43126
AT3G51750.3	654	455	0	0
AT3G51750.1	563	364	23	5.32658
AT3G51750.2	560	361	0	0
AT1G07010.1	1622	1423	0	0
AT1G07010.2	1556	1357	1.77079e-05	1.10004e-06
AT1G07010.3	1542	1343	2.99998	0.188306
AT1G32080.1	2009	1810	2	0.0931481
AT1G16710.5	6346	6147	156.607	2.14768
AT1G16710.7	5822	5623	1035.88	15.5298
AT1G16710.1	6018	5819	28.9268	0.419058
AT1G16710.4	6502	6303	2.42043e-07	3.23718e-09
AT1G16710.8	6455	6256	29.472	0.397132
AT1G16710.10	6023	5824	0	0
AT1G16710.6	6107	5908	242.674	3.46263
AT1G16710.3	6619	6420	0	0
AT1G16710.9	6549	6350	101.436	1.34661
AT1G16710.2	5783	5584	0	0
AT1G07590.1	2407	2208	37876	1446.06
AT5G49170.1	1172	973	5	0.433191
AT2G40240.1	1614	1415	37	2.20428
AT4G30380.2	537	338	0	0
AT4G30380.1	486	287	0	0
AT2G20619.1	201	17.0167	0	0
AT3G05830.2	1420	1221	0	0
AT3G05830.1	1358	1159	177	12.874
AT3G05830.3	1524	1325	0	0
AT5G11430.6	3634	3435	24.1153	0.591819
AT5G11430.2	2601	2402	9.09375e-08	3.19148e-09
