ID,Gene,Chromosome,Start,End,Strand,Length,BioType,Description,Mock_1,Mock_2,Mock_3,Flg22_1,Flg22_2,Flg22_3,Flg22_vs_Mock_pvalue,Flg22_vs_Mock_padj,Flg22_vs_Mock_log2FoldChange,cl
AT1G70830.1,MLP28,1,26709947,26711462,-,1515,protein_coding,MLP-like protein 28 [Source:UniProtKB/Swiss-Prot;Acc:Q9SSK9],6.474919632019558,0,3.6346433676920804,9.043364288217923,6.346127170989371,8.576786443113418,0.013700921986710411,0.18561976004099062,3.317431676790518,5
AT1G44010.1,,1,16714622,16715564,+,942,protein_coding,F9C16.22 [Source:UniProtKB/TrEMBL;Acc:Q9LNZ6],2.4928626068883792,0.9400509454986085,1.5377459377206828,4.670690940798769,5.068160498838071,3.6585994201632306,3.1868870561946276e-5,0.0027382789365358196,3.2633175541040074,5
AT3G55970.1,JRG21,3,20766735,20769410,-,2675,protein_coding,JRG21 [Source:UniProtKB/TrEMBL;Acc:A0A178V764],1.7287776314278425,0,1.9467712125878611,3.8904962284416307,1.0123034224110756,5.085217278963407,0.0062255856027128905,0.11442577317427216,3.234180628360691,5
AT5G56960.1,,5,23038389,23041174,-,2785,protein_coding,basic helix-loop-helix (bHLH) DNA-binding family protein [Source:TAIR;Acc:AT5G56960],1.7287776314278425,0.9400509454986085,0,4.254446689789234,3.1917257348581187,1.5548667465212254,0.005649819039013968,0.10751160400938875,3.19297959552475,5
AT5G04530.1,KCS19,5,1291630,1293723,-,2093,protein_coding,3-ketoacyl-CoA synthase 19 [Source:UniProtKB/Swiss-Prot;Acc:Q9LZ72],1.7287776314278425,0,1.5377459377206828,3.5408770127637252,3.3439992634956064,3.8645785213751473,7.247805230603411e-4,0.027250774807306328,3.049519237730232,5
AT1G13609.1,,1,4662698,4663253,+,555,protein_coding,Defensin-like protein 287 [Source:UniProtKB/Swiss-Prot;Acc:Q2V4N4],2.989757764903248,3.0615633034164675,2.265079909517326,5.611020061328064,6.046496788340029,4.763618158442554,0.031107785162562605,0.2911326996954698,2.943630512667057,5
AT1G33910.1,IAN5,1,12314904,12316258,+,1354,protein_coding,Immune-associated nucleotide-binding protein 5 [Source:UniProtKB/Swiss-Prot;Acc:Q9C8U8],3.185968080546225,1.909115617155277,2.52569632892835,5.815627603200257,4.667386833084597,2.9603690990350424,0.0013556372581653461,0.04168249751752965,2.489556699774872,5
AT2G17970.9,ALKBH9B,2,7818895,7821385,-,2490,protein_coding,RNA demethylase ALKBH9B [Source:UniProtKB/Swiss-Prot;Acc:Q9SL49],1.1091829133441469,0,3.933151394118153,0,5.696451679916131,5.000408139627195,0.17525502878771507,0.6461851535306946,2.4027310352892464,5
AT5G38980.1,,5,15606683,15607409,+,726,protein_coding,At5g38980 [Source:UniProtKB/TrEMBL;Acc:Q8GXY9],1.1091829133441469,1.9091156171552768,0,2.3938393620681246,1.6013438573119074,3.9574962225861006,0.05645630378098462,0.39904050598262936,2.4023990922930003,5
AT5G59590.1,UGT76E2,5,24008865,24010688,-,1823,protein_coding,Glycosyltransferase (Fragment) [Source:UniProtKB/TrEMBL;Acc:W8PUA4],4.522774701274072,3.972466198631512,4.930868871040826,6.175530921817989,6.516085923449318,7.517103952509653,2.5430448460296676e-6,3.809263592627648e-4,2.380015843640565,5
