ID,Path,Gene,Chromosome,Start,End,Strand,Length,BioType,Description,Flg22_vs_Mock_pvalue,Flg22_vs_Mock_padj,Flg22_vs_Mock_log2FoldChange,Flg22_SynCom33_vs_Mock_pvalue,Flg22_SynCom33_vs_Mock_padj,Flg22_SynCom33_vs_Mock_log2FoldChange,Flg22_SynCom35_vs_Mock_pvalue,Flg22_SynCom35_vs_Mock_padj,Flg22_SynCom35_vs_Mock_log2FoldChange,Flg22_vs_Mock,Flg22_SynCom33_vs_Mock,Flg22_SynCom35_vs_Mock,cl
AT1G02110.1,GO:0071249,,1,392831,395528,+,2697,protein_coding,BZIP domain class transcription factor (DUF630 and DUF632) [Source:UniProtKB/TrEMBL;Acc:Q56W45],0.7970965475072338,0.965435158800273,0.05552841830717514,0.30778829844448885,0.6748747992483481,-0.22153402677645245,0.05923849917888029,0.3468386014226094,0.40468275028160555,0,0,0,4
AT1G08090.1,GO:0071249,NRT2.1,1,2524023,2526322,+,2299,protein_coding,High-affinity nitrate transporter 2.1 [Source:UniProtKB/Swiss-Prot;Acc:O82811],0.8777262756997228,0.9821964490434968,0.16455313978208091,0.6056351853376447,0.8709974883504475,-0.5522392101811613,0.5250771333772211,0.845691013946926,-0.6797608911436168,0,0,0,2
AT1G12820.1,GO:0071249,AFB3,1,4368760,4371298,-,2538,protein_coding,Protein AUXIN SIGNALING F-BOX 3 [Source:UniProtKB/Swiss-Prot;Acc:Q9LPW7],0.328332486203879,0.7911797489481183,0.13400932453690484,0.27507628535472206,0.6450279747824179,-0.1504889430959392,0.36751642727557016,0.7535715658330242,-0.12395491761040846,0,0,0,3
AT1G20530.1,GO:0071249,,1,7108203,7110634,-,2431,protein_coding,F5M15.15 [Source:UniProtKB/TrEMBL;Acc:Q9LMW0],0.6101721547402313,0.9164653120156246,-0.30942635164340215,0.16739012564960795,0.5180526082781718,0.7789302652353354,0.39332259688694343,NA,0.4866533455123652,0,0,0,5
AT1G21740.1,GO:0071249,,1,7640906,7645240,+,4334,protein_coding,"DUF630 family protein, putative (DUF630 and DUF632) [Source:UniProtKB/TrEMBL;Acc:Q9XI02]",0.13132351869062683,0.5771106184567223,-0.37424265165850074,0.5588202792584613,0.8461702952586861,-0.14451718424944884,0.2958313553851239,0.6994615771599042,0.2569299966757257,0,0,0,4
AT1G52320.5,GO:0071249,,1,19484221,19487546,+,3325,protein_coding,"BZIP protein, putative; 48652-45869 [Source:UniProtKB/TrEMBL;Acc:Q9C824]",0.7087353854963125,0.9448731425798156,0.08797396937670109,0.39472292794308517,0.7458279615213422,-0.20091231513628302,0.04685388883670834,0.30993200647302505,-0.46999831896853006,0,0,0,2
AT1G52320.1,GO:0071249,,1,19484465,19487204,+,2739,protein_coding,"BZIP protein, putative; 48652-45869 [Source:UniProtKB/TrEMBL;Acc:Q9C824]",0.5045711689266748,0.8820916256482816,0.3145492661308252,0.6675354827966681,0.8986723181360192,-0.2031942812001566,0.5732017136925275,0.8699430705331721,-0.26643929166111474,0,0,0,7
AT1G52320.4,GO:0071249,,1,19485392,19487941,+,2549,protein_coding,"BZIP protein, putative; 48652-45869 [Source:UniProtKB/TrEMBL;Acc:Q9C824]",0.8944448398796419,0.9850342389027601,-0.048819066371579636,0.8532422065568022,0.9608909814462352,-0.06808326041603363,0.2985426417459716,0.701674372325575,-0.3835433943551373,0,0,0,2
AT1G77500.1,GO:0071249,,1,29121226,29125204,+,3978,protein_coding,"DUF630 family protein, putative (DUF630 and DUF632) [Source:UniProtKB/TrEMBL;Acc:Q9CAQ5]",0.6265309721923603,0.9230548280936273,0.08702255086170609,0.27580188407589556,0.6457315905426458,-0.19532481820286382,0.04003683611808218,0.2828799422404761,-0.3682910278941243,0,0,0,2
AT2G14210.1,GO:0071249,ANR1,2,6018558,6023863,+,5305,protein_coding,AGAMOUS-like 44 [Source:TAIR;Acc:AT2G14210],0.030013988224611845,0.28508708855869863,1.913462754397608,0.0033509513442490004,NA,2.545583273566198,0.5079235406445426,NA,-0.6983396551397364,0,0,0,9
AT2G27090.1,GO:0071249,,2,11567436,11571903,-,4467,protein_coding,At2g27090 [Source:UniProtKB/TrEMBL;Acc:Q9ZVD1],0.22199891929473226,0.6988549930731339,-0.2456359759752205,0.2884766788148903,0.6571889898221933,-0.21345212444703088,0.17308259353788402,0.567758393564953,-0.27387332316409874,0,0,0,8
AT3G45060.1,GO:0071249,NRT2.6,3,16477561,16479559,-,1998,protein_coding,High affinity nitrate transporter 2.6 [Source:UniProtKB/Swiss-Prot;Acc:Q9LXH0],0.6218329980373458,0.9213522405725519,-0.6730086226272537,0.5742384476840701,0.8549334265974287,0.7557495284834681,0.5969686562345464,NA,0.7110986275828147,0,0,0,1
AT3G60320.1,GO:0071249,NRG2,3,22291886,22295529,-,3643,protein_coding,Nitrate regulatory gene2 protein [Source:UniProtKB/Swiss-Prot;Acc:Q93YU8],0.5101449447868392,0.8837829909448709,0.06961748931530495,0.07698339320430582,0.35442157494744797,-0.18833447465204003,0.12603305660148864,0.4975689471916802,0.161056558807546,0,0,0,4
AT4G30130.2,GO:0071249,,4,14734455,14738335,+,3880,protein_coding,DUF630 family protein (DUF630 and DUF632) [Source:UniProtKB/TrEMBL;Acc:Q9SZW6],0.32863316526976005,0.7912936594604264,-1.423609331450449,0.8565001975576021,0.9617778653701443,0.26120737347909107,0.4500957025202582,0.8050124895716033,-1.0972081658140878,-0,0,-0,10
AT4G30130.4,GO:0071249,,4,14734740,14738281,+,3541,protein_coding,DUF630 family protein (DUF630 and DUF632) [Source:UniProtKB/TrEMBL;Acc:Q9SZW6],0.8588880615954557,0.9777235160034717,0.21858865529708896,0.8266841968678549,0.9520166465407907,-0.270235131677742,0.3974484989090763,0.7713601960140583,1.035896594576591,0,0,0,4
