ID,Path,Gene,Chromosome,Start,End,Strand,Length,BioType,Description,Flg22_vs_Mock_pvalue,Flg22_vs_Mock_padj,Flg22_vs_Mock_log2FoldChange,Flg22_SynCom33_vs_Mock_pvalue,Flg22_SynCom33_vs_Mock_padj,Flg22_SynCom33_vs_Mock_log2FoldChange,Flg22_SynCom35_vs_Mock_pvalue,Flg22_SynCom35_vs_Mock_padj,Flg22_SynCom35_vs_Mock_log2FoldChange,Flg22_vs_Mock,Flg22_SynCom33_vs_Mock,Flg22_SynCom35_vs_Mock,cl
AT1G31180.1,ARA:PWYQT-4450,ATIMD3,1,11142662,11144650,-,1988,protein_coding,isopropylmalate dehydrogenase 3 [Source:TAIR;Acc:AT1G31180],0.8978549946979016,0.985610230688675,-0.029312132475470126,0.3391854516146824,0.7007158666429344,-0.21866979323397526,0.37726601206898536,0.7586842301588834,0.2010979622138338,0,0,0,4
AT1G31180.1,ARA:PWYQT-4450,ATIMD3,1,11142662,11144650,-,1988,protein_coding,isopropylmalate dehydrogenase 3 [Source:TAIR;Acc:AT1G31180],0.8978549946979016,0.985610230688675,-0.029312132475470126,0.3391854516146824,0.7007158666429344,-0.21866979323397526,0.37726601206898536,0.7586842301588834,0.2010979622138338,0,0,0,4
AT1G80560.1,ARA:PWYQT-4450,IMDH2,1,30287763,30290299,+,2536,protein_coding,"3-isopropylmalate dehydrogenase 2, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:P93832]",0.1785700573571136,0.6509485541922461,-0.24333841447507465,0.13842172488814908,0.4732357635054335,-0.26820114207993473,0.34768053891699374,0.7394941081138766,0.16867701369990562,0,0,0,4
AT2G43100.1,ARA:PWYQT-4450,IPMI2,2,17920647,17921844,+,1197,protein_coding,IPMI2 [Source:UniProtKB/TrEMBL;Acc:A0A178VZE1],0.04899656058777673,0.3733521922263912,0.5778550714704057,0.21431339924257847,0.5798913021535359,-0.36594307148778515,0.9302356806588061,0.9845058437585001,0.02574039007826785,0,0,0,3
AT3G49680.1,ARA:PWYQT-4450,BCAT3,3,18422542,18425758,+,3216,protein_coding,"Branched-chain-amino-acid aminotransferase 3, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9M401]",0.76334236974926994,0.9571317835183853,0.09468830855810514,0.4081461662421453,0.754112075851905,0.259889005644178,0.5454189679363124,0.8570985021600427,0.18995398273728362,0,0,0,1
AT3G49680.2,ARA:PWYQT-4450,BCAT3,3,18422649,18425693,+,3044,protein_coding,"Branched-chain-amino-acid aminotransferase 3, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9M401]",0.5543158748343906,0.8991099536629277,-0.13678249697281092,0.15681927845154695,0.5012569016997803,-0.3281140238377157,0.31551348846802896,0.7148152844489916,0.23143803911279476,0,0,0,4
AT4G13430.1,ARA:PWYQT-4450,IIL1,4,7803863,7807984,-,4121,protein_coding,"3-isopropylmalate dehydratase large subunit, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q94AR8]",0.4320509058669393,0.8523744259073841,0.11026684239685444,0.09033764439820025,0.38442782948353865,-0.2378568403586847,0.9008661691631962,0.9773437111267989,0.017482797921324705,0,0,0,3
AT5G14200.1,ARA:PWYQT-4450,IMDH3,5,4576123,4578402,+,2279,protein_coding,3-isopropylmalate dehydrogenase [Source:UniProtKB/TrEMBL;Acc:Q5XF32],0.04364335260930346,0.351073285313814,0.4508772823160433,0.23384175384651024,0.6026464794149806,-0.2667053960249902,0.23616988393369923,0.6441191551611989,0.2648178417546791,0,0,0,3
AT5G14200.2,ARA:PWYQT-4450,IMDH3,5,4576202,4578240,+,2038,protein_coding,3-isopropylmalate dehydrogenase [Source:UniProtKB/TrEMBL;Acc:Q5XF32],0.3323989552721741,0.7934237014170319,0.2574236813821952,0.9686058819234085,0.9930431033162803,0.010460644046513815,0.28469597395767177,0.6909893831817527,0.2840441579812755,0,0,0,6
AT5G14200.3,ARA:PWYQT-4450,IMDH3,5,4576202,4578240,+,2038,protein_coding,3-isopropylmalate dehydrogenase [Source:UniProtKB/TrEMBL;Acc:Q5XF32],0.9232553775959442,0.9888441457128984,0.1802360912031643,0.778083970013331,0.9374558522832783,0.5271742178789562,0.613478602545614,0.8858827009230862,-0.9458884981392346,0,0,0,9
AT5G23010.1,ARA:PWYQT-4450,MAM1,5,7703092,7706896,+,3804,protein_coding,methylthioalkylmalate synthase 1 [Source:TAIR;Acc:AT5G23010],0.46824264747745536,0.8683182014217564,0.26301679697271435,0.6742732515430134,0.9015098098658244,0.15243937399114085,0.2158889871090324,0.6190804108980485,0.44853588858633314,0,0,0,6
AT5G23010.1,ARA:PWYQT-4450,MAM1,5,7703092,7706896,+,3804,protein_coding,methylthioalkylmalate synthase 1 [Source:TAIR;Acc:AT5G23010],0.46824264747745536,0.8683182014217564,0.26301679697271435,0.6742732515430134,0.9015098098658244,0.15243937399114085,0.2158889871090324,0.6190804108980485,0.44853588858633314,0,0,0,6
AT5G23010.3,ARA:PWYQT-4450,MAM1,5,7703092,7706896,+,3804,protein_coding,methylthioalkylmalate synthase 1 [Source:TAIR;Acc:AT5G23010],0.555559361191562,0.8995119739772407,0.44614260143798756,0.466151919968644,0.7923223433549307,0.5510116302778645,0.8476241647561426,0.9629232955491875,0.14583119155722396,0,0,0,9
AT5G23010.3,ARA:PWYQT-4450,MAM1,5,7703092,7706896,+,3804,protein_coding,methylthioalkylmalate synthase 1 [Source:TAIR;Acc:AT5G23010],0.555559361191562,0.8995119739772407,0.44614260143798756,0.466151919968644,0.7923223433549307,0.5510116302778645,0.8476241647561426,0.9629232955491875,0.14583119155722396,0,0,0,9
AT5G23020.1,ARA:PWYQT-4450,MAM3,5,7718118,7721866,+,3748,protein_coding,"Methylthioalkylmalate synthase 3, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9FN52]",0.35834932388392643,0.8109479257536198,0.27401552760781167,0.6886390295835672,0.9074951906105914,0.11955364217050907,0.7111365436494173,0.9224415251586606,0.11048519580302286,0,0,0,7
