ID,Path,Gene,Chromosome,Start,End,Strand,Length,BioType,Description,Flg22_vs_Mock_pvalue,Flg22_vs_Mock_padj,Flg22_vs_Mock_log2FoldChange,Flg22_SynCom33_vs_Mock_pvalue,Flg22_SynCom33_vs_Mock_padj,Flg22_SynCom33_vs_Mock_log2FoldChange,Flg22_SynCom35_vs_Mock_pvalue,Flg22_SynCom35_vs_Mock_padj,Flg22_SynCom35_vs_Mock_log2FoldChange,Flg22_vs_Mock,Flg22_SynCom33_vs_Mock,Flg22_SynCom35_vs_Mock,cl
AT1G80600.1,ARA:GLUTORN-PWY,WIN1,1,30298462,30300658,-,2196,protein_coding,"Acetylornithine aminotransferase, chloroplastic/mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:Q9M8M7]",0.6458254952536963,0.9273604099470842,0.047404154174003205,0.0015044504450748752,0.030181072286942386,-0.3306659744976351,0.46335145685776996,0.8123359453341512,-0.0757205413136625,0,0,0,3
AT2G19940.2,ARA:GLUTORN-PWY,,2,8613034,8616018,+,2984,protein_coding,"oxidoreductases, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor;copper ion binding [Source:TAIR;Acc:AT2G19940]",0.944731309208782,0.9933269717125698,-0.010453596069707725,0.2887497710856826,0.6573112841405523,-0.16069559651652177,0.1212120981651763,0.4896480656649168,0.2318842656594202,0,0,0,4
AT2G22905.1,ARA:GLUTORN-PWY,,2,9748771,9749542,+,771,protein_coding,At2g22905 [Source:UniProtKB/TrEMBL;Acc:Q3EBW2],0.7603673255400643,0.9558679272822341,0.26322623527742867,0.625483466199127,NA,0.41896675316391097,0.7480502871419643,NA,0.27624434839443335,0,0,0,5
AT2G22910.1,ARA:GLUTORN-PWY,NAGS1,2,9749857,9753103,+,3246,protein_coding,"Probable amino-acid acetyltransferase NAGS1, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q84JF4]",0.544083807694557,0.8953991084190271,0.05961532787820066,0.018995479194504627,0.16019022176211536,-0.2350750763323071,0.0039407670462183455,0.06991201692023939,-0.28814632212713787,0,0,0,2
AT2G37500.1,ARA:GLUTORN-PWY,,2,15739783,15742838,-,3055,protein_coding,"Arginine biosynthesis bifunctional protein ArgJ, chloroplastic [Source:UniProtKB/TrEMBL;Acc:A0A178VUS6]",0.18022136787627976,0.6533818202091135,-0.21965114670440705,0.045300691195368746,0.26565732563566813,-0.32899679438054785,0.36962105443021404,0.7544368899875328,0.14585874720276476,0,0,0,4
AT3G57560.1,ARA:GLUTORN-PWY,NAGK,3,21310825,21312378,-,1553,protein_coding,NAGK [Source:UniProtKB/TrEMBL;Acc:A0A178V7F4],0.9228369858047233,0.9888287069494716,-0.020352165400760087,0.8965469826036958,0.9728009002142051,-0.02733217734909934,0.3572224543954496,0.744461002065638,0.1922353801348716,0,0,0,4
AT4G17830.1,ARA:GLUTORN-PWY,,4,9915831,9918243,+,2412,protein_coding,Peptidase M20/M25/M40 family protein [Source:UniProtKB/TrEMBL;Acc:F4JPZ7],0.010859555797477756,0.1624063093663371,0.29612322070085617,0.8912571096152344,0.9713780149575055,0.01598053229730341,0.0018165370403487055,0.04020268180996723,-0.36697421265497193,0,0,0,7
AT4G37670.1,ARA:GLUTORN-PWY,NAGS2,4,17696059,17698991,-,2932,protein_coding,NAGS2 [Source:UniProtKB/TrEMBL;Acc:A0A178V1D0],0.7684422911460211,0.9573827788680869,-0.47857819566552623,0.47307452005896006,NA,-1.1774561206106449,0.9140345934873285,NA,0.17442046947137615,0,-0,0,4
AT4G37670.2,ARA:GLUTORN-PWY,NAGS2,4,17696059,17698991,-,2932,protein_coding,NAGS2 [Source:UniProtKB/TrEMBL;Acc:A0A178V1D0],0.3680298763736229,0.8164791665105732,-0.3860904790074717,0.10356851558657683,0.41063847138618853,-0.7093978144175264,0.9304737978831503,0.9845335193505225,0.03673012045254761,0,0,0,4
AT5G67430.1,ARA:GLUTORN-PWY,,5,26910205,26912103,+,1898,protein_coding,Acyl-CoA N-acyltransferases (NAT) superfamily protein [Source:UniProtKB/TrEMBL;Acc:Q9FN10],0.6372037578637213,0.9259215606728487,-0.13382505479309806,0.5664925144813355,0.8503239585843577,-0.1627561118505057,0.13424074096329297,0.5102802569276192,-0.42639881379422806,0,0,0,2
