ID,Path,Gene,Chromosome,Start,End,Strand,Length,BioType,Description,Flg22_vs_Mock_pvalue,Flg22_vs_Mock_padj,Flg22_vs_Mock_log2FoldChange,Flg22_SynCom33_vs_Mock_pvalue,Flg22_SynCom33_vs_Mock_padj,Flg22_SynCom33_vs_Mock_log2FoldChange,Flg22_SynCom35_vs_Mock_pvalue,Flg22_SynCom35_vs_Mock_padj,Flg22_SynCom35_vs_Mock_log2FoldChange,Flg22_vs_Mock,Flg22_SynCom33_vs_Mock,Flg22_SynCom35_vs_Mock,cl
AT1G03475.1,ARA:HEME-BIOSYNTHESIS-II,CPX1,1,868853,871308,-,2455,protein_coding,"Coproporphyrinogen-III oxidase 1, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9LR75]",0.9924908430141353,0.9982596702690572,0.0012801383853484963,0.9507759699655872,0.9892187448899618,-0.008401929113856807,0.07004697016462479,0.3774691985622908,0.24428516414512155,0,0,0,4
AT1G56000.1,ARA:HEME-BIOSYNTHESIS-II,,1,20944136,20946718,+,2582,protein_coding,AT1G56000 protein [Source:UniProtKB/TrEMBL;Acc:Q8VYV2],0.5848008887763059,0.9085440051090053,-0.11581234106738515,0.2952442323455739,0.6628895362021237,-0.22284803349007495,0.9570586724620189,0.9899358331007889,-0.011340791361660758,0,0,0,4
AT1G56000.2,ARA:HEME-BIOSYNTHESIS-II,,1,20944456,20946101,+,1645,protein_coding,AT1G56000 protein [Source:UniProtKB/TrEMBL;Acc:Q8VYV2],0.8309613057836691,0.970159100379558,-0.4475591298649314,0.8080695216034799,0.9469691302909781,-0.5094318147083382,0.9910477815826477,NA,0.023487513659340636,0,0,0,4
AT2G30390.1,ARA:HEME-BIOSYNTHESIS-II,FC2,2,12950954,12954148,-,3194,protein_coding,Ferrochelatase [Source:UniProtKB/TrEMBL;Acc:F4IMT3],0.35043267736149847,0.8069840992468313,-0.27539828396297084,0.0755063179923865,0.35044213402474683,-0.5275854716959272,0.6829034268296931,0.9122315737184207,0.11939264876910897,0,0,0,4
AT2G40490.1,ARA:HEME-BIOSYNTHESIS-II,HEME2,2,16912805,16915202,+,2397,protein_coding,"Uroporphyrinogen decarboxylase 2, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:O22886]",0.08501815199543362,0.48129415027164335,-0.20112116307369324,0.06377844820533578,0.3187381008841488,0.21171515171791463,0.012830700180885828,0.14783685456814197,0.28208096285587125,0,0,0,1
AT3G04650.1,ARA:HEME-BIOSYNTHESIS-II,,3,1261857,1264687,+,2830,protein_coding,AT3g04650/F7O18_13 [Source:UniProtKB/TrEMBL;Acc:Q9SR09],1.361616636031126e-5,0.0014142355915433703,-0.8202838567681681,0.1790950493174833,0.53581437537091,-0.24259017196298005,0.9383121695928188,0.9854161941707715,0.013689804720438174,0,0,0,1
AT3G14930.2,ARA:HEME-BIOSYNTHESIS-II,HEME1,3,5020461,5023146,+,2685,protein_coding,"Uroporphyrinogen decarboxylase 1, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q93ZB6]",0.1464496270671306,0.603886427760547,-0.3604498606373001,0.9254418541251566,0.9815635400509946,0.0229676282502864,0.3343384919159412,0.7291076358333679,0.23520468119868043,0,0,0,1
AT3G14930.3,ARA:HEME-BIOSYNTHESIS-II,HEME1,3,5020591,5022959,+,2368,protein_coding,"Uroporphyrinogen decarboxylase 1, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q93ZB6]",0.6030305780880163,0.91443312606026,-0.13007724427694992,0.32197965821986474,0.6853093564739828,0.2459291090683054,0.4029541135315695,0.7743463943116132,-0.20919692664850445,0,0,0,10
AT4G01690.1,ARA:HEME-BIOSYNTHESIS-II,PPOX1,4,729863,732433,+,2570,protein_coding,Protoporphyrinogen oxidase [Source:UniProtKB/TrEMBL;Acc:A0A178UVN5],0.062115320913253134,0.41641951081890877,-0.1617178535675023,0.6395362946825793,0.8870547813564906,-0.04039227171767667,0.5225475996307752,0.8446087127447718,-0.05496306442428731,0,0,0,1
AT4G03205.2,ARA:HEME-BIOSYNTHESIS-II,hemf2,4,1412785,1414782,+,1997,protein_coding,Coproporphyrinogen III oxidase [Source:TAIR;Acc:AT4G03205],0.3576434511641789,0.8109479257536198,-0.31187031651818004,0.39798901442240375,0.7476926680399103,-0.28620165628551564,0.4000980270866693,0.772211721483533,0.27305205440188446,0,0,0,4
