ID,Path,Gene,Chromosome,Start,End,Strand,Length,BioType,Description,Flg22_vs_Mock_pvalue,Flg22_vs_Mock_padj,Flg22_vs_Mock_log2FoldChange,Flg22_SynCom33_vs_Mock_pvalue,Flg22_SynCom33_vs_Mock_padj,Flg22_SynCom33_vs_Mock_log2FoldChange,Flg22_SynCom35_vs_Mock_pvalue,Flg22_SynCom35_vs_Mock_padj,Flg22_SynCom35_vs_Mock_log2FoldChange,Flg22_vs_Mock,Flg22_SynCom33_vs_Mock,Flg22_SynCom35_vs_Mock,cl
AT1G04920.1,ARA:SUCSYN-PWY,SPS3,1,1391434,1395953,-,4519,protein_coding,Probable sucrose-phosphate synthase 3 [Source:UniProtKB/Swiss-Prot;Acc:Q8RY24],0.6672761625430799,NA,0.3981815406384461,0.4664555640716372,NA,0.6666469793206556,0.7175559618482243,NA,-0.34870323308772316,0,0,0,9
AT1G13440.1,ARA:SUCSYN-PWY,GAPC2,1,4608077,4610878,-,2801,protein_coding,"Glyceraldehyde-3-phosphate dehydrogenase GAPC2, cytosolic [Source:UniProtKB/Swiss-Prot;Acc:Q9FX54]",0.7730117805547929,0.9591509627960267,-0.06133745975716113,0.029844500781466658,0.20982829582878196,-0.4619500442167034,0.020732728482748413,0.19697890231179205,-0.49186021289105697,0,0,0,2
AT1G13440.2,ARA:SUCSYN-PWY,GAPC2,1,4608196,4610647,-,2451,protein_coding,"Glyceraldehyde-3-phosphate dehydrogenase GAPC2, cytosolic [Source:UniProtKB/Swiss-Prot;Acc:Q9FX54]",0.1965684652680061,0.6706022537318397,0.4129904755691019,0.6923465495127845,0.9087280867146464,0.12654778965239277,0.33483540009137625,0.7297504076437559,-0.3084871100212418,0,0,0,7
AT1G16300.1,ARA:SUCSYN-PWY,GAPCP2,1,5574257,5577622,+,3365,protein_coding,"Glyceraldehyde-3-phosphate dehydrogenase GAPCP2, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q5E924]",0.6417457388200916,0.9273392630027173,-0.08312220683213677,0.013277648026333766,0.1295100632234776,-0.44499383901076606,0.07994495706729872,0.40336188796055494,-0.3135246565320741,0,0,0,3
AT1G42970.1,ARA:SUCSYN-PWY,GAPB,1,16127353,16129895,+,2542,protein_coding,"Glyceraldehyde-3-phosphate dehydrogenase GAPB, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:P25857]",0.019193687676957272,0.22433580043286924,1.4320730473844685,0.028923102324046265,0.20656504693810088,1.3372271971419192,0.2695558399303431,0.6772352053074738,0.6802860887159017,0,0,0,9
AT1G43670.1,ARA:SUCSYN-PWY,CYFBP,1,16467298,16470500,+,3202,protein_coding,"Fructose-1,6-bisphosphatase, cytosolic [Source:UniProtKB/Swiss-Prot;Acc:Q9MA79]",0.4103030930511785,0.8438674149004016,0.16302137563578645,2.836140313638453e-4,0.00899069857443737,0.7133510547990509,0.030383307901652824,0.24438703493746694,0.42652172242268077,0,0,0,5
AT1G51420.4,ARA:SUCSYN-PWY,ATSPP1,1,19064598,19066983,-,2385,protein_coding,sucrose-phosphatase 1 [Source:TAIR;Acc:AT1G51420],0.7994230106639275,0.9656926372445539,0.1251391662474507,0.7311301530669778,0.9233456491186778,0.16921698095978777,0.018951316549131108,0.1876775405160725,-1.1613583344471812,0,0,-0,9
AT1G51420.2,ARA:SUCSYN-PWY,ATSPP1,1,19064598,19066989,-,2391,protein_coding,sucrose-phosphatase 1 [Source:TAIR;Acc:AT1G51420],0.6909752581126709,0.9391533909982686,0.10276040388830097,0.3565911219988274,0.7155629385578112,-0.23921714591570514,1.5606812352891457e-5,0.0011174663440055438,-1.1356390889937393,0,0,-1,2
AT1G51420.1,ARA:SUCSYN-PWY,ATSPP1,1,19064768,19066704,-,1936,protein_coding,sucrose-phosphatase 1 [Source:TAIR;Acc:AT1G51420],0.16767087900755612,0.6345081048204072,-0.23373486955819842,0.024135765677034654,0.1853535996796687,-0.38229608758508093,2.004935586650958e-14,2.097162623636902e-11,-1.3043134369127882,0,0,-1,2
AT1G56190.1,ARA:SUCSYN-PWY,,1,21028137,21030684,+,2547,protein_coding,Phosphoglycerate kinase [Source:UniProtKB/TrEMBL;Acc:A0A178W4Q1],0.06462603864878164,0.42434129596601555,0.6497898276879059,0.1619087564840862,0.5092349586761676,0.49220482111565295,0.7702970528377204,0.9401913865193876,0.10290909526539893,0,0,0,9
