target_id	length	eff_length	est_counts	tpm
AT1G19090.1	2509	2310	0	0
AT1G18320.1	699	500	16.4279	2.62117
AT5G11100.1	1709	1510	276	14.5819
AT4G35335.1	1280	1081	276	20.3689
AT1G60930.1	3876	3677	99	2.14795
AT1G17000.1	2351	2152	0	0
AT3G55270.1	3130	2931	1721	46.8434
AT4G16150.1	3181	2982	2422	64.7962
AT3G18150.1	1370	1171	0	0
AT3G52310.1	2443	2244	0	0
AT3G08943.1	3165	2966	1233.54	33.1792
AT4G15950.1	814	615	65	8.43182
AT5G60900.1	2873	2674	15	0.447521
AT5G18710.1	1919	1720	7	0.324678
AT1G64460.1	2240	2041	817	31.9347
AT2G31100.1	1247	1048	1	0.0761241
AT1G60260.1	1634	1435	4	0.222378
AT2G06210.1	3579	3380	962	22.7061
AT3G57180.1	2232	2033	60	2.35449
ATMG01320.1	922	723	7.23491	0.798322
AT4G15130.1	1234	1035	292	22.5074
AT5G39100.1	808	609	10	1.30998
AT4G16110.1	2666	2467	1202	38.8704
AT5G26800.1	637	438	215	39.1604
AT4G16360.1	1685	1486	951	51.0558
ATMG00060.1	542	343	12	2.79107
AT1G76820.1	3857	3658	57.8999	1.26275
AT3G05780.1	2775	2576	2	0.0619395
AT1G24405.1	718	519	19	2.92058
AT2G27490.4	843	644	155.879	19.3101
AT2G27490.1	1367	1168	17.7876	1.21495
AT2G27490.3	1201	1002	0	0
AT2G27490.2	1381	1182	81.3337	5.48955
AT3G13276.1	269	70.019	4	4.55751
AT1G71740.1	393	194	319	131.181
AT1G52920.1	1351	1152	5	0.346259
AT2G17370.1	2273	2074	653	25.1182
AT4G13615.1	813	614	930	120.836
AT3G46680.1	1350	1151	11	0.762431
AT1G70830.3	996	797	0	0
AT1G70830.2	1329	1130	2.01866	0.142517
AT1G70830.5	787	588	0	0
AT1G70830.4	1393	1194	0	0
AT1G70830.1	1331	1132	6.09831e-07	4.2978e-08
AT2G34090.3	1458	1259	0	0
AT2G34090.2	1616	1417	0	0
AT2G34090.1	1700	1501	79	4.19884
AT2G34090.4	1521	1322	0	0
AT2G34090.5	1425	1226	0	0
AT1G65541.1	340	141	0	0
AT2G01050.1	1548	1349	0	0
AT2G07751.1	357	158	6	3.02955
AT4G20565.1	789	590	0	0
AT1G61566.1	551	352	0	0
AT4G29530.2	1148	949	0	0
AT4G29530.1	1144	945	70	5.90948
AT5G09225.1	780	581	162	22.2445
AT1G21100.1	1545	1346	2121.31	125.731
AT1G73150.1	2150	1951	72.9699	2.9838
AT1G73150.2	1956	1757	113.03	5.13223
AT3G51750.3	654	455	0	0
AT3G51750.1	563	364	27	5.9176
AT3G51750.2	560	361	0	0
AT1G07010.1	1622	1423	0	0
AT1G07010.2	1556	1357	9	0.52911
AT1G07010.3	1542	1343	0	0
AT1G32080.1	2009	1810	0	0
AT1G16710.5	6346	6147	323.47	4.19812
AT1G16710.7	5822	5623	1149.19	16.3045
AT1G16710.1	6018	5819	0.0011893	1.63052e-05
AT1G16710.4	6502	6303	0	0
AT1G16710.8	6455	6256	0	0
AT1G16710.10	6023	5824	0	0
AT1G16710.6	6107	5908	4.72362e-06	6.37849e-08
AT1G16710.3	6619	6420	0	0
AT1G16710.9	6549	6350	51.3358	0.644955
AT1G16710.2	5783	5584	0	0
AT1G07590.1	2407	2208	35528.9	1283.71
AT5G49170.1	1172	973	9	0.737926
AT2G40240.1	1614	1415	52	2.93177
AT4G30380.2	537	338	0	0
AT4G30380.1	486	287	0	0
AT2G20619.1	201	17.0167	0	0
AT3G05830.2	1420	1221	16.5102	1.07875
AT3G05830.1	1358	1159	173.49	11.9419
AT3G05830.3	1524	1325	3.93648e-08	2.37014e-09
AT5G11430.6	3634	3435	32.4804	0.75436
AT5G11430.2	2601	2402	27.8603	0.925329
AT5G11430.4	2791	2592	0.0371627	0.00114381
AT5G11430.3	3322	3123	34.1456	0.872259
AT5G11430.5	2373	2174	0	0
AT5G11430.1	3147	2948	356.477	9.64688
AT1G20530.1	2269	2070	14	0.539562
AT4G23170.1	1824	1625	0	0
AT1G44780.2	1644	1445	76.5139	4.22431
AT1G44780.1	1647	1448	163.486	9.00732
AT1G60880.1	606	407	0	0
AT1G06160.1	1086	887	111	9.9835
AT3G07260.1	1204	1005	12.3194	0.977928
AT1G21090.1	1404	1205	186	12.3143
AT1G21090.2	1416	1217	0	0
AT1G76730.1	1500	1301	23	1.41037
