ID,Path,Gene,Chromosome,Start,End,Strand,Length,BioType,Description,Flg22_vs_Mock_pvalue,Flg22_vs_Mock_padj,Flg22_vs_Mock_log2FoldChange,Flg22_SynCom33_vs_Mock_pvalue,Flg22_SynCom33_vs_Mock_padj,Flg22_SynCom33_vs_Mock_log2FoldChange,Flg22_SynCom35_vs_Mock_pvalue,Flg22_SynCom35_vs_Mock_padj,Flg22_SynCom35_vs_Mock_log2FoldChange,Flg22_vs_Mock,Flg22_SynCom33_vs_Mock,Flg22_SynCom35_vs_Mock,cl
AT1G20560.1,ARA:PWY0-1313,AAE1,1,7119671,7121871,-,2200,protein_coding,"Probable acyl-activating enzyme 1, peroxisomal [Source:UniProtKB/Swiss-Prot;Acc:F4HUK6]",0.12866071149485928,0.5719592429269169,0.45399979156154213,0.19703979415753126,0.5584236665787531,0.38562399122137925,0.7238651225367772,0.9256393518353461,0.10572594007464438,0,0,0,9
AT1G20560.2,ARA:PWY0-1313,AAE1,1,7119676,7121817,-,2141,protein_coding,"Probable acyl-activating enzyme 1, peroxisomal [Source:UniProtKB/Swiss-Prot;Acc:F4HUK6]",0.9573710533045874,0.993918704796516,-0.12619385568757097,0.7997437802354748,0.9447906965629546,-0.5990298707347489,0.8713233045249469,0.9699650789268321,-0.3824325372465079,0,0,0,2
AT1G55320.1,ARA:PWY0-1313,AAE18,1,20633096,20636892,+,3796,protein_coding,AAE18 [Source:UniProtKB/TrEMBL;Acc:A0A178WMT3],0.0451253640643219,0.3563253796371561,-0.6943770238546455,0.12018335655198684,0.44051936062592173,-0.538163510397498,0.9080806836208725,0.9789427476647544,-0.03988307195972455,0,0,0,8
AT1G55320.2,ARA:PWY0-1313,AAE18,1,20633363,20636892,+,3529,protein_coding,AAE18 [Source:UniProtKB/TrEMBL;Acc:A0A178WMT3],0.6325844048090357,0.924708736520764,0.09277124762844112,0.08558846209148391,0.3747075432405175,0.33262393276719016,0.2616375820335811,0.6698389856937208,0.21725719517417966,0,0,0,5
AT3G16910.1,ARA:PWY0-1313,AAE7,3,5772743,5775841,-,3098,protein_coding,"Acetate/butyrate--CoA ligase AAE7, peroxisomal [Source:UniProtKB/Swiss-Prot;Acc:Q8VZF1]",0.4700697852209571,0.8691621949206019,-0.05606362683358841,0.3299798420224258,0.6926833687203062,0.0753854627467085,0.002268669252612561,0.04758469475096164,-0.23754777900209653,0,0,0,10
AT5G23050.2,ARA:PWY0-1313,AAE17,5,7731221,7735566,-,4345,protein_coding,"Probable acyl-activating enzyme 17, peroxisomal [Source:UniProtKB/Swiss-Prot;Acc:F4KBF3]",0.616754052563832,0.9190515323520648,-0.3041629518781587,0.047303564975478225,0.27208296035843554,-1.2346986019315995,0.8899935788464894,0.9747532141271933,-0.08364341286468696,0,-0,0,3
AT5G23050.1,ARA:PWY0-1313,AAE17,5,7731221,7735566,-,4345,protein_coding,"Probable acyl-activating enzyme 17, peroxisomal [Source:UniProtKB/Swiss-Prot;Acc:F4KBF3]",0.8327026820426905,0.970503269675665,-0.05801720998122148,0.9788583470611849,0.9951498831084462,0.0072757522830623105,0.023547210454123526,0.2123308804742518,0.6193961490268441,0,0,0,4
AT5G36880.1,ARA:PWY0-1313,ACS,5,14534585,14540245,-,5660,protein_coding,"Acetyl-coenzyme A synthetase, chloroplastic/glyoxysomal [Source:UniProtKB/Swiss-Prot;Acc:B9DGD6]",0.014603241775541394,0.1921069962104724,0.615554823216603,0.9223524433943613,0.9809832731511522,-0.024622165136400864,0.3847810902572793,0.7649079996594348,-0.2196489117695373,0,0,0,7
AT5G36880.2,ARA:PWY0-1313,ACS,5,14534603,14540441,-,5838,protein_coding,"Acetyl-coenzyme A synthetase, chloroplastic/glyoxysomal [Source:UniProtKB/Swiss-Prot;Acc:B9DGD6]",0.10670971472552905,0.5293538306106438,0.7087319116538583,0.08990963950284783,0.3833913383900191,0.7450156225433833,0.3046999069777555,0.7068182838227693,0.4512118698689793,0,0,0,6
AT5G36880.6,ARA:PWY0-1313,ACS,5,14534700,14539599,-,4899,protein_coding,"Acetyl-coenzyme A synthetase, chloroplastic/glyoxysomal [Source:UniProtKB/Swiss-Prot;Acc:B9DGD6]",0.2113111331625382,0.6875404984337156,-0.13650736579487646,0.7316589183370039,0.9233456491186778,-0.03742816211504017,0.022585616235611124,0.2071539288586856,-0.2490964393422769,0,0,0,10
AT5G36880.4,ARA:PWY0-1313,ACS,5,14534700,14540245,-,5545,protein_coding,"Acetyl-coenzyme A synthetase, chloroplastic/glyoxysomal [Source:UniProtKB/Swiss-Prot;Acc:B9DGD6]",0.9748429042280438,0.9949471521345139,0.023558073523806424,0.29444577001967903,0.6620904382826442,0.7798889036180445,0.9137948236332337,0.9806439408942963,-0.0808861401462251,0,0,0,5
