ID,Path,Gene,Chromosome,Start,End,Strand,Length,BioType,Description,Flg22_vs_Mock_pvalue,Flg22_vs_Mock_padj,Flg22_vs_Mock_log2FoldChange,Flg22_SynCom33_vs_Mock_pvalue,Flg22_SynCom33_vs_Mock_padj,Flg22_SynCom33_vs_Mock_log2FoldChange,Flg22_SynCom35_vs_Mock_pvalue,Flg22_SynCom35_vs_Mock_padj,Flg22_SynCom35_vs_Mock_log2FoldChange,Flg22_vs_Mock,Flg22_SynCom33_vs_Mock,Flg22_SynCom35_vs_Mock,cl
AT1G11860.1,ARA:GLYCLEAV-PWY,,1,4001177,4003748,+,2571,protein_coding,Glycine cleavage T-protein family [Source:TAIR;Acc:AT1G11860],0.3931535367051556,0.8336715101230874,0.5620369242960515,0.4772599395947876,0.7993583611331514,0.4685912707836501,0.16993620994972122,0.5628201182503295,0.8981319689644742,0,0,0,6
AT1G11860.2,ARA:GLYCLEAV-PWY,,1,4001295,4003442,+,2147,protein_coding,Glycine cleavage T-protein family [Source:TAIR;Acc:AT1G11860],0.8182761153114748,0.9680612780538831,-0.039827384731015526,0.6763059046289519,0.9023454103749994,0.0723441617668266,0.08425508006796702,0.4133378295830242,0.29885397302038474,0,0,0,1
AT1G48030.5,ARA:GLYCLEAV-PWY,LPD1,1,17717088,17719500,-,2412,protein_coding,"Dihydrolipoyl dehydrogenase 1, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:Q9M5K3]",0.8917772330138413,0.9847072273195536,0.01917213315434467,0.9412093863070582,0.9867630249485722,-0.010397848284488536,0.41537656573920634,0.7821798229926288,-0.11485325797356369,0,0,0,2
AT1G48030.4,ARA:GLYCLEAV-PWY,LPD1,1,17717088,17719500,-,2412,protein_coding,"Dihydrolipoyl dehydrogenase 1, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:Q9M5K3]",0.977519342960262,0.995421650146458,0.007782447844022927,0.2976705318444512,0.6655006018831119,-0.2887263320608377,0.6216907895815765,0.8900111285780166,-0.13638529528624777,0,0,0,3
AT1G48030.2,ARA:GLYCLEAV-PWY,LPD1,1,17717133,17719141,-,2008,protein_coding,"Dihydrolipoyl dehydrogenase 1, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:Q9M5K3]",0.40411158127370983,0.8401323441031102,0.10922422432770784,0.2838679569374762,0.6535575897904449,-0.14064643380138547,0.21591160882317678,0.6190804108980485,-0.1622962260708817,0,0,0,3
AT1G60990.2,ARA:GLYCLEAV-PWY,,1,22462026,22465424,-,3398,protein_coding,"Putative transferase At1g60990, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q681Y3]",0.42499566016753143,0.8486655110011069,0.47743985393885363,0.48763627268447834,0.8050770622010514,0.4157597806482733,0.7900639786560577,0.946297758513792,0.15984179937825982,0,0,0,9
AT1G60990.3,ARA:GLYCLEAV-PWY,,1,22462026,22465495,-,3469,protein_coding,"Putative transferase At1g60990, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q681Y3]",0.686407855643302,0.9384196103438033,0.18388172888425128,0.30946323115503377,0.6760109361213732,-0.4685450842140637,0.9344637455459472,0.9851661236325965,-0.03753396461923337,0,0,0,3
AT1G60990.1,ARA:GLYCLEAV-PWY,,1,22462640,22465495,-,2855,protein_coding,"Putative transferase At1g60990, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q681Y3]",0.5938323521841891,0.9107445256806461,0.3348157956143361,0.29349611960288036,0.6611321886182427,0.656409776546294,0.8363918138929451,0.9597402584487491,0.1299427201617993,0,0,0,5
AT2G26080.1,ARA:GLYCLEAV-PWY,GLDP2,2,11109003,11114291,-,5288,protein_coding,"Glycine dehydrogenase (decarboxylating) 2, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:O80988]",0.7237696103140452,0.9475817038797251,0.05741959061483081,0.11841889539141276,0.4373166355449913,0.2535969871436139,0.12300389804513326,0.4927119179436923,0.2504502926343071,0,0,0,1
AT2G35120.1,ARA:GLYCLEAV-PWY,GDH2,2,14805639,14807406,-,1767,protein_coding,"Glycine cleavage system H protein 2, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:O82179]",0.2655689016343896,0.7431144215912692,0.13429590281884382,0.6782396848568318,0.9032219958546197,-0.050109032261243254,0.47857462120436894,0.8216333573777712,0.08546009819410864,0,0,0,3
AT2G35370.1,ARA:GLYCLEAV-PWY,GDH1,2,14891041,14892298,+,1257,protein_coding,Glycine cleavage system H protein [Source:UniProtKB/TrEMBL;Acc:A0A178VV72],0.8942995345968829,0.9850342389027601,0.06341807331909317,0.5962296909369011,0.8672088906863956,-0.2553979986191417,0.17537187417823052,0.57177077503454,-0.6608019539497841,0,0,0,2
AT3G16950.1,ARA:GLYCLEAV-PWY,LPD1,3,5786298,5790536,-,4238,protein_coding,"Dihydrolipoyl dehydrogenase 1, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:A8MS68]",0.9630926041284705,0.9944633830616663,-0.00725548086692382,0.32612718237565946,0.6900279300825488,-0.1541281408675938,0.8056591308809767,0.9509008111969405,0.03854804353445593,0,0,0,4
AT3G16950.2,ARA:GLYCLEAV-PWY,LPD1,3,5786385,5790525,-,4140,protein_coding,"Dihydrolipoyl dehydrogenase 1, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:A8MS68]",0.9593691151415434,0.9941416613872613,0.02398185168694219,0.985638700958754,0.9964415824188664,-0.008478697360775606,0.331972421644959,0.727774058678187,0.45389992025923637,0,0,0,4
AT3G17240.1,ARA:GLYCLEAV-PWY,LPD2,3,5889663,5892332,-,2669,protein_coding,"Dihydrolipoyl dehydrogenase 2, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:Q9M5K2]",0.6641686104014539,0.9325383080246943,-0.05315260645114733,0.13188418385982936,0.46264022293860607,-0.1845410813535885,9.275850946386751e-4,0.024933901907058374,-0.40578772360806287,0,0,0,2
AT3G17240.3,ARA:GLYCLEAV-PWY,LPD2,3,5889877,5892249,-,2372,protein_coding,"Dihydrolipoyl dehydrogenase 2, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:Q9M5K2]",0.6337372421875469,0.9253214416817163,-0.1256443213376988,0.6459771573650768,0.8897452448782084,-0.12113415386382329,0.9199951144680553,0.9815185128103092,0.026465164870183286,0,0,0,4
AT3G17240.2,ARA:GLYCLEAV-PWY,LPD2,3,5891507,5892216,-,709,protein_coding,"Dihydrolipoyl dehydrogenase 2, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:Q9M5K2]",0.6041916757154067,0.9146137607254786,0.1497807900719259,0.05471177646972596,0.2941523950118347,0.5417345884413748,0.5880964809719593,0.8764542490184223,0.15554132733398268,0,0,0,5
AT4G16155.1,ARA:GLYCLEAV-PWY,LPD2,4,9153570,9157133,-,3563,protein_coding,"Dihydrolipoyl dehydrogenase 2, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:F4JLP5]",0.29953414176842824,0.7694699134091427,0.17431742571243455,0.724035584052179,0.9214248088866843,-0.05952715849637333,0.8771960005283526,0.9711675985707099,0.025988276710066704,0,0,0,3
AT4G33010.1,ARA:GLYCLEAV-PWY,GLDP1,4,15926652,15931422,-,4770,protein_coding,Glycine cleavage system P protein [Source:UniProtKB/TrEMBL;Acc:A0A178UTF1],0.189699003579582,0.6653717492195932,0.3872030945528364,0.7160498143128768,0.9181938511168808,0.10744927530277783,0.26531164392137296,0.673339769098994,0.328868981301943,0,0,0,6
