target_id	length	eff_length	est_counts	tpm
AT1G19090.1	2509	2213.49	0	0
AT1G18320.1	699	403.668	3.14253	1.44885
AT5G11100.1	1709	1413.49	58	7.63668
AT4G35335.1	1280	984.491	102	19.2823
AT1G60930.1	3876	3580.49	25	1.29947
AT1G17000.1	2351	2055.49	0	0
AT3G55270.1	3130	2834.49	689	45.2391
AT4G16150.1	3181	2885.49	799	51.5343
AT3G18150.1	1370	1074.49	0	0
AT3G52310.1	2443	2147.49	1	0.0866639
AT3G08943.1	3165	2869.49	324.898	21.0723
AT4G15950.1	814	518.504	49	17.5879
AT5G60900.1	2873	2577.49	14	1.01088
AT5G18710.1	1919	1623.49	2	0.229271
AT1G64460.1	2240	1944.49	289	27.6606
AT2G31100.1	1247	951.491	0	0
AT1G60260.1	1634	1338.49	6	0.834268
AT2G06210.1	3579	3283.49	312	17.6843
AT3G57180.1	2232	1936.49	13	1.24939
ATMG01320.1	922	626.491	5.77595	1.71585
AT4G15130.1	1234	938.491	107	21.2189
AT5G39100.1	808	512.504	6	2.17883
AT4G16110.1	2666	2370.49	254	19.9418
AT5G26800.1	637	342.139	146	79.4182
AT4G16360.1	1685	1389.49	263	35.2265
ATMG00060.1	542	249.778	9	6.70591
AT1G76820.1	3857	3561.49	21.4728	1.12208
AT3G05780.1	2775	2479.49	0	0
AT1G24405.1	718	422.62	13	5.72484
AT2G27490.4	843	547.504	38.2002	12.9852
AT2G27490.1	1367	1071.49	14.6159	2.53867
AT2G27490.3	1201	905.491	0	0
AT2G27490.2	1381	1085.49	62.1839	10.6616
AT3G13276.1	269	53.2587	3	10.4833
AT1G71740.1	393	120.516	171	264.071
AT1G52920.1	1351	1055.49	3	0.528977
AT2G17370.1	2273	1977.49	283	26.6343
AT4G13615.1	813	517.504	815	293.098
AT3G46680.1	1350	1054.49	4	0.705971
AT1G70830.3	996	700.491	0	0
AT1G70830.2	1329	1033.49	0	0
AT1G70830.5	787	491.504	0	0
AT1G70830.4	1393	1097.49	0	0
AT1G70830.1	1331	1035.49	17	3.05543
AT2G34090.3	1458	1162.49	0	0
AT2G34090.2	1616	1320.49	0	0
AT2G34090.1	1700	1404.49	34	4.50536
AT2G34090.4	1521	1225.49	0	0
AT2G34090.5	1425	1129.49	0	0
AT1G65541.1	340	84.8697	0	0
AT2G01050.1	1548	1252.49	0	0
AT2G07751.1	357	95.3682	11	21.4664
AT4G20565.1	789	493.504	0	0
AT1G61566.1	551	258.439	0	0
AT4G29530.2	1148	852.491	0	0
AT4G29530.1	1144	848.491	37	8.11567
AT5G09225.1	780	484.504	113	43.4061
AT1G21100.1	1545	1249.49	1416.2	210.941
AT1G73150.1	2150	1854.49	61.4046	6.16234
AT1G73150.2	1956	1660.49	15.5954	1.74795
AT3G51750.3	654	358.966	0	0
AT3G51750.1	563	269.897	6	4.13736
AT3G51750.2	560	267.063	0	0
AT1G07010.1	1622	1326.49	0	0
AT1G07010.2	1556	1260.49	2.14106e-05	3.16125e-06
AT1G07010.3	1542	1246.49	2.99998	0.447918
AT1G32080.1	2009	1713.49	0	0
AT1G16710.5	6346	6050.49	0	0
AT1G16710.7	5822	5526.49	187.006	6.2976
AT1G16710.1	6018	5722.49	0.000274664	8.93278e-06
AT1G16710.4	6502	6206.49	87.1214	2.61245
AT1G16710.8	6455	6159.49	5.06705e-07	1.53102e-08
AT1G16710.10	6023	5727.49	0	0
AT1G16710.6	6107	5811.49	0.00355703	0.000113912
AT1G16710.3	6619	6323.49	39.4114	1.15994
AT1G16710.9	6549	6253.49	15.4576	0.460033
AT1G16710.2	5783	5487.49	0	0
AT1G07590.1	2407	2111.49	36104.8	3182.33
AT5G49170.1	1172	876.491	8	1.69868
AT2G40240.1	1614	1318.49	10	1.41154
AT4G30380.2	537	245.063	2	1.51888
AT4G30380.1	486	198.011	0	0
