ID,Path,Gene,Chromosome,Start,End,Strand,Length,BioType,Description,Flg22_vs_Mock_pvalue,Flg22_vs_Mock_padj,Flg22_vs_Mock_log2FoldChange,Flg22_SynCom33_vs_Mock_pvalue,Flg22_SynCom33_vs_Mock_padj,Flg22_SynCom33_vs_Mock_log2FoldChange,Flg22_SynCom35_vs_Mock_pvalue,Flg22_SynCom35_vs_Mock_padj,Flg22_SynCom35_vs_Mock_log2FoldChange,Flg22_vs_Mock,Flg22_SynCom33_vs_Mock,Flg22_SynCom35_vs_Mock,cl
AT1G76150.1,ARA:LYSINE-DEG2-PWY,ECH2,1,28574740,28577700,-,2960,protein_coding,"Enoyl-CoA hydratase 2, peroxisomal [Source:UniProtKB/Swiss-Prot;Acc:Q8VYI3]",0.3080559896022797,0.7741057077912853,0.1549308914100497,0.8378437367480607,0.9551297795369733,0.031149272245713934,0.0014412997570207838,0.03412433571809492,-0.48755017927061234,0,0,0,2
AT3G06860.1,ARA:LYSINE-DEG2-PWY,MFP2,3,2161735,2166357,+,4622,protein_coding,Peroxisomal fatty acid beta-oxidation multifunctional protein MFP2 [Source:UniProtKB/Swiss-Prot;Acc:Q9ZPI5],0.024517290051087416,0.25679815900478314,0.18886298679616717,0.019689632172917287,0.16366626223635203,-0.19643500609011624,1.6139764057509159e-6,1.7053645930870803e-4,-0.4044253800870146,0,0,0,2
AT4G33150.2,ARA:LYSINE-DEG2-PWY,,4,15985174,15991633,-,6459,protein_coding,Lysine-ketoglutarate reductase/saccharopine dehydrogenase bifunctional enzyme [Source:UniProtKB/TrEMBL;Acc:F4JVY8],0.7519472472767733,0.9531706513115944,0.37290878595957216,0.8503941934668582,0.9597863766645485,0.22261706381064708,0.9371762482586191,0.9852328950155615,-0.09308507141113076,0,0,0,9
AT4G33150.1,ARA:LYSINE-DEG2-PWY,,4,15985189,15991536,-,6347,protein_coding,Lysine-ketoglutarate reductase/saccharopine dehydrogenase bifunctional enzyme [Source:UniProtKB/TrEMBL;Acc:F4JVY8],0.23690065947304384,0.7149132053974823,-0.32675867670185843,0.17872570044311137,0.5354401292000134,-0.3715590451609903,0.3382089250527051,0.7315140087132949,-0.2644712757531662,0,0,0,8
AT4G33150.4,ARA:LYSINE-DEG2-PWY,,4,15985201,15991202,-,6001,protein_coding,Lysine-ketoglutarate reductase/saccharopine dehydrogenase bifunctional enzyme [Source:UniProtKB/TrEMBL;Acc:F4JVY8],0.7884386509137927,0.9629952135775635,-0.6264530802537194,0.9606561084804562,0.9911214626712666,0.11512623522763193,0.8258196709284391,0.9569867649805217,-0.5137048338829169,0,0,0,10
AT4G33150.3,ARA:LYSINE-DEG2-PWY,,4,15985202,15988441,-,3239,protein_coding,Lysine-ketoglutarate reductase/saccharopine dehydrogenase bifunctional enzyme [Source:UniProtKB/TrEMBL;Acc:F4JVY8],0.3857130507251005,0.8305818161024593,0.21657381341547155,0.02536675276088309,0.19170903787406782,0.557598675029307,0.12243240993735229,0.4914865540251662,0.3853319639926456,0,0,0,5
AT5G42890.1,ARA:LYSINE-DEG2-PWY,ATSCP2,5,17194170,17196093,-,1923,protein_coding,SCP2 [Source:UniProtKB/TrEMBL;Acc:A0A178UHV6],0.13300623112681564,0.5801664929371876,0.2701093227488116,0.48119521927278547,0.8013064414601387,0.1267501666613488,0.13060156222212294,0.5045649855646908,-0.2725791866273285,0,0,0,7
AT5G47720.2,ARA:LYSINE-DEG2-PWY,,5,19331547,19334277,+,2730,protein_coding,AACT1 [Source:UniProtKB/TrEMBL;Acc:A0A384KT84],0.9387487199263058,0.9919486195295998,0.02825127494325173,0.8007682731824146,0.9450776806024497,0.09274148070129015,0.42595226306282014,0.789610074338521,0.2920320043298972,0,0,0,4
AT5G47720.3,ARA:LYSINE-DEG2-PWY,,5,19331547,19334427,+,2880,protein_coding,AACT1 [Source:UniProtKB/TrEMBL;Acc:A0A384KT84],0.6406476000326347,0.9273036339662117,0.10401159208829205,0.0379996257782295,0.24061574708515632,-0.46812350864112756,0.4646293967985324,0.8131663515401378,0.16256317924649616,0,0,0,3
AT5G47720.4,ARA:LYSINE-DEG2-PWY,,5,19331626,19334277,+,2651,protein_coding,AACT1 [Source:UniProtKB/TrEMBL;Acc:A0A384KT84],NA,NA,-3.9108145630560625,NA,NA,-2.916180272509753,NA,NA,-3.461634897902186,-0,-0,-0,8
AT5G47720.1,ARA:LYSINE-DEG2-PWY,,5,19331626,19334427,+,2801,protein_coding,AACT1 [Source:UniProtKB/TrEMBL;Acc:A0A384KT84],0.04669487569191934,0.3627205110943851,-3.345719548985692,0.056681495690146896,NA,-3.191648119802973,0.06973572500172909,NA,-3.0158368852085604,-0,-0,-0,8
AT5G48230.2,ARA:LYSINE-DEG2-PWY,AAT1,5,19552142,19555531,-,3389,protein_coding,AT5G48230 protein [Source:UniProtKB/TrEMBL;Acc:B9DGQ1],0.2652694001765383,0.7427611678410861,0.11351804686368537,0.23644568271555036,0.6051730784308696,0.12064355571749905,0.37532617881245406,0.7576148176314902,0.09030736552255869,0,0,0,6
AT5G60335.3,ARA:LYSINE-DEG2-PWY,,5,24272995,24274852,-,1857,protein_coding,Hydroxyacyl-thioester dehydratase type-like protein [Source:UniProtKB/TrEMBL;Acc:Q9FJI2],0.31335550861551037,0.7792583969317107,0.9905983712004292,0.8051835037368263,0.9462215470815624,-0.2505231593869109,0.2815131941093133,NA,1.0556281536967433,0,0,0,6
